cdd68e9330cdf778afa6f0fdbb90f3fdfdb8d1081cd6cee057e117d9089bce2b,3c5698c9fc7a672b8845ca21c3a8d629a0c968f7e981bdec714159b8cae783ba,80efc855cfa81ce46ca4367793979e9a8597032f1b6e85da4b3c0e602b97b6dd,0ce104cef21ef9a4be5c49257ae18f48e27a65c626bad93700f24dda80e07efd,15411fd7ff230de5793e561d7261266281f258a7634a30392912ca555c2b6ce5,cb772b3c347d47f9505288105cdc7ee784b0e21114356daf36a7b69a612b5213,fa5ac5e56833d8085a827e54318cd55f039513fe21538cb372146888a2d3d58e,1fab2c0dd8f84d381b6bdb26795833f83721979989e9ae90064e923a1df5f597,89aef5f60d3ec65a464e2445a2b2089fab9c0a013513ab7f913eeec86e216354,f7e05f409f68458886eeb73f09f57138a64208b76c6d487d49982c3dbda3238a,57992d11818a6dabc8d565fa9f7dcc93947dfd1e0ec8993b5fd877c5b2cbfbc7,b69f44529fa90bfdb6b28304cf41d2d78849f79bad73b296a8f6233585f75a8f
"1","0","0","0","0.8","4","1","5154062","0","0","0","515406201"
"2","0","0","0","0","2","0","5154062","vo_abd_0101","0","vo_abd","515406202"
"3","2","1","0","0","1","0","5154062","0","300","0","515406203"
"4","0","0","0","2.1","4","1","5154062","0","0","0","515406204"
"5","0","0","0","0","2","0","5154062","vo_abd_0102","0","vo_abd","515406205"
"6","2.05","2","0","0","1","0","5154062","0","400","0","515406206"
"7","0","0","0","3.2","4","1","5154062","0","0","0","515406207"
"8","0","0","0","0","2","0","5154062","vo_abd_0103","0","vo_abd","515406208"
"9","1","3","0","0","1","0","5154062","0","60","0","515406209"
"10","0","0","0","1.4","4","1","5154062","0","0","0","515406210"
"11","2.5","3","60","0","1","0","5154062","0","430","0","515406211"
"12","0","0","0","3.3","4","1","5154062","0","0","0","515406212"
"13","0","0","0","0","2","0","5154062","vo_abd_0104","0","vo_abd","515406213"
"14","0.2","4","0","0","1","0","5154062","0","27","0","515406214"
"15","0","0","0","0.5","4","1","5154062","0","0","0","515406215"
"16","0.2","4","27","0","1","0","5154062","0","60","0","515406216"
"17","0","0","0","0.6","4","1","5154062","0","0","0","515406217"
"18","0.8","4","60","0","1","0","5154062","0","145","0","515406218"
"19","0","0","0","1.2","4","1","5154062","0","0","0","515406219"
"20","1.8","4","145","0","1","0","5154062","0","400","0","515406220"
"21","0","0","0","2.2","4","1","5154062","0","0","0","515406221"
"22","0","0","0","0","2","0","5154062","vo_abd_0105","0","vo_abd","515406222"
"23","0.6","5","0","0","1","0","5154062","0","95","0","515406223"
"24","0","0","0","1","4","1","5154062","0","0","0","515406224"
"25","0.7","5","95","0","1","0","5154062","0","195","0","515406225"
"26","0","0","0","1.5","4","1","5154062","0","0","0","515406226"
"27","0.8","5","195","0","1","0","5154062","0","315","0","515406227"
"28","0","0","0","1","4","1","5154062","0","0","0","515406228"
"29","0.7","5","315","0","1","0","5154062","0","415","0","515406229"
"30","0","0","0","2","4","1","5154062","0","0","0","515406230"
"31","0","0","0","0","2","0","5154062","vo_abd_0106","0","vo_abd","515406231"
"32","1","6","0","0","1","0","5154062","0","160","0","515406232"
"33","0","0","0","1.3","4","1","5154062","0","0","0","515406233"
"34","1","6","160","0","1","0","5154062","0","415","0","515406234"
"35","0","0","0","2.3","4","1","5154062","0","0","0","515406235"
"36","0","0","0","0","2","0","5154062","vo_abd_0107","0","vo_abd","515406236"
"37","0.7","7","0","0","1","0","5154062","0","85","0","515406237"
"38","0","0","0","0.8","4","1","5154062","0","0","0","515406238"
"39","0.8","7","85","0","1","0","5154062","0","360","0","515406239"
"40","0","0","0","2","4","1","5154062","0","0","0","515406240"
"41","0","0","0","0","2","0","5154062","vo_abd_0108","0","vo_abd","515406241"
"42","2.63","8","0","0","1","0","5154062","0","415","0","515406242"
"43","0","0","0","2.63","4","1","5154062","0","0","0","515406243"
"44","0","0","0","0","2","0","5154062","vo_abd_0109","0","vo_abd","515406244"
"45","1","9","0","0","1","0","5154062","0","200","0","515406245"
"46","0","0","0","2","4","1","5154062","0","0","0","515406246"
"47","0.5","9","200","0","1","0","5154062","0","245","0","515406247"
"48","0","0","0","1.2","4","1","5154062","0","0","0","515406248"
"49","1.5","9","245","0","1","0","5154062","0","415","0","515406249"
"50","0","0","0","2.5","4","1","5154062","0","0","0","515406250"
"51","0","0","0","0","2","0","5154062","vo_abd_0110","0","vo_abd","515406251"
"52","0.2","10","0","0","1","0","5154062","0","35","0","515406252"
"53","0","0","0","0.6","4","1","5154062","0","0","0","515406253"
"54","1.3","10","35","0","1","0","5154062","0","400","0","515406254"
"55","0","0","0","2.3","4","1","5154062","0","0","0","515406255"
"56","0","0","0","0","2","0","5154062","vo_abd_0111","0","vo_abd","515406256"
"57","0.3","11","0","0","1","0","5154062","0","60","0","515406257"
"58","0","0","0","1.2","4","1","5154062","0","0","0","515406258"
"59","1","11","60","0","1","0","5154062","0","315","0","515406259"
"1","0","0","0","0.8","4","1","5154063","0","0","0","515406301"
"2","0","0","0","0","2","0","5154063","vo_abd_0201","0","vo_abd","515406302"
"3","1.5","1","0","0","1","0","5154063","0","350","0","515406303"
"4","0","0","0","2.25","4","1","5154063","0","0","0","515406304"
"5","0","0","0","0","2","0","5154063","vo_abd_0202","0","vo_abd","515406305"
"6","1.8","2","0","0","1","0","5154063","0","350","0","515406306"
"7","0","0","0","3","4","1","5154063","0","0","0","515406307"
"8","0","0","0","0","2","0","5154063","vo_abd_0203","0","vo_abd","515406308"
"9","1.5","3","0","0","1","0","5154063","0","315","0","515406309"
"10","0","0","0","1.8","4","1","5154063","0","0","0","515406310"
"11","0","0","0","0","2","0","5154063","vo_abd_0204","0","vo_abd","515406311"
"12","1.3","4","0","0","1","0","5154063","0","300","0","515406312"
"13","0","0","0","2.5","4","1","5154063","0","0","0","515406313"
"14","0","0","0","0","2","0","5154063","vo_abd_0205","0","vo_abd","515406314"
"15","1.5","5","0","0","1","0","5154063","0","360","0","515406315"
"16","0","0","0","2","4","1","5154063","0","0","0","515406316"
"17","0","0","0","0","2","0","5154063","vo_abd_0206","0","vo_abd","515406317"
"18","1.8","6","0","0","1","0","5154063","0","310","0","515406318"
"19","0","0","0","3","4","1","5154063","0","0","0","515406319"
"20","0","0","0","0","2","0","5154063","vo_abd_0207","0","vo_abd","515406320"
"21","1.2","8","0","0","1","0","5154063","0","245","0","515406321"
"22","0","0","0","1.6","4","1","5154063","0","0","0","515406322"
"23","0.45","8","245","0","1","0","5154063","0","400","0","515406323"
"24","0","0","0","0.45","4","1","5154063","0","0","0","515406324"
"25","0","0","0","0","2","0","5154063","vo_abd_0208","0","vo_abd","515406325"
"26","1.1","9","0","0","1","0","5154063","0","300","0","515406326"
"27","0","0","0","1.6","4","1","5154063","0","0","0","515406327"
"28","0","0","0","0","2","0","5154063","vo_abd_0209","0","vo_abd","515406328"
"29","0.5","10","0","0","1","0","5154063","0","280","0","515406329"
"30","0","0","0","0.5","4","1","5154063","0","0","0","515406330"
"31","0","0","0","0","2","0","5154063","vo_abd_0210","0","vo_abd","515406331"
"32","1","11","0","0","1","0","5154063","0","360","0","515406332"
"1","0","0","0","0.8","4","1","5154064","0","0","0","515406401"
"2","0","0","0","0","2","0","5154064","vo_abd_0301","0","vo_abd","515406402"
"3","2","1","0","0","1","0","5154064","0","330","0","515406403"
"4","0","0","0","2.8","4","1","5154064","0","0","0","515406404"
"5","0","0","0","0","2","0","5154064","vo_abd_0302","0","vo_abd","515406405"
"6","2","2","0","0","1","0","5154064","0","400","0","515406406"
"7","0","0","0","3.5","4","1","5154064","0","0","0","515406407"
"8","0","0","0","0","2","0","5154064","vo_abd_0303","0","vo_abd","515406408"
"9","2.8","3","0","0","1","0","5154064","0","425","0","515406409"
"10","0","0","0","3.5","4","1","5154064","0","0","0","515406410"
"11","0","0","0","0","2","0","5154064","vo_abd_0304","0","vo_abd","515406411"
"12","3","4","0","0","1","0","5154064","0","450","0","515406412"
