3446cd769c17aef9f6dfdb9a0ac361579243a9440e31c1240b68127b781bc470,0bcd26e7c3ddbe8b1ba2a5065da4a23756665cd8115515af10731c6dbacf20f6,7d79dce4d28997c3030b1ab667b862e9db9c2f0ba23f021fe69b56e62c3b99d0,8965cc613c086b912f27f66849b7b6c590d9b3833cf27c6a299c25bd135bcdb8,c761e311fc5edadf41b4793001c0eca01ebea27e7ab533b7dab719a1f9dc8585,367175b6e7f51b6f237f326b8faee95aff0e7f31f16a16a88454b32869d5bb96,bc7ce86242912731344b8d868992019f890e108455d67e3508c688d72a504556,c282f27d50665bcc62bb00f19e234d0dc345458dfcf330bdcb8b1ce8d9b79e2d,808d8485b3947f1d2e9533a70026b107cd843bffb1c96453580907c0266264fb,258bc80d4f4780b55a0545ff6a9bad1162dd59647de6c4c9ef7cb63ffc9c1661,6d26802a72c2883932ceca89b7e00b23094c212a409e67b488dddecd24f1ed71
"1010100","0","オムレツ","1","110","10101","0","8","1","250","1"
"1010101","0","オムレツ","1","110","10101","0","9","1","222","1"
"1010102","0","オムレツ","1","110","10101","0","10","1","200","1"
"1010200","0","オムレツ","1","110","10102","0","9","1","400","2"
"1010201","0","オムレツ","1","110","10102","0","10","1","367","2"
"1010202","0","オムレツ","1","110","10102","0","11","1","338","2"
"1010300","0","オムレツ","1","110","10103","0","10","1","640","3"
"1010301","0","オムレツ","1","110","10103","0","11","1","597","3"
"1010302","0","オムレツ","1","110","10103","0","12","1","560","3"
"1020100","0","ギョーザ","1","115","10201","0","9","2","275","1"
"1020101","0","ギョーザ","1","115","10201","0","10","2","248","1"
"1020102","0","ギョーザ","1","115","10201","0","11","2","225","1"
"1020200","0","ギョーザ","1","115","10202","0","10","2","440","2"
"1020201","0","ギョーザ","1","115","10202","0","11","2","406","2"
"1020202","0","ギョーザ","1","115","10202","0","12","2","377","2"
"1020300","0","ギョーザ","1","115","10203","0","11","2","704","3"
"1020301","0","ギョーザ","1","115","10203","0","12","2","660","3"
"1020302","0","ギョーザ","1","115","10203","0","13","2","621","3"
"1030100","0","タコヤキ","1","100","10301","0","8","3","200","1"
"1030101","0","タコヤキ","1","100","10301","0","9","3","175","1"
