fc05171b6e95f69274e13ea794b214cf7bbc11b87c71897637e1280af5207c4a,3cd4140a69a2688b1a9ae6655b8026700c9077533c54669021fef5955bacbd89,9910fed6f51612b708cfc3a5925fa57f243a97349778472ac4622442dcac3a07,f0c456f2b2dbec2a61ef55f79f91b07f5020cb7814f45a0fc80068c405d40720,ce55ac2e10df5fc906d672a68632ab0396cdf11925f342ff2cd5790ba130a63a,5ebc948756d4c8f989ca1ddcff18b32bb7076ca5ca8e1ec7dcaf048dd7a2d8fb,8ba0755549313a7364f58eb32e5141d2d429a28c1f2ae0085d6a095c4f3f53b6,a2138c750531720a8a7b0c9c433dbf49b2791a5c6e49b82c78d4e08038f1d94c,b7232275e1c0c31f2003cb93ce2bddd635f588e542e1a7f5263c607025fc89b5,8653fe94a3e2e9d25b3bcfea22c615c7ecdbb66f16558b5977e3f047d4254081,b4fddd4a472a8ae2c2af27384f3ba5d62cf5e026f90b0948274146395df847f5,e812bde0ebc85b444077f6ccb5d4b264295336bdaa3e67ac1a65539e5b2e1fe9,7eb7f2b3bc1e534bf60a80184b5f9f02d0cff0c6018b692b108f80f4dd056af6,240dffdcf292c1598c65b865d00a574f9d93944d09e490361fd777dcd4cdf335,3c2d8bbc259200dc49c1d43df3bcbdf6553037fd4d9170cc60c484f32bbff645,6299e0a709c845df6a32cdcb79bfd76ffbdc9627c1e2512b8323db20a34418b6,652cf43d0197c41ba05d2bfa0392a5e843958ea4332ff6c0e7efc6f5140b184c,b4f6ac41865ecf972bd81ff0dd08054e92e8d021a5d80b4561e509233ffc60e9,74328b5912325dead03f9af70f7411f3a870d50f9e754d6eb82d07bc82713091,ad49ac7ae17e6f95d495f47b6d6fcd484613d43b667d95bc99eeb51479a7eb7d,2a1e2a047a1f6b3c84f5147dfe627fbe6d4b31a6b27b9974dc3360174cf61696,7fc9f78c03be230c7026faa3a03bfdb880ad6e8180b1825b92eca751cd0cda60
"250","1","bgm_M64","1","210","101001","1","-30","1","-30","0","10","1","0.6","-480","0.7","101001","0","10010101","-120","0.8","1001"
"0","2","bgm_M64","2","200","101001","1","-30","1","0","0","10","1","0.75","-260","1","101001","0","10010102","-120","1.2","1001"
"100","3","bgm_M64","3","200","101001","1","-30","1","-10","0","0","1","0.75","-40","1","101001","-50","10010103","0","1.1","1001"
"0","4","bgm_M64","4","200","101001","1","-30","1","0","0","0","1","0.7","240","1","101001","0","10010104","-50","1","1001"
"200","5","bgm_M55","5","250","101011","1","-30","1","0","0","0","1","1.2","480","1","101011","0","10010105","-40","1.3","1001"
"250","1","bgm_M64","1","210","101001","1","-30","1","-30","0","10","1","0.6","-480","0.7","101021","0","10020101","-155","0.8","1002"
"250","2","bgm_M64","2","200","101001","1","-30","1","0","0","10","1","0.75","-265","1","101021","0","10020102","-120","1.2","1002"
"100","3","bgm_M64","3","200","101001","1","-30","1","-10","-15","0","1","0.9","-30","1","101021","-30","10020103","30","1.4","1002"
"100","4","bgm_M64","4","200","101001","1","-30","1","0","0","0","1","1","220","1.25","101021","-30","10020104","-90","1.5","1002"
"200","5","bgm_M55","5","250","101011","1","-30","1","0","0","0","1","1.4","440","1.6","101031","0","10020105","0","1.8","1002"
"250","1","bgm_M64","1","210","101041","1","-30","1","-30","0","10","1","0.6","-470","0.7","101041","0","10030101","-155","0.8","1003"
"250","2","bgm_M64","2","200","101041","1","-30","1","0","0","10","1","0.75","-210","1","101041","0","10030102","-95","1.2","1003"
"100","3","bgm_M64","3","200","101041","1","-30","1","-10","0","0","1","0.75","50","1","101041","-50","10030103","-120","1.1","1003"
"100","4","bgm_M64","4","200","101041","1","-30","1","0","0","0","1","0.8","195","1.2","101041","-30","10030104","35","1.5","1003"
"150","5","bgm_M55","5","210","101042","1","-30","1","0","0","0","1","1.1","450","1.35","101042","-50","10030105","-55","1.8","1003"
