c65b2afac326807a04ca46e1bd4bc29854faa20b31ff37c991121c6837a08187,1a7438cc01d9c5a7e38c0c12a79669034da2cb4e9e405359ba674fd6185a5be0,90148182ba4a2c119dad1c7cd7d1f02b9e1f9ae154ea08a22a5159f0c7196752,65838c27b9b85997a4057416e2c120fdeb2bb3f7d1935ad94aebc26c9bd03972,3eb6af4b0e10c0a0e60b9ae8021e224a44a8dea7924973761fe8aec31cb60c4a,196728550cf4305aec1e63bf79da22f7879368fb1ba727965aa9fbcb9327c489,5eff6920c9181360ef08b36a18b138bf2357c324fc1b74407139e559b613da11,4df024f75348e8427ff6b67e3727b2a7100bf96bf289020808dfc8966e7397ea,75307146e950e71f6db20d2eeb11cfdfbde4b1d178bf65860aa7f1417d7adca5
"1","1","3","1","2","1","1","0","唯一無二の"
"1","2","3","1","2","1","1","0","完全無欠の"
"1","3","3","1","2","1","1","1","ランドソル最速の"
"1","4","3","1","2","1","1","0","明鏡止水の"
"1","5","3","1","2","1","1","0","史上最速の"
"1","6","3","1","2","1","1","0","最強最速の"
"1","7","3","1","2","1","1","2","アルティメット"
"1","8","3","1","2","1","1","0","百点満点"
"1","9","3","1","2","1","1","0","最優秀"
"1","10","3","1","2","1","1","0","一騎当千の"
"1","11","3","1","2","1","1","0","唯一無二の"
"1","12","3","1","2","1","1","0","天下無双の"
"1","13","3","1","2","0","1","0","泰然自若の"
"1","14","3","1","2","0","1","0","ハイパー"
"1","15","3","1","2","0","1","0","光速の"
"1","16","3","1","2","0","1","0","稀代の"
"1","17","3","1","2","0","1","0","極限の"
"1","18","3","1","2","0","1","0","至高の"
"1","19","3","1","2","0","1","0","煌めく"
"1","20","3","1","2","0","1","0","百戦錬磨の"
"1","21","3","1","2","0","1","0","疾風迅雷の"
"1","22","3","1","2","0","1","0","電光石火の"
"1","23","3","0","2","1","1","0","変幻自在の"
"1","24","3","0","2","1","1","0","空前絶後の"
"1","25","3","0","2","1","1","0","レペゼン"
"1","26","3","0","2","1","1","0","音速の"
"1","27","3","0","2","1","1","0","常識外れの"
"1","28","3","0","2","1","1","0","獅子奮迅の"
"1","29","3","0","2","1","1","2","勇猛果敢なる"
"1","30","3","0","2","1","1","2","威風堂々たる"
"1","31","3","0","2","1","1","0","急がば回れ"
"1","32","3","0","2","1","1","0","心頭滅却"
"1","33","3","0","2","0","1","0","夢見る"
"1","34","3","0","2","0","1","0","ナイス"
"1","35","3","0","2","0","1","0","そこそこの"
"1","36","3","0","2","0","1","2","若葉マークの"
"1","37","3","0","2","0","1","0","未来ある"
"1","38","3","0","2","0","1","0","新米"
"1","39","3","0","2","0","1","0","駆け出しの"
"1","40","3","0","2","0","1","0","ぼちぼちの"
"1","41","3","0","2","0","1","0","新進気鋭の"
"1","42","3","0","2","0","1","0","不撓不屈の"
"1","43","3","0","2","0","1","0","七転八起の"
"1","44","3","0","2","0","1","0","がんばれ"
"1","45","3","1","2","1","2","0","選ばれし"
"1","46","3","1","2","1","2","2","アルティメット"
"1","47","3","1","2","1","2","1","オーシャンブルー"
"1","48","3","1","2","1","2","2","海に愛された"
"1","49","3","1","2","1","2","2","大海を統べる"
"1","50","3","1","2","1","2","0","伝説の"
"1","51","3","1","2","1","2","2","世界を揺るがす"
"1","52","3","1","2","1","2","1","スーパーワイルド"
"1","53","3","1","2","1","2","0","神がかった"
"1","54","3","1","2","1","2","2","ぶっちぎりの"
"1","55","3","1","2","0","2","1","誰にも止められない"
