e27a8927e232bb1e697212fb1c882745f3b05858b8245aa3ca0940c7022a585b,d90b15a2821ecd9b3b6bf73d54ee806642b7ce057206a468808c1145cc65a31b,31e65a202f8de2b5339726c628ac05b73775f2623d7bb241cb97d98a6f8b0bef,6daf2452bc7e18c8a69cd0fa0eb2860300dd1bf09da9d8dc7215f7b25daf6255,971f98a8fa50443817cb812b76e4c07914aa8b3c0e03d2f30bd3bfc9474b2b91,65b6e003eacb3dda552dca6e6356367a1072ba4265fa97141814b84295f17030,254356d5a359b147bfd5d6008a82827969198cf7e442ba3f41316284bbfa9e8d,99e9a78779b4e0fc971f51474d700accea20c89f797e0361d39875b327a6359f,92775bdbe76142a029bf27efc62ae5433a84ef542eab9b8b4847084560486eed,fe17ef6fbbb2ebb22aa86383e08c6ae02d960d75023cd5f26823ac4d525aefb9,5fa382893dd9777707ba3c15f79287e7df6d70e9f530fc397d0dd173fa4e5169,0ebd0e9fe2984911cce18c9552556f0922cc946b0c64d3e08e70e758152699f8
"80001_2","80001","1","1","0","80001_1","80000","2","24005","1","80001_3","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）"
"80002_2","80002","1","1","0","80002_1","80000","2","24006","1","80002_3","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）"
"80003_2","80003","1","1","0","80003_1","80000","2","24007","1","80003_3","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）"
"80004_2","80004","1","1","0","80004_1","80000","2","24008","1","80004_3","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）"
"80005_2","80005","1","1","0","80005_1","80000","2","24009","1","80005_3","★3確定 プリコネフェス記念ガチャチケット"
"80006_2","80006","1","1","0","80006_1","80000","2","24010","1","80006_3","★3確定 プリコネフェス2022記念ガチャチケット"
"80007_2","80007","1","1","0","80007_1","80000","2","24011","1","80007_3","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1"
"80008_2","80008","1","1","0","80008_1","80000","2","24012","1","80008_3","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2"
"80009_2","80009","1","1","0","80009_1","80000","2","24013","1","80009_3","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3"
"80010_2","80010","1","1","0","80010_1","80000","2","24014","1","80010_3","★3確定 プリコネフェス2023記念ガチャチケット"
"80011_2","80011","1","1","0","80011_1","80000","2","24015","1","80011_3","★3確定 5周年記念ガチャチケット"
"80012_2","80012","1","1","0","80012_1","80000","2","24016","1","80012_3","★3確定 スタートダッシュガチャチケット"
"80013_2","80013","1","1","0","80013_1","80000","2","24017","1","80013_3","★3確定 プリコネフェス2024記念ガチャチケット"
"80014_2","80014","1","1","0","80014_1","80000","2","24018","1","80014_3","★3確定 プリコネフェス2025記念ガチャチケット"
"80015_2","80015","1","1","0","80015_1","80000","2","24019","1","80015_3","GWガチャチケット(火)2025"
"80016_2","80016","1","1","0","80016_1","80000","2","24020","1","80016_3","GWピックアップガチャチケット(火)2025"
"80017_2","80017","1","1","0","80017_1","80000","2","24021","1","80017_3","GWガチャチケット(闇)2025"
"80018_2","80018","1","1","0","80018_1","80000","2","24022","1","80018_3","GWピックアップガチャチケット(闇)2025"
