object_id,season_id,object_type,position_x,position_y
"30010001","1","990001","-7","-4.5"
"30010003","1","990001","12","-21.5"
"30010004","1","990001","-3","-21.5"
"30010007","1","1","-5.8","-21.6"
"30010008","1","1","-4.4","-21.6"
"30010029","1","1","-16.7","-8.6"
"30010038","1","1","-7","-13"
"30010047","1","990002","-5.5","2.9"
"30010055","1","1","-8.9","-17.6"
"30010056","1","1","-6.6","-19"
"30010060","1","1","-5","-18.4"
"30010061","1","3","0.6","-20.4"
"30010062","1","3","-3.9","-17.2"
"30010063","1","1","-4.1","-14.9"
"30010066","1","1","2.2","-17"
"30010068","1","1","2.2","-18.5"
"30010070","1","1","2.2","-15.4"
"30010071","1","3","-9.6","-21.7"
"30010073","1","1","-11.9","-21.6"
"30010074","1","3","-12","-20"
"30010077","1","3","-1.9","-21.7"
"30010079","1","3","-4.9","-13.8"
"30010081","1","2","-17","-3.6"
"30010083","1","2","-15","-4.7"
"30010085","1","3","-13.9","-16.8"
"30010089","1","3","-7.1","-11.5"
"30010091","1","2","-8.1","-8.7"
"30010094","1","2","-5.7","-8.7"
"30010100","1","2","-16.3","-4.7"
"30010104","1","2","-13.8","-0.2"
"30010106","1","2","-13.9","2.3"
"30010107","1","2","-15.2","1"
"30010109","1","2","-16.6","2.1"
"30010110","1","2","-16.5","-0.1"
"30010112","1","2","-20","-2"
"30010113","1","2","-20","-0.8"
"30010115","1","2","-20","2"
"30010116","1","2","-20","3.7"
"30010117","1","3","-19.9","0.6"
"30010119","1","3","-18.2","-2.9"
"30010120","1","3","-19.5","-3"
"30010125","1","991002","-15","-2.5"
"30010126","1","991001","-16.7","-2.5"
"30010130","1","991001","-8.5","-21.4"
"30010134","1","3","-18.4","4.8"
"30010136","1","3","-17","5.8"
"30010137","1","2","-17.1","6.9"
"30010138","1","3","-17","8"
"30010139","1","2","-17","9.5"
"30010145","1","2","-13.5","5.3"
"30010146","1","2","-12.1","5.3"
"30010147","1","3","-15.5","8.7"
"30010148","1","2","-14.3","8.8"
"30010149","1","3","-13","8.8"
"30010150","1","2","-12.3","10.2"
"30010152","1","2","-10.8","8.4"
"30010155","1","2","-10.7","10.2"
"30010156","1","1","-6.2","-16.1"
"30010160","1","2","-7.3","6.8"
"30010161","1","3","-6.4","7.9"
"30010162","1","1","-6","6.4"
"30010163","1","3","-6","2"
"30010164","1","1","-6","4.6"
"30010166","1","1","-2.8","3"
"30010168","1","1","-2.2","5.3"
"30010169","1","3","-0.5","5.3"
"30010170","1","1","-4.9","-12.2"
"30010171","1","3","-4.9","-10.9"
"30010173","1","1","-3.8","8"
"30010174","1","2","-2.6","8.7"
"30010175","1","1","-1.5","8"
"30010176","1","2","-0.3","8.7"
"30010177","1","1","0.9","7.9"
"30010178","1","2","-1.9","3.3"
"30010181","1","2","-1.6","-0.8"
"30010182","1","1","1","0.4"
"30010183","1","2","2.4","0.4"
"30010184","1","1","3.6","0.4"
"30010186","1","1","6.4","1.3"
"30010187","1","3","8","1.3"
