047652a7b0da18ec6f20740ae13787be940ad024d9b2817089575915cba28f7e,4918a6a29594a98149a9de88c3d947b22520768608fd6cdb66bdac87fd3f0e55,c0c5c9b335d060e78114531917ed43f5de96491b9eb4e2e7786767149453aa3a,93e9ff2e05cc5d77c3b645ff2e51dbf60428e82ea9c83a64eda2acf94fcf6d78,fc36920179b3f20281b5a01d112f5c72fa696363de1d4a1f245c7fd7366745e0,32129a816625fd6ba2f545b6bf98223b5cd0414395349e00e75be98a1eb3b0c5,ebc48203f30d399e45f98da48d6f2282be231904b2a2824ab4743a617d7a03f5,3dcc6f75e918f803fa70967c2fd7c0909071fc880724d3b73d8e1f6b72707362
"52001","0","【料理】ダイスが2個に増える","1","0","1","1","1"
"52002","0","【料理】ダイスの目が必ず「1」になる","1","0","2","1","1"
"52002","0","【料理】次のターン数のカウントをスキップする","3","0","3","1","2"
"52004","0","【料理】ダイスの目が必ず「4」になる","1","0","4","1","1"
"52006","0","【料理】ダイスの目が\n「4・5・6」のみになる","1","0","5","1","1"
"52007","0","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","1","0","6","1","1"
"52003","0","【料理】ダイスの目が必ず「5」になる","1","0","7","1","1"
"52008","0","【料理】マイルマスの獲得マイルが200%アップする","2","0","8","1","7"
"4","0","【イベント】次のターン数のカウントをスキップする","3","0","9","2","2"
"5","0","【イベント】マイルマスの獲得マイルが100%アップする","2","0","10","2","3"
"6","0","【イベント】ミニゲームの獲得マイルが100%アップする","2","0","11","2","5"
"7","0","【イベント】マイルショップの全商品が20%以上割引される","3","0","12","2","4"
"52009","0","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","1","0","13","1","1"
"52010","0","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","2","0","14","1","6"
"52011","0","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","1","0","15","1","1"
"52012","0","【料理】ダイスの目が\n「1・2・3」のみになる","1","0","16","1","1"
"52012","0","【料理】次のターン数のカウントをスキップする","3","0","17","1","2"
"52014","0","【料理】移動時にマイルマスをスキップできる","1","0","18","1","8"
"52005","0","【料理】次回移動時に1マス分多く進める","1","0","19","1","1"
"52014","2","【料理】次回移動時に1マス分多く進める","1","2","20","1","1"
"52015","0","【料理】ダイスが2個に増える","1","0","21","1","1"
"52015","0","【料理】次回移動時に1マス分多く進める","1","0","22","1","1"
"52016","0","【料理】ダイスの目が必ず「6」になる","1","0","23","1","1"
"52017","0","【料理】移動系カテゴリーの料理が食べられなくなる","1","0","24","1","9"
"52018","0","【料理】ダイスの目が必ず「3」になる","1","0","25","1","1"
"52019","0","【料理】ダイスの目が必ず「8」になる","1","0","26","1","1"
"98011","0","【イベント】次のターン数のカウントをスキップする","3","0","27","2","2"
"98012","0","【イベント】次のターン数のカウントをスキップする","3","0","28","2","2"
"52020","0","【料理】移動時にマイルマスをスキップできる","2","0","29","1","10"
"52020","2","【料理】次回移動時に1マス分多く進める","1","2","30","1","1"
"52021","0","【料理】移動時にトレジャーマスをスキップできる","2","0","31","1","10"
"52022","0","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","1","0","32","1","1"
"52023","0","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","1","0","33","1","1"
