5b536a86593be94c4df5b46fe03b7c2737881fccf724e4cc8821925a8ccd1617,e4717a6955966dd92eb0fa209ec5aaa9e294ee3988126d8885632d5b269208b3,90b4683311e86c180085bca2c5a910e8f6a7b9d9828a9dda1153c92b9c013550,3c7d81318a9fd70fcc7b18bd4e25634c554a072745bc584dd722f9469e151967
"0","100101","1001","戦闘不能になったキャラが0人以下で勝利"
"1","100102","1001","戦闘不能になったキャラが1人以下で勝利"
"2","100103","1001","戦闘不能になったキャラが2人以下で勝利"
"74001","100201","1002","バトルの残り時間が1:15以上で勝利"
"69001","100202","1002","バトルの残り時間が1:10以上で勝利"
"59001","100203","1002","バトルの残り時間が1:00以上で勝利"
"49001","100204","1002","バトルの残り時間が0:50以上で勝利"
"44001","100205","1002","バトルの残り時間が0:45以上で勝利"
"39001","100206","1002","バトルの残り時間が0:40以上で勝利"
"29001","100207","1002","バトルの残り時間が0:30以上で勝利"
"1000","100301","1003","味方のTotal HPが100%以上で勝利"
"900","100302","1003","味方のTotal HPが90%以上で勝利"
"800","100303","1003","味方のTotal HPが80%以上で勝利"
"700","100304","1003","味方のTotal HPが70%以上で勝利"
"600","100305","1003","味方のTotal HPが60%以上で勝利"
"500","100306","1003","味方のTotal HPが50%以上で勝利"
"990","100307","1003","味方のTotal HPが99%以上で勝利"
