755bf6c8ea5af661153cf5a1093e8ec6a63e54fc654cadf5433118c5e0fe01b6,3a22dbaf1b3788e5212ac72489008aa8274595b92e479a4c2ba8bed48d02954a,27789fd90df95ada034f5c315881141f7c95a0f72a3c0c8b7b1aa9be61dccbbb,f533d4824baf68515a3c5aab02969e59266ab43b7ed910b837280a86411f5a02,931431508f16acd346d15f2463d628973f0c45069adb9b3c1191fd36cff8f69b,abcd2b247e6a22dc4c3c0d3e5e4762c4963829111d7d8efd968ab6c39cd24cc8,a74511cf91d2b5b7803839dab50c2806096a5fbd187c016dd0311f6a9aacf0a5,b206d842d7cf94edd126d84310948c78e793e11be53752e5b94f25fae2325b18,6e78fdb540a6140463615279e3c34eb21730f0315fa955b3cec7778b1ab78cf0,bcdd300c699f8753403822b983001816c5547c61215975f0aa71e4302e96a861,b7c8da7942d77872bbb9acfc4ed3c1c28c238b843528a3a6550ef862ee0bde99,15e875454eed86118a551340d837bc419d0b6561dafb974cf2ec621e98b1ebda,86ae40e353f16cc41c5f0707d1aa7b185ccc986b6b4192c7e72db5b3f9a86e56
"","","","3100101","","","","29","1","31001_01","","",""
"","","","3100101","","","","59","30","31001_03","","",""
"","","","3100101","","","","-1","60","31001_05","","",""
"","","31001_01","3100102","","","","29","1","31001_01","","",""
"","","31001_03","3100102","","","","59","30","31001_03","","",""
"","","31001_05","3100102","","","","-1","60","31001_05","","",""
"","","31001_01","3100103","","","","29","1","31001_01","","","31001_01"
"","","31001_03","3100103","","","","59","30","31001_03","","","31001_03"
"","","31001_05","3100103","","","","-1","60","31001_05","","","31001_05"
"","","31001_01","3100104","","","","29","1","31001_01","","31001_01","31001_01"
"","","31001_03","3100104","","","","59","30","31001_03","","31001_03","31001_03"
"","","31001_05","3100104","","","","-1","60","31001_05","","31001_05","31001_05"
"","","61003_02","3100201","","","","29","1","61003_01","","",""
"","","61003_04","3100201","","","","49","30","61003_03","","",""
"","","61003_06","3100201","","","","79","50","61003_05","","",""
"","","61003_08","3100201","","","","99","80","61003_07","","",""
"","","61003_10","3100201","","","","109","100","61003_09","","",""
"","","61003_12","3100201","","","","119","110","61003_11","","",""
"","","61003_14","3100201","","","","129","120","61003_13","","",""
"","","61003_16","3100201","","","","139","130","61003_15","","",""
"","","61003_18","3100201","","","","149","140","61003_17","","",""
"","","61003_20","3100201","","","","159","150","61003_19","","",""
"","","61003_22","3100201","","","","169","160","61003_21","","",""
"","","61003_24","3100201","","","","179","170","61003_23","","",""
"","","61003_26","3100201","","","","189","180","61003_25","","",""
"","","61003_28","3100201","","","","199","190","61003_27","","",""
"","","61003_30","3100201","","","","209","200","61003_29","","",""
"","","61003_32","3100201","","","","219","210","61003_31","","",""
"","","61003_34","3100201","","","","229","220","61003_33","","",""
"","","61003_36","3100201","","","","239","230","61003_35","","",""
"","","61003_38","3100201","","","","249","240","61003_37","","",""
"","","61003_40","3100201","","","","259","250","61003_39","","",""
"","","61003_42","3100201","","","","269","260","61003_41","","",""
"","","61003_44","3100201","","","","279","270","61003_43","","",""
"","","61003_46","3100201","","","","289","280","61003_45","","",""
"","","61003_48","3100201","","","","299","290","61003_47","","",""
"","","61003_50","3100201","","","","309","300","61003_49","","",""
"","","61003_52","3100201","","","","319","310","61003_51","","",""
"","","61003_54","3100201","","","","329","320","61003_53","","",""
"","","61003_56","3100201","","","","-1","330","61003_55","","",""
