a397f6ab47b7bec15e80f524611873beb2ec2f21b1b85c35c3dd707b76e8d0ce,09f84026b18653be1c0002029a5511c703eff3774c4940d8cccd67dc4b32bd19,f18fb3388e4940331c9a00d0e583fba1c4f9b7f0273c45489a94b3e0f8749816
"1","1","10101"
"1","2","10102"
"1","3","10103"
"1","4","10104"
"2","1","10201"
"2","2","10202"
"2","3","10203"
"2","4","10204"
"3","1","10301"
"3","2","10302"
"3","3","10303"
"3","4","10304"
"4","1","10401"
"4","2","10402"
"4","3","10403"
"4","4","10404"
"5","1","10501"
"5","2","10502"
"5","3","10503"
"5","4","10504"
"6","1","10601"
"6","2","10602"
"6","3","10603"
"6","4","10604"
"7","1","10701"
"7","2","10702"
"7","3","10703"
"7","4","10704"
"8","1","10801"
"8","2","10802"
"8","3","10803"
"8","4","10804"
"0","0","99999"
