81a168caa817913169028cc42a63c7dab0e66a93e8e81408b6811692dfa31d9c,ffea139c3f5b34c90615f14efd494df3772031ebefd8607ecb5896645f60e983,fc0b64433299463808e97eabc4c2e0b80d4794687e6925bccb1eb3ed840f45dc,3ca9acd5be0e8f0ec79c9bd1dd72c468c9af8bae87fdf7a55c69e09e70c0cf96,0e7a6408c09af3937b23e558ec82799c48e2822b262369cabddbd861af938832
"片手剣","red","#D23232","90009","101"
"両手剣","red","#D23232","90009","102"
"短剣","red","#D23232","90009","103"
"槍","red","#D23232","90009","104"
"斧","red","#D23232","90009","105"
"弓","red","#D23232","90009","106"
"拳","red","#D23232","90009","107"
"盾","red","#D23232","90009","108"
"杖","red","#D23232","90009","109"
"本","red","#D23232","90009","110"
"服","blue","#476FD8","90010","201"
"鎧","blue","#476FD8","90010","202"
"白ローブ","blue","#476FD8","90010","203"
"黒ローブ","blue","#476FD8","90010","204"
"指輪","yellow","#E5681E","90011","301"
"腕輪","yellow","#E5681E","90011","302"
"ネックレス","yellow","#E5681E","90011","303"
"宝珠","yellow","#E5681E","90011","304"
"イヤリング","yellow","#E5681E","90011","305"
