766a34d88cb5deaa577f199ceabb825aaf75f6ea88f7a98f159135f0ba5949fe,318190a00a6cd6d6e96bd92f18ba5b4bad15562c515d078de0a9341eda01f682,5c87b23c15823afb8add09e0f5ac350432da389c0f0c7a937e5154a567b9a1e7,24f2ce5d9d51a68810081080d96632b07c3c6eb89c1c7608f1882b78ad96c680,a17ef5b833c150a978f329dc725a609744e4d81c717d788d5466a6cf51a5f84f,c47a015fadc1798a4ab89b7c1f3d6503555f3c077536f21860b5d88d86158e79,a76c137682b61e0f75463c7ac48e5f444a6e10925c44f0cd650a5599beb6bdd8,fda9c055b2c87464c460c2107e97f8db392ca6f2ad547cee69f8f1357b31af9c,2e2ae8ad191790a2a3b9fb90661daafa925e7902b5245d0de88011778b6169d1,29351ea1ef7b2087e59e2931bf85f2bd0df9bdab62054f28e51e760e7a829054,494a0191eb7405f6957b871ff9fbaf6cbecba3ac4ebc5daecba64b1e63122018,188a85825f720c9609300e6645b7ff72573d92f012bfa1720331dfb55ca52550,eb197908a1986786f4eb30d911f4a940021d172c82a6267d0868a27e0c01132a,810dd93d97a878cae97b61f8c951c3f1a582d488ab927a2987de7ec978eed564,7f8ff282c4e14a1c4c32925953360a7453e8f95a759389fefed363dd3e49c2df
"3","0","10010","0","601","ユイ、レイ、ヒヨリのシャドウを倒そう","0","6011","81010001","2018/12/31 12:00:00","81010001","0","9001","2019/01/18 14:59:59","103"
"36","0","10010","0","601","ボンノウを36個討滅しよう","0","6011","81010002","2018/12/31 12:00:00","81010002","0","9014","2019/01/18 14:59:59","104"
"72","0","10010","0","601","ボンノウを72個討滅しよう","0","6011","81010003","2018/12/31 12:00:00","81010003","0","9014","2019/01/18 14:59:59","105"
"108","0","10010","0","601","ボンノウを108個討滅しよう","0","6011","81010004","2018/12/31 12:00:00","81010004","0","9014","2019/01/18 14:59:59","106"
"500000","0","10010","0","601","スペシャルバトルのボスのHPを1080000まで減らそう","0","6011","81010005","2018/12/31 12:00:00","81010005","0","9013","2019/01/18 14:59:59","111"
"1040000","0","10010","0","601","スペシャルバトルのボスのHPを540000まで減らそう","0","6011","81010006","2018/12/31 12:00:00","81010006","0","9013","2019/01/18 14:59:59","113"
"1580000","0","10010","0","601","スペシャルバトルのボスを討滅しよう","0","6011","81010007","2018/12/31 12:00:00","81010007","0","9013","2019/01/18 14:59:59","115"
"500000","0","10011","0","601","スペシャルバトルのボスのHPを5000000まで減らそう","0","6011","81011001","2019/01/31 12:00:00","81011001","0","9013","2019/02/18 14:59:59","103"
"1500000","0","10011","0","601","スペシャルバトルのボスのHPを4000000まで減らそう","0","6011","81011002","2019/01/31 12:00:00","81011002","0","9013","2019/02/18 14:59:59","104"
"1650000","0","10011","0","601","スペシャルバトルのモード1をクリアしよう","0","6011","81011003","2019/01/31 12:00:00","81011003","0","9013","2019/02/18 14:59:59","105"
"3500000","0","10011","0","601","スペシャルバトルのボスのHPを2000000まで減らそう","0","6011","81011004","2019/01/31 12:00:00","81011004","0","9013","2019/02/18 14:59:59","106"
"3300000","0","10011","0","601","スペシャルバトルのモード2をクリアしよう","0","6011","81011005","2019/01/31 12:00:00","81011005","0","9013","2019/02/18 14:59:59","111"
"4600000","0","10011","0","601","スペシャルバトルのボスのHPを900000まで減らそう","0","6011","81011006","2019/01/31 12:00:00","81011006","0","9013","2019/02/18 14:59:59","113"
"5500000","0","10011","0","601","スペシャルバトルのボスを討滅しよう","0","6011","81011007","2019/01/31 12:00:00","81011007","0","9013","2019/02/18 14:59:59","115"
"4","0","10012","0","601","カオリ、マコト、マホ、カスミのシャドウを倒そう","0","6011","81012001","2018/02/28 12:00:00","81012001","0","9001","2019/03/18 14:59:59","103"
"450000","0","10012","0","601","スペシャルバトルのボスのHPを2700000まで減らそう","0","6011","81012002","2018/02/28 12:00:00","81012002","0","9013","2019/03/18 14:59:59","104"
"1050000","0","10012","0","601","スペシャルバトルのボスのHPを2100000まで減らそう","0","6011","81012003","2018/02/28 12:00:00","81012003","0","9013","2019/03/18 14:59:59","105"
"1543500","0","10012","0","601","スペシャルバトルのモード2をクリアしよう","0","6011","81012004","2018/02/28 12:00:00","81012004","0","9013","2019/03/18 14:59:59","106"
"2150000","0","10012","0","601","スペシャルバトルのボスのHPを1000000まで減らそう","0","6011","81012005","2018/02/28 12:00:00","81012005","0","9013","2019/03/18 14:59:59","111"
"2650000","0","10012","0","601","スペシャルバトルのボスのHPを500000まで減らそう","0","6011","81012006","2018/02/28 12:00:00","81012006","0","9013","2019/03/18 14:59:59","113"
"3150000","0","10012","0","601","スペシャルバトルのボスを討滅しよう","0","6011","81012007","2018/02/28 12:00:00","81012007","0","9013","2019/03/18 14:59:59","115"
"3","0","10013","0","601","ペコリーヌ、コッコロ、キャルのシャドウを倒そう","0","6011","81013001","2019/03/31 12:00:00","81013001","0","9001","2019/04/14 14:59:59","103"
"300000","0","10013","0","601","スペシャルバトルのボスのHPを2700000まで減らそう","0","6011","81013002","2019/03/31 12:00:00","81013002","0","9013","2019/04/14 14:59:59","104"
"900000","0","10013","0","601","スペシャルバトルのボスのHPを2100000まで減らそう","0","6011","81013003","2019/03/31 12:00:00","81013003","0","9013","2019/04/14 14:59:59","105"
"1500000","0","10013","0","601","スペシャルバトルのモード2をクリアしよう","0","6011","81013004","2019/03/31 12:00:00","81013004","0","9013","2019/04/14 14:59:59","106"
"2000000","0","10013","0","601","スペシャルバトルのボスのHPを1000000まで減らそう","0","6011","81013005","2019/03/31 12:00:00","81013005","0","9013","2019/04/14 14:59:59","111"
