762dd0a0cdff0165a9f91507f11f08a8590bce52ba003b083adb978832c41d27,f2ebae506fdfea631384cb333e38cd10da1a20fa3632db4080ce8a3f22da269c,fa1c86f0818c0a9ec0f31a95d6895fccb73eae1e3a87fc9e8e54c19e1e930c0f,e90498d9164322925ba9bae47f3f0fb349790f3bbee6daa328ae1b8b41dbb5c7,0d270a6e9994a1ddf7733724fdffd1e6574c841b9dff10d3a4028feb60f24ac0,6b19d3cb491a1c94d1cc4319affc80d7c9aadafb090c7436afaec162da45018b
"1","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","118001"
"2","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","1013206","2023/11/30 12:00:00","118001"
"3","3010","バトル開始後90秒間ＴＰ上昇大アップ","1013206","2023/11/30 12:00:00","118001"
"4","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","105801"
"5","3004","バトル開始後90秒間魔法防御力極大\nアップ","1013206","2023/11/30 12:00:00","105801"
"6","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","1013206","2023/11/30 12:00:00","105801"
"7","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","107501"
"8","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","1013206","2023/11/30 12:00:00","107501"
"9","3010","バトル開始後90秒間ＴＰ上昇大アップ","1013206","2023/11/30 12:00:00","107501"
"10","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","111801"
"11","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","111801"
"13","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","121001"
"14","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","121001"
"16","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","180401"
"17","3004","バトル開始後90秒間魔法防御力極大\nアップ","1013206","2023/11/30 12:00:00","180401"
"18","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","1013206","2023/11/30 12:00:00","180401"
"19","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","127901"
"20","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","127901"
"21","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","106601"
"22","3012","バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","106601"
"23","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","101401"
"24","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","101401"
"25","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","101201"
"26","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","101201"
"27","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","116501"
"28","3012","バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","116501"
"29","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","121601"
"30","3012","バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","121601"
"31","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013406","2023/12/31 12:00:00","128301"
