9fa84d913c953d5489578dd1e0ab243c30a8e111b4d2dcb7ae7d0d2289a14ee3,880d1fa207217268337af1debd83c2d2269e2c68596f92657c38c233c52e9d95,8e0536f99effdb79cd35a663e005343be834d538f38ccff95a4507039629d51c,9f2c6d591534d95a21359d654ae26f8bf317a5e7e76a40ddea4757a535d3e723,f4480c9088cff75ed6b720f89f015ac3d111c4fe47f34463364af208db9744c8,853fcb439510348fc9fefce6b784499c7e66f7e37aa3b1da1815227e395a58c9,97b5edbed04f1e2a22d83dcbabdd5caf4cb8b41915be48838a26b43e9a5d7b1d,22c1304777742ffeb75b32a5161b6195dd6a85c9044c2d6122c398beb09651d8,99088f99e57d9577e85ef4dd975fce6d78ce71ebf7fbe0bf5ac347a75feee17d
"1001","100101","1001","1","0","10000","0","全難易度合計で10000pt獲得しよう","100101"
"1001","100102","1001","1","0","30000","0","全難易度合計で30000pt獲得しよう","100102"
"1001","100103","1001","1","0","50000","0","全難易度合計で50000pt獲得しよう","100103"
"1001","100104","1001","1","0","70000","0","全難易度合計で70000pt獲得しよう","100104"
"1001","100105","1001","1","0","90000","1","全難易度合計で90000pt獲得しよう","100105"
"1001","100106","1001","1","0","105000","1","全難易度合計で105000pt獲得しよう","100106"
"1001","100107","1001","1","0","120000","1","全難易度合計で120000pt獲得しよう","100107"
"1001","100108","1001","1","0","135000","1","全難易度合計で135000pt獲得しよう","100108"
"1001","100109","1002","1","1","0","2","難易度NORMAL1で1回戦おう","100109"
"1001","100110","1003","1","1","0","2","難易度NORMAL2で1回戦おう","100110"
"1001","100111","1004","1","1","0","2","難易度NORMAL3で1回戦おう","100111"
"1001","100112","1001","1","1","10000","3","難易度NORMALで10000pt獲得しよう","100112"
"1001","100113","1001","1","1","20000","3","難易度NORMALで20000pt獲得しよう","100113"
"1001","100114","1001","1","1","30000","3","難易度NORMALで30000pt獲得しよう","100114"
"1001","100115","1002","1","2","0","4","難易度HARD1で1回戦おう","100115"
"1001","100116","1003","1","2","0","4","難易度HARD2で1回戦おう","100116"
