e115dccd54550e11e0f618acfe53dc7b933b58ce8b4a5a59f58906d99a585d1e,acb490e7b94fa4f2d216d0fea2a47bf6748e5b9f75bb2cf788794ffb81e45b2c,b416453369e77bc15f75f22ff45a5240f1f08f9ac595cf49e3f60cfb4ca9e37d,674523e8bb221afe2d571d2e42dbf0e6dc57d417656b4aaad26b840ece63dfdb
"ＨＰ","1","1","10000"
"物理攻撃力","2","1","10000"
"物理防御力","3","1","10000"
"魔法攻撃力","4","1","10000"
"魔法防御力","5","1","10000"
"物理クリティカル","6","1","10000"
"魔法クリティカル","7","1","10000"
"回避","8","0","1"
"ＨＰ吸収","9","0","1"
"ＨＰ自動回復","10","0","1"
"ＴＰ自動回復","11","0","1"
"物理貫通ダメージ","12","0","1"
"魔法貫通ダメージ","13","0","1"
"ＴＰ上昇","14","0","1"
"回復量上昇","15","0","1"
"ＴＰ消費軽減","16","0","1"
"命中","17","0","1"
"物理クリティカルダメージ","100","1","100"
"魔法クリティカルダメージ","101","1","100"
"物理与ダメージ","102","1","100"
"魔法与ダメージ","103","1","100"
"属性ボーナス","104","1","10000"
