21c83f60765461ac021a89a82502679354a8c8f74dd9f4f0e7aa714af6b11684,e0fbbd52c1b955ebd586f072f78fe87c6677502618fe4207f21ac8a8e454b7e5,1b30cd38d0c8308304f9df61cfdf6adf3d1031cce85ec5e172c3e128f49f9fdf,f8f794583d7dc9470dc7efa3e18c48e95527cec397826332e8060153c2a83182,f4e2627468ddd46f6908089ea840bdc8a7c4112838bcb808be7cf9f13b33a504,62b2f9a02135f8cf3c2f0a606b105688d1d37107d27a36afa7652008364b1cf7
"100101","0","春咲 ひより","9","ランドソル ギルドハウス","500040"
"100201","0","草野 優衣","4","ランドソル ギルドハウス","500040"
"100301","0","士条 怜","3","ランドソル ギルドハウス","500040"
"100401","0","穂高 みそぎ","4","プラノ平原","500140"
"100501","0","織原 茉莉","4","ランドソル 王城入口","500090"
"100601","0","風宮 あかり","4","古城","500260"
"100701","0","出雲 宮子","4","古城","500260"
"100801","0","虹村 雪","4","プラノ平原","500140"
"100901","0","柊杏奈","3","ランドソル 飲食店内","500050"
"101001","0","姫宮 真歩","4","自警団 拠点","500060"
"101101","0","衣之咲 璃乃","4","ランドソル 繁華街","500030"
"101201","0","柏崎 初音","3","エルフの森","500180"
"101301","0","丹野 七々香","2","ランドソル 飲食店内","500050"
"101401","0","霧原 かすみ","4","自警団 拠点","500060"
"101501","0","愛川 美里","4","エルフの森","500180"
"101601","0","美波 鈴奈","9","ルーセント学院","500080"
"101701","0","喜屋武 香織","4","自警団 拠点","500060"
"101801","0","支倉 伊緒","4","ルーセント学院","500080"
"102001","0","茜 ミミ","2","プラノ平原","500140"
"102101","0","栗林 くるみ","5","サレンディア救護院 広間","500110"
"102201","0","風宮 より","4","古城","500260"
"102301","0","北条 綾音","4","サレンディア救護院 広間","500110"
"102501","0","天野 すずめ","10","サレンディア救護院 広間","500110"
"102601","0","森近 鈴","3","牧場 拠点","500150"
"102701","0","倉石 恵理子","4","ランドソル 飲食店内","500050"
"102801","0","佐々木 咲恋","4","サレンディア救護院 広間","500110"
"102901","0","桜井 望","1","ランドソル 市街地","500010"
"103001","0","ニノン・ジュベール","4","プラノ平原","500140"
"103101","0","上喜 しのぶ","4","古城","500260"
"103201","0","藤堂 秋乃","4","メルクリウス財団 拠点","500070"
"103301","0","野戸まひる","9","牧場 拠点","500150"
"103401","0","綾瀬 ゆかり","4","メルクリウス財団 拠点","500070"
"103601","0","氷川 鏡華","1","プラノ平原","500140"
"103701","0","御久間 智","2","ランドソル 王城入口","500090"
"103801","0","柏崎 栞","2","牧場 拠点","500150"
"104001","0","双葉 碧","2","エルフの森","500180"
"104201","0","三角 千歌","4","ランドソル 市街地","500010"
"104301","0","安芸 真琴","2","自警団 拠点","500060"
"104401","0","イリヤ・オーンスタイン","4","古城","500260"
"104501","0","遠見 空花","4","プラノ平原","500140"
"104601","0","宮坂たまき","3","メルクリウス財団 拠点","500070"
"104701","0","白銀 純","1","ランドソル 王城入口","500090"
"104801","0","大神 美冬","2","メルクリウス財団 拠点","500070"
"104901","0","星野静流","4","ランドソル 繁華街","500030"
"105001","0","玉泉美咲","2","ルーセント学院","500080"
"105101","0","宵ヶ浜 深月","6","ランドソル 飲食店内","500050"
"105201","0","リマ","9","牧場 拠点","500150"
"105301","0","モニカ・ヴァイスヴィント","2","プラノ平原","500140"
"105401","0","繭宮つむぎ","9","ランドソル 市街地","500010"
"105501","0","石橋あゆみ","15","プラノ平原","500140"
"105601","0","太刀洗流夏","3","ランドソル 飲食店内","500050"
"105701","0","ジータ","4","ブリザ渓谷","500200"
"105801","0","ペコリーヌ","3","エステレラ街道","500130"
"105901","0","コッコロ","2","エステレラ街道","500130"
"106001","0","キャル","3","エステレラ街道","500130"
"106101","0","ムイミ","20","ラビリンスギルド拠点","500341"
"106301","0","アリサ","3","ミステリオン森林","500170"
"106401","0","シェフィ","2","美食殿 ギルドハウス","500361"
"106501","0","カヤ","4","密林_テント","500833"
"106601","0","イノリ","4","密林_テント","500833"
"106701","0","ホマレ","2","ホマレの部屋","501320"
"106801","0","模索路晶","18","ランドソル 繁華街","500030"
"106901","0","カイザーインサイト","2","ランドソル王城_玉座の間","500100"
"107001","0","ネネカ","2","ラビリンスギルド拠点","500341"
"107101","0","クリスティーナ・モーガン","2","ランドソル 王城入口","500090"
"107501","0","ペコリーヌ（サマー）","4","マルジェン海岸_昼","500164"
"107601","0","コッコロ（サマー）","4","マルジェン海岸_昼","500164"
"107701","0","スズメ（サマー）","4","マルジェン海岸_昼","500164"
"107801","0","キャル（サマー）","6","マルジェン海岸_昼","500164"
"107901","0","タマキ（サマー）","2","無人島","500284"
"108001","0","ミフユ（サマー）","2","無人島","500284"
"108101","0","シノブ（ハロウィン）","4","古城 ハロウィン","500264"
"108201","0","ミヤコ（ハロウィン）","4","古城 ハロウィン","500264"
"108301","0","ミサキ（ハロウィン）","2","ランドソル 繁華街 ハロウィン","505030"
"108401","0","チカ（クリスマス）","2","サレンディア救護院_広間_クリスマス","500114"
"108501","0","クルミ（クリスマス）","4","サレンディア救護院_広間_クリスマス","500114"
"108601","0","アヤネ（クリスマス）","4","サレンディア救護院_広間_クリスマス","500114"
"108701","0","ヒヨリ（ニューイヤー）","4","お正月神殿","500553"
"108801","0","ユイ（ニューイヤー）","4","お正月神殿","500553"
"108901","0","レイ（ニューイヤー）","2","お正月神殿","500553"
"109001","0","エリコ（バレンタイン）","4","キッチンスタジアム","500600"
"109101","0","シズル（バレンタイン）","4","キッチンスタジアム","500600"
"109201","0","アン","2","エステレラ街道","500133"
"109301","0","ルゥ","4","エステレラ街道","500133"
"109401","0","グレア","4","エステレラ街道","500133"
"109501","0","クウカ（オーエド）","4","オーエド横丁","500650"
"109601","0","ニノン（オーエド）","2","オーエド横丁","500650"
"109701","0","レム","2","ミステリオン森林","500175"
"109801","0","ラム","12","ミステリオン森林","500175"
"109901","0","エミリア","2","ミステリオン森林","500175"
"110001","0","スズナ（サマー）","4","海_ステージ","500683"
"110101","0","イオ（サマー）","2","海_ステージ","500683"
"110301","0","サレン（サマー）","2","マルジェン海岸_昼","500164"
"110401","0","マコト（サマー）","6","琉球風の海岸","500710"
"110501","0","カオリ（サマー）","4","琉球風の海岸","500710"
"110601","0","マホ（サマー）","4","琉球風の海岸","500710"
"110701","0","アオイ（編入生）","2","聖テレサ女学院_正門","500730"
"110801","0","クロエ","2","聖テレサ女学院_正門","500730"
"110901","0","チエル","2","聖テレサ女学院_正門","500730"
"111001","0","ユニ","4","聖テレサ女学院_正門","500730"
"111101","0","キョウカ（ハロウィン）","2","屋敷_メインホール","500811"
"111201","0","ミソギ（ハロウィン）","4","屋敷_メインホール","500811"
"111301","0","ミミ（ハロウィン）","4","屋敷_メインホール","500811"
"111401","0","ルナ","4","ミステリオン森林","500175"
"111501","0","クリスティーナ（クリスマス）","4","ランドソル_繁華街_クリスマス_夜","500038"
"111601","0","ノゾミ（クリスマス）","4","ランドソル_繁華街_クリスマス_夜","500038"
"111701","0","イリヤ（クリスマス）","4","ランドソル_繁華街_クリスマス_夜","500038"
"111801","0","ぺコリーヌ（ニューイヤー）","2","ランドソル_繁華街_駅伝","500910"
"111901","0","コッコロ（ニューイヤー）","2","ランドソル_繁華街_駅伝","500910"
"112001","0","キャル（ニューイヤー）","6","ランドソル_繁華街_駅伝","500910"
"112101","0","スズメ（ニューイヤー）","2","ランドソル_繁華街_駅伝","500910"
"112201","0","カスミ（マジカル）","2","ランドソル_市街地_昼","500010"
"112301","0","シオリ（マジカル）","2","ランドソル_市街地_昼","500010"
"112401","0","ウヅキ（デレマス）","4","ムーサの町_昼","500920"
"112501","0","リン（デレマス）","2","ムーサの町_昼","500920"
"112601","0","ミオ（デレマス）","4","ムーサの町_昼","500920"
"112701","0","リン（レンジャー）","2","牧場 昼","500995"
"112801","0","マヒル（レンジャー）","2","牧場 昼","500995"
"112901","0","リノ（ワンダー）","4","本の世界_平原","501000"
"113001","0","アユミ（ワンダー）","2","本の世界_平原","501000"
"113101","0","ルカ（サマー）","6","ウィッシュビーチ","501030"
"113201","0","アンナ（サマー）","4","ウィッシュビーチ","501030"
"113301","0","ナナカ（サマー）","4","ウィッシュビーチ","501030"
"113401","0","ハツネ（サマー）","4","ビーチグラウンド","501100"
"113501","0","ミサト（サマー）","4","ビーチグラウンド","501100"
"113601","0","ジュン（サマー）","2","マルジェン海岸_昼","500164"
"113701","0","アカリ（エンジェル）","4","ランドソル_市街地_昼","500010"
"113801","0","ヨリ（エンジェル）","2","ランドソル_市街地_昼","500010"
"113901","0","ツムギ（ハロウィン）","4","ハロウィンパーク_昼","501130"
"114001","0","レイ（ハロウィン）","3","ハロウィンパーク_昼","501130"
"114101","0","マツリ（ハロウィン）","4","ハロウィンパーク_昼","501130"
"114201","0","モニカ（マジカル）","4","ランドソル_市街地_昼","500010"
"114301","0","トモ（マジカル）","2","ランドソル_市街地_昼","500010"
"114401","0","アキノ（クリスマス）","4","舞台_クリスマス_昼","500874"
"114501","0","サレン（クリスマス）","2","舞台_クリスマス_昼","500874"
"114601","0","ユカリ（クリスマス）","2","舞台_クリスマス_昼","500874"
"114701","0","ムイミ（ニューイヤー）","4","オーマの町_昼","501162"
"115001","0","ネネカ（ニューイヤー）","2","オーマの町_昼","501162"
"115501","0","コッコロ（儀装束）","4","プラノ平原","500140"
"115601","0","ユイ（儀装束）","17","プラノ平原","500140"
"115701","0","カスミ（サマー）","4","マルジェン海岸_昼","500160"
"115801","0","リマ（シンデレラ）","4","エステレラ街道","500130"
"115901","0","マコト（シンデレラ）","4","エステレラ街道","500130"
"116001","0","マホ（シンデレラ）","4","自警団 拠点","500060"
"116201","0","クロエ（聖学祭）","2","聖テレサ女学院_正門_聖学祭","500732"
"116301","0","チエル（聖学祭）","2","聖テレサ女学院_正門_聖学祭","500732"
"116401","0","ユニ（聖学祭）","4","聖テレサ女学院_正門_聖学祭","500732"
"116501","0","イノリ（タイムトラベル）","18","ランドソル_市街地_昼","500010"
"116601","0","カヤ（タイムトラベル）","4","ランドソル_市街地_昼","500010"
"116701","0","アオイ（作業服）","4","おもちゃ工場","501340"
"116801","0","タマキ（作業服）","4","おもちゃ工場","501340"
"116901","0","ミフユ（作業服）","2","おもちゃ工場","501340"
"117001","0","エリコ（サマー）","4","マルジェン海岸_昼","500160"
"117101","0","シズル（サマー）","4","マルジェン海岸_昼","500160"
"117201","0","ノゾミ（サマー）","4","サマーフェス会場","501363"
"117301","0","チカ（サマー）","2","サマーフェス会場","501363"
"117401","0","ツムギ（サマー）","4","サマーフェス会場","501363"
"117501","0","ミツキ（オーエド）","6","オーエド_診察室_昼","501380"
"117601","0","ユキ（オーエド）","4","オーエド_診察室_昼","501380"
"117701","0","カオリ（ハロウィン）","4","ランドソル_繁華街_ハロウィン_夜","505035"
"117801","0","ニノン（ハロウィン）","4","ランドソル_繁華街_ハロウィン_夜","505035"
"117901","0","スズナ（ハロウィン）","4","ランドソル_繁華街_ハロウィン_夜","505035"
"118001","0","クレジッタ","4","ランドソル_王城周辺_執務室","501070"
"118101","0","ランファ","4","レイジ・レギオン拠点","501040"
"118201","0","ミソラ","4","レイジ・レギオン拠点","501040"
"118501","0","カリン","4","ランドソル_お役所","500371"
"118601","0","ネビア","4","美食殿_ギルドハウス","500360"
"119001","0","イオ（ノワール）","4","ノワールのアジト","501450"
"119101","0","クウカ（ノワール）","4","ノワールのアジト","501450"
"119201","0","マヒル（クリスマス）","4","牧場_雪_昼","500863"
"119301","0","リノ（クリスマス）","4","ランドソル_繁華街_クリスマス_昼","500036"
"119901","0","ミヤコ（クリスマス）","4","ランドソル_繁華街_クリスマス_夜","500038"
"120001","0","シズル（ノワール）","2","ノワールのアジト","501450"
