6fa23a80b7916a947db9cdfe0eb284b25feda082bffbcbd8444e63ff181d0a7e,1ae2c1dcdc8e99117f8f30b787d53a574013900366d61cf2dbda8ebe1358a12e,9728cf7fa64aa3590ac58277700a4e38bf4be347852a0cc2917c6f4342e273f3,6ed6f2384f46442af2ab10f68e495d813d47054a13072b932401f89cdb465050,31bff26de7da455562372c9b94d263236279d1e83de761f3cc20bb2a3955a621
"ジータのシャドウが追加される。","74001102","シャドウ1体追加","1","add_shadow"
"ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001103","シャドウ3体追加","2","add_shadow"
"ノゾミのシャドウが★6になる。","74001104","シャドウ★6化","3","star6_shadow"
"ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001104","シャドウ3体追加","4","add_shadow"
"ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","74001105","シャドウ★6化","5","star6_shadow"
"ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001105","シャドウ3体追加","6","add_shadow"
"ユカリのシャドウが追加される。","74001202","シャドウ1体追加","7","add_shadow"
"ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001203","シャドウ3体追加","8","add_shadow"
"ユカリとユイのシャドウが★6になる。","74001204","シャドウ★6化","9","star6_shadow"
"ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001204","シャドウ3体追加","10","add_shadow"
"ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","74001205","シャドウ★6化","11","star6_shadow"
"ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001205","シャドウ3体追加","12","add_shadow"
"バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","74001301","ボス魔法ダメージカット","13","boss_magic_cut"
"バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001302","ボス魔法ダメージカット","14","boss_magic_cut"
"シズル（サマー）のシャドウが追加される。","74001302","シャドウ1体追加","15","add_shadow"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001303","開始時TP回復","16","energy_recover"
"バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001303","ボス魔法ダメージカット","17","boss_magic_cut"
"シズル（サマー）とクリスティーナのシャドウが追加される。","74001303","シャドウ2体追加","18","add_shadow"
"ボスモンスターのユニオンバーストが強化される。","74001304","ボスUB強化","19","boss_ub_enhance"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001304","開始時TP回復","20","energy_recover"
"バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","74001304","ボス魔法ダメージカット","21","boss_magic_cut"
"シズル（サマー）とクリスティーナのシャドウが追加される。","74001304","シャドウ2体追加","22","add_shadow"
"バトル時間が60秒になる。","74001305","バトル時間制限","23","limit_time"
"ボスモンスターのユニオンバーストが強化される。","74001305","ボスUB強化","24","boss_ub_enhance"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001305","開始時TP回復","25","energy_recover"
"バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","74001305","ボス魔法ダメージカット","26","boss_magic_cut"
"シズル（サマー）とクリスティーナのシャドウが追加される。","74001305","シャドウ2体追加","27","add_shadow"
"バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","74001401","ボス物理ダメージカット","28","boss_physics_cut"
"バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001402","ボス物理ダメージカット","29","boss_physics_cut"
"クウカ（オーエド）のシャドウが追加される。","74001402","シャドウ1体追加","30","add_shadow"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001403","開始時TP回復","31","energy_recover"
"バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001403","ボス物理ダメージカット","32","boss_physics_cut"
"クウカ（オーエド）とネネカのシャドウが追加される。","74001403","シャドウ2体追加","33","add_shadow"
"ボスモンスターのユニオンバーストが強化される。","74001404","ボスUB強化","34","boss_ub_enhance"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001404","開始時TP回復","35","energy_recover"
"バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","74001404","ボス物理ダメージカット","36","boss_physics_cut"
"クウカ（オーエド）とネネカのシャドウが追加される。","74001404","シャドウ2体追加","37","add_shadow"
"バトル時間が60秒になる。","74001405","バトル時間制限","38","limit_time"
"ボスモンスターのユニオンバーストが強化される。","74001405","ボスUB強化","39","boss_ub_enhance"
"バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001405","開始時TP回復","40","energy_recover"
"バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","74001405","ボス物理ダメージカット","41","boss_physics_cut"
"クウカ（オーエド）とネネカのシャドウが追加される。","74001405","シャドウ2体追加","42","add_shadow"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001502","開始時攻撃力アップ","43","boss_atk_up"
"編成可能キャラ数が4キャラになる。","74001503","編成キャラ数制限","44","limit_chara_num"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001503","開始時攻撃力アップ","45","boss_atk_up"
"編成可能キャラ数が4キャラになる。","74001504","編成キャラ数制限","46","limit_chara_num"
"ボスモンスターのユニオンバーストが強化される。","74001504","ボスUB強化","47","boss_ub_enhance"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001504","開始時攻撃力アップ","48","boss_atk_up"
