14a757f71a53328e5910a3d890085b382fd40c4256465d177b6e2ec05f8ece71,385ce4c4aa9204b5583299ca45ed55e3aa75adf8542b52b3907779634f9f2d20,53bbcc9305040c5c426703cd5fac994e52228b6f12e6ab63dd05856cd07101d2,ede949b62fd79bc56fe7c26d3ff0c36d24f840bda3aac2ed2f7802f78ccb15df,5afd05b74d0077f1b243353590b6648a7f8a876f52d5f213d19c6f87aa2bdaf7,441f84a4538079dfa0773dc76f91983bbd07565a79e01df15461d6e3de13411d,af4d54adc04047db23af7d6b5ab75fdc0338370de9eb407ce3f95720ea79c946,7359745bfcbd15102e9c040d4ac1b7c4d8b6bf27b76214b9db8a7d0045bfbd7f,d08704ecf62deb536528e2b13d285e2b9f78cc31523af149d7fdd193111339e2,1b7a6f0622061ee4b3c2a8b2a7d4285eea4038c5779d4d617372b1bae8b449f8,cc12403af1a2214450995d7b6678427b03be6977da6c68fe100c40f5ce5a4543,c70d64abda28ddd6465359fc91e79d1bb3c20042b7d19934ac2d1fe41c8157d6,99a26b23b4ba023936c4dd313b725c8590f98695fc60ceab3ab2816e39a54248,ad091eb3f489899be36d7fd84d247ebfaeaca18808d8b82519ff3b9284a37f46,8ad015a8a8d83e618f9bf1241a901204f0176c7373d3a66bdae4375e614479b4,1e6784e02d3fa125ef3b7984e5554b92afcb35507b9791ec1cd4fe223a93f7eb
"155","100101","44","27","トゥインクルウィッシュ","獣人族","A","8","人助けが大好き！　前向き格闘娘","16","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","人助け、応援","東山奈央","0","2","ヒヨリ"
"158","100201","47","5","トゥインクルウィッシュ","ヒューマン","O","4","戦闘のサポートが得意な、心優しい少女","17","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","料理、人間観察","種田梨沙","0","2","ユイ"
"163","100301","46","12","トゥインクルウィッシュ","魔族","B","1","クールで何事にも真っ直ぐな剣士","18","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","読書、乗馬、お茶","早見沙織","0","2","レイ"
"128","100401","27","10","リトルリリカル","ヒューマン","O","8","探検好きのイタズラっ子","9","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","いたずら、探検","諸星すみれ","0","5","ミソギ"
"146","100501","40","25","王宮騎士団（NIGHTMARE）","獣人族","O","11","ヒーローに憧れる騎士見習いの少女","12","？？？","ヒーローごっこ","下田麻美","0","8","マツリ"
"150","100601","42","22","悪魔偽王国軍（ディアボロス）","魔族","O","11","甘え上手なみんなの人気者","13","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","サックス","浅倉杏美","0","7","アカリ"
"130","100701","32","23","悪魔偽王国軍（ディアボロス）","魔族","B","1","プリン大好きゴースト娘","14","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","プリンを食べること","雨宮天","0","7","ミヤコ"
"150","100801","40","10","ヴァイスフリューゲル　ランドソル支部","エルフ","AB","10","ボクは誰よりも美しい","14","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","鏡で自分を見ること","大空直美","0","15","ユキ"
"159","100901","45","5","トワイライトキャラバン","魔族","A","7","前世を信じる中二病患者、「疾風の冥姫」","17","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","小説執筆","髙野麻美","0","13","アンナ"
"155","101001","42","22","自警団（カォン）","獣人族","O","9","マホマホ王国のプリンセス","16","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","空想、ぬいぐるみ集め","内田真礼","0","10","マホ"
"156","101101","44","25","ラビリンス","ヒューマン","A","8","人懐っこくてマシンガントークな妹系少女","15","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","お裁縫","阿澄佳奈","0","3","リノ"
