b0c4bb0c53bcd9ead3d973f8411ab95906363c5ba886a4537251ad061e63eece,72bf8208449458ac6288e94db344dc87e2c7699c6c3350c4e7dd526ac96308c7,7260f54ada091c0ca91804015c8ce0798828d2f4ee0d5e276559a80086cef454,8971bb4a62ca259aba96b6fad4f75d0322c3e62f79c2fd31cb47b770806c6aeb,147a1ae608e4713cad86c9b811113ed33da8202d20e7ce5a4d06717bf9c2500d,d3fedc658e32d6cc59c869f1312dab41fd39402f3fb1f3098fa1f15988b889e3,462bd0bb0a575928ecffa7a925f40f548f67df92cb0540ee29b5797c1c865a99,0515593d29232458fe263e33145af0304c31fd4e82627b2c986d387c7ce8b3b3,16cfe77365678d5a3f47a52138a646b9b068fe38e25760c77a2527fae0c6cdc2,b527c8678034c9c277c0b5054e773ee8261b3ede08a6be95c983ef247ab05544,d738e20a4463038c2c269f9f48c4ffd937db23bfe40fe40ca9819bfb53c3b17c,4cfc417f6c09e85b0b88890e6bb23055c97aa1e1f8c49e59a6212c8df148a7e3
"ランダムなEXPポーションが獲得できる。","ランダムEXPポーションBOX","2","0","6","0","0","0","1","2015/12/17 15:00:00","2030/08/01 14:59:59","20000"
"キャラのLv強化に使用すると、キャラEXPが60加算される。","ミニEXPポーション","1","60","1","80","0","0","999999","2015/12/17 15:00:00","2030/08/01 14:59:59","20001"
"キャラのLv強化に使用すると、キャラEXPが300加算される。","EXPポーション","2","300","1","400","0","0","999999","2015/12/17 15:00:00","2030/08/01 14:59:59","20002"
"キャラのLv強化に使用すると、キャラEXPが1500加算される。","EXPハイポーション","3","1500","1","2000","0","0","999999","2015/12/17 15:00:00","2030/08/01 14:59:59","20003"
"キャラのLv強化に使用すると、キャラEXPが7500加算される。","EXPメガポーション","4","7500","1","10000","0","0","999999","2015/12/17 15:00:00","2030/08/01 14:59:59","20004"
"キャラのLv強化に使用すると、キャラEXPが37500加算される。","EXPギガポーション","5","37500","1","50000","0","0","999999","2015/12/17 15:00:00","2030/08/01 14:59:59","20005"
"ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","ユカリ（クリスマス）専用スフィア / Lv180","1","1","21","0","0","0","999","2020/11/30 12:00:00","2030/08/01 14:59:59","21001"
"ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","ムイミ（ニューイヤー）専用スフィア / Lv180","1","2","21","0","0","0","999","2020/12/31 12:00:00","2030/08/01 14:59:59","21002"
"ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","ユイ（儀装束）専用スフィア / Lv180","1","3","21","0","0","0","999","2021/01/31 12:00:00","2030/08/01 14:59:59","21003"
"リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","リマ（シンデレラ）専用スフィア / Lv180","1","5","21","0","0","0","999","2021/02/28 12:00:00","2030/08/01 14:59:59","21004"
"タマキ（作業服）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","タマキ（作業服）専用スフィア / Lv180","1","6","21","0","0","0","999","2021/05/31 12:00:00","2030/08/01 14:59:59","21005"
"ツムギ（サマー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","ツムギ（サマー）専用スフィア / Lv180","1","7","21","0","0","0","999","2021/07/31 12:00:00","2030/08/01 14:59:59","21006"
"ニノン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","ニノン（ハロウィン）専用スフィア / Lv180","1","8","21","0","0","0","999","2021/09/30 12:00:00","2030/08/01 14:59:59","21007"
"マヒル（クリスマス）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","マヒル（クリスマス）専用スフィア / Lv215","1","9","21","0","0","0","999","2021/11/30 12:00:00","2030/08/01 14:59:59","21008"
"ルカ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","ルカ（ニューイヤー）専用スフィア / Lv215","1","10","21","0","0","0","999","2021/12/31 12:00:00","2030/08/01 14:59:59","21009"
"ラビリスタ（オーバーロード）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","ラビリスタ（オーバーロード）専用スフィア / Lv215","1","12","21","0","0","0","999","2022/02/07 12:00:00","2030/08/01 14:59:59","21010"
"アオイ（キャンプ）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","アオイ（キャンプ）専用スフィア / Lv215","1","13","21","0","0","0","999","2022/05/31 12:00:00","2030/08/01 14:59:59","21011"
"ヒヨリ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","ヒヨリ（サマー）専用スフィア / Lv215","1","14","21","0","0","0","999","2022/06/30 12:00:00","2030/08/01 14:59:59","21012"
"ミソギ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","ミソギ（サマー）専用スフィア / Lv215","1","15","21","0","0","0","999","2022/07/31 12:00:00","2030/08/01 14:59:59","21013"
"リン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","リン（ハロウィン）専用スフィア / Lv215","1","16","21","0","0","0","999","2022/09/30 12:00:00","2030/08/01 14:59:59","21014"
"ヨリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","ヨリ（クリスマス）専用スフィア / Lv250","1","17","21","0","0","0","999","2022/11/30 12:00:00","2030/08/01 14:59:59","21015"
"ミツキ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","ミツキ（ニューイヤー）専用スフィア / Lv250","1","20","21","0","0","0","999","2022/12/31 12:00:00","2030/08/01 14:59:59","21016"
"カヤ（リベレイター）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","カヤ（リベレイター）専用スフィア / Lv250","1","21","21","0","0","0","999","2023/01/31 12:00:00","2030/08/01 14:59:59","21017"
"カリン（アルケミスト）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","カリン（アルケミスト）専用スフィア / Lv250","1","22","21","0","0","0","999","2023/04/30 12:00:00","2030/08/01 14:59:59","21018"
"アキノ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","アキノ（サマー）専用スフィア / Lv250","1","24","21","0","0","0","999","2023/06/30 12:00:00","2030/08/01 14:59:59","21019"
"クウカ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","クウカ（サマー）専用スフィア / Lv250","1","25","21","0","0","0","999","2023/07/31 12:00:00","2030/08/01 14:59:59","21020"
"イノリ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","イノリ（ニューイヤー）専用スフィア / Lv280","1","27","21","0","0","0","999","2023/12/31 12:00:00","2030/08/01 14:59:59","21021"
"レイ（アストラル）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","レイ（アストラル）専用スフィア / Lv280","1","28","21","0","0","0","999","2024/01/31 12:00:00","2030/08/01 14:59:59","21022"
"ペコリーヌ専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","ペコリーヌ専用スフィア / Lv280","1","29","21","0","0","0","999","2025/08/15 15:00:00","2030/08/01 14:59:59","21023"
