57f9ad520a1eb91dacc4d674868b4a144e64c8ca882514b3dbc806ac67a6f22b,071115be63aa79652935c78178bd3e66b7d439bec5172de90c11ff5d3b631dab,9a65e6b9916160e2dce724c6d9eb1d9c724cb6cb8fccc9647ba8e5bd3fb413ac,3f6c2e5a09dea968130124285f075625fb6a2cebe2c91521a72adcb8b92a112d,b6a512cff4c37447214e4e9b95f1d4c0af3196e1421a8a6b4951d39903921e08,1213273f415d017e7ab676302015c987d4df353df511c1e9740c585f98168bc1
"100112","0","100111","0","0","10011"
"100122","100125","100121","100124","100123","10012"
"100132","100135","100131","100134","100133","10013"
"0","0","100211","0","0","10021"
"0","0","100221","0","0","10022"
"100232","0","100231","0","0","10023"
"0","0","100311","0","0","10031"
"0","0","100321","0","0","10032"
"100332","100335","100331","100334","100333","10033"
"100412","0","100411","0","0","10041"
"100422","0","100421","0","0","10042"
"100432","0","100431","0","0","10043"
"0","0","100511","0","0","10051"
"100522","100525","100521","100524","100523","10052"
"100532","100535","100531","100534","100533","10053"
"0","0","110011","0","0","11001"
"0","0","110021","0","0","11002"
"0","0","110031","0","0","11003"
"0","0","110041","0","0","11004"
"0","0","110051","0","0","11005"
"0","0","120011","0","0","12001"
"0","0","120021","0","0","12002"
"0","0","120031","0","0","12003"
"0","0","120041","0","0","12004"
"0","0","120051","0","0","12005"
"0","0","130011","0","0","13001"
"130022","0","130021","0","0","13002"
"0","0","130031","0","0","13003"
"130042","0","130041","0","0","13004"
"0","0","130051","0","0","13005"
"0","0","140011","0","0","14001"
"0","0","140021","0","0","14002"
"0","0","140031","0","0","14003"
"140042","0","140041","0","0","14004"
"140052","0","140051","0","0","14005"
"0","0","150011","0","0","15001"
"0","0","150021","0","0","15002"
"150032","150035","150031","150034","150033","15003"
"150042","150045","150041","150044","150043","15004"
"0","0","150051","0","0","15005"
"0","0","210011","0","0","21001"
"0","0","210021","0","0","21002"
"0","0","210031","0","0","21003"
"0","0","210041","0","0","21004"
"0","0","210051","0","0","21005"
"0","0","220011","0","0","22001"
"0","0","220021","0","0","22002"
"0","0","220031","0","0","22003"
"0","0","220041","0","0","22004"
"0","0","220051","0","0","22005"
"0","0","230011","0","0","23001"
"230022","0","230021","0","0","23002"
"0","0","230031","0","0","23003"
"230042","0","230041","0","0","23004"
"0","0","230051","0","0","23005"
"0","0","240011","0","0","24001"
"0","0","240021","0","0","24002"
"0","0","240031","0","0","24003"
"240042","0","240041","0","0","24004"
"240052","0","240051","0","0","24005"
"0","0","250011","0","0","25001"
"0","0","250021","0","0","25002"
"250032","250035","250031","250034","250033","25003"
"250042","250045","250041","250044","250043","25004"
"0","0","250051","0","0","25005"
"0","0","300011","0","0","30001"
"0","0","310011","0","0","31001"
"0","0","310021","0","0","31002"
"0","0","310031","0","0","31003"
"0","0","310041","0","0","31004"
"0","0","310051","0","0","31005"
"0","0","310061","0","0","31006"
"0","0","320011","0","0","32001"
"0","0","320021","0","0","32002"
"0","0","320031","0","0","32003"
"0","0","320041","0","0","32004"
"0","0","320051","0","0","32005"
"0","0","320061","0","0","32006"
"0","0","330011","0","0","33001"
"330022","0","330021","0","0","33002"
"0","0","330031","0","0","33003"
"330042","0","330041","0","0","33004"
"0","0","330051","0","0","33005"
"330062","0","330061","0","0","33006"
"0","0","340011","0","0","34001"
"0","0","340021","0","0","34002"
"0","0","340031","0","0","34003"
"340042","0","340041","0","0","34004"
"340052","0","340051","0","0","34005"
"0","0","340061","0","0","34006"
"0","0","350011","0","0","35001"
"0","0","350021","0","0","35002"
"350032","350035","350031","350034","350033","35003"
"350042","350045","350041","350044","350043","35004"
"0","0","350051","0","0","35005"
"0","0","350061","0","0","35006"
"400012","0","400011","0","400013","40001"
"0","0","400021","0","0","40002"
"0","0","400031","0","0","40003"
"400042","0","400041","400044","400043","40004"
"0","0","400051","0","0","40005"
"500012","0","500011","0","0","50001"
"0","0","500021","0","0","50002"
"0","0","500031","0","0","50003"
"0","0","500041","0","0","50004"
"0","0","500051","0","0","50005"
