89de2e1516182725f6cd75a582f2907433bbf6ffc635595b591f8dd996382123,a8ab3888ec51052e42a93ace3f83108053ade6dd1b920db8c1035db96a7ea575,2b83fcbc1b7930f1a71eda1cca3e164d8ebc7db37f476d91cf5c1eab56a5e925,14b5a41ba5113a3c17b8c78edcfff382477013b654538c434b55bcda5de4205c,9636589107f9e3dfb5a09f8cb4221ba1110c4eca471a26ee2c362fe48ff2b375,13a14087e19522f9d96cc6bf7a44e79be233af69912efb624f7204b6db9f44b3,fc4f65716c4c340f56b65a60e329ae11a8d5193f524eb6f7a24b508099456c66
"300900","31001","0.8","-10","100721","0","0.8"
"302300","31002","0.7","-40","100722","0","0.7"
"302400","31003","0.8","-40","100261","0","0.8"
"302500","31004","0.9","-20","100283","0","0.9"
"301700","31005","0.9","-10","101611","0","0.9"
"310100","31006","0.7","-40","102174","0","0.7"
"399800","31007","0.3","-60","102751","-80","0.3"
"314901","31008","0.9","20","103001","-20","0.9"
"318405","31009","0.7","-110","103232","30","0.7"
"320100","31010","1","-10","103371","0","1"
