de5c67169e38453c986ee9d03b3c101adfc88190d4c8fdb2819178648ab3b43e,9f02339a5eb2d080fdef5c29c78d5f5e5bbbde6c3fc7ad4ffd2445fac6830a4b,ca11d1db91994dc08f8bf58acac9145102318aa270bcb7f420645158f6294587,5dbde60a4af8e38fc0392893dd5a13bb535ab1572a79f075dbafc54a8735f16d,5b140343aa3968643267d03ef209f3406ff64a8cae8a62a766121e6e18e699fc
"8","100","1","30109001","91002"
"2","10","2","30109001","20002"
"8","100","3","30109002","91002"
"12","40000","4","30109002","94002"
"8","300","5","30109003","91002"
"8","500","6","30109004","91002"
"8","500","7","30109005","91002"
"12","1000000","8","30109005","94002"
"8","500","9","30109006","91002"
"12","500000","10","30109006","94002"
"8","600","11","30110001","91002"
"12","200000","12","30110006","94002"
