8097ed4225daabbc47402075de94b703b02f1442b6b7cf2e4563133d5102b399,b824788d3e73679002a1072d1781ae2fb2fde8e7597430e772fc90d15c72129b,a133269bb40f732f5a0c7396867f6b8a061cc54b5772fe53edd1379f31d220f5,1fcbff3ad9d9976a67a3f07476128bd465e05ddfe988db4fc4ceb5d1dbb18a1d,6b8e984e75750b30ac2c267e5af0e5c85ef9cdf3d2c454bd2d9a3a83f9ace377,9f3f1f9b300e174364cd5b5aaff2e57db39cd840fd9d8e8e4ce55359e3d106f8,aca48341f061bbe96d8ddaba7efa0aa36f0f9c27b0d3bbfc7bac05380201809f,b1bea6a2f31826528ac224fdf68b98170807dd9722d2fbf1eae5cfc8387168df
"タンクを\n仲間にしたい！","0","タンクロールの\nランダムサイン×2\n＋アルファルピ×200","0","11011","21_role_tank","11011","192801"
"ヒーラーを\n仲間にしたい！","0","ヒーラーロールの\nランダムサイン×2\n＋アルファルピ×200","0","11012","22_role_healer","11012","192801"
"ブースターを\n仲間にしたい！","0","ブースターロールの\nランダムサイン×2\n＋アルファルピ×200","0","11021","23_role_booster","11021","192801"
"バッファーを\n仲間にしたい！","0","バッファーロールの\nランダムサイン×2\n＋アルファルピ×200","0","11022","24_role_buffer","11022","192801"
"デバッファーを\n仲間にしたい！","0","デバッファーロールの\nランダムサイン×2\n＋アルファルピ×200","0","11031","25_role_debuffer","11031","192901"
"ジャマーを\n仲間にしたい！","0","ジャマーロールの\nランダムサイン×2\n＋アルファルピ×200","0","11032","26_role_jammer","11032","192901"
"アタッカーを\n仲間にしたい！","0","アタッカーロールの\nランダムサイン×2\n＋アルファルピ×200","0","11041","27_role_attacker","11041","192901"
"ブレイカーを\n仲間にしたい！","0","ブレイカーロールの\nランダムサイン×2\n＋アルファルピ×200","0","11042","28_role_breaker","11042","192901"
"腕試しッス！","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×200","0","11051","41_matsuri_guts","11051","100501"
"強敵との戦いは心躍る！","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×300","0","11052","42_chris_cool","11052","107101"
"用心して近づきましょう","2000","50％で★2迷宮遺物×1\n50％で★3迷宮遺物×1","1","11071","71_suzume_sad","11071","102501"
"ぷうきち\nフルスイ～ング☆","2000","50％でランダムなロールの\nセレクトサイン×1\n50％でオールセレクトサイン×1","1","11072","72_ayane_handsup","11072","102301"
"触っても\n大丈夫かな……？","0","50％でアルファルピ×1500\n50％でアルファルピ×2000","0","11073","73_kurumi_wish","11073","102101"
"右に決まっていますわ！","0","50％で★1迷宮遺物×1\n50％でランダムなロールの\nランダムサイン×2","0","11081","82_akino_pointing","11081","103201"
"左じゃないかしら？","0","アルファルピ×1000","0","11082","81_saren_pointing","11082","102801"
"腕試しッス！","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×300","0","11091","41_matsuri_guts","11091","100501"
"強敵との戦いは心躍る！","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×450","0","11092","42_chris_cool","11092","107101"
"グー！！！","0","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","0","11101","31_hiyori_gu","11101","100101"
