6cb38c93f2ca4eeb25fafb2e6df994e1fc1a11a0a3b461aae4a951c3ce25d84b,5e4afc51abf21859a6c75a9881faf5d2e0403a55e52c190dd3fc7b326c8a738e,861b58a42a9761b540b5556297c9bd81de11c58e00d8e4c0621f62417de236ca,e3a87cb7b310955e7c4ef8335c2c3f2fc4f9d37a652d7ddfa8b8a62eb940e522,2f0c43b8c762dd9c8be80c78e9e8c6a723e2b97957927e2fb26adb9cda20a1ed,114fd2768c3ea623d0c9aca86584d82c3e618b8ca681a9f56df8457a6c627e43
"10009101","1","1","1","10009106","0"
"10009101","1","2","1","10009112","0"
"10010101","1","3","1","10010110","0"
"10019101","2","4","1","1001901","0"
"10021101","1","5","1","10021112","0"
"10025101","1","6","1","10025109","0"
"10025","3","7","2","5025001","500810"
"20009101","1","8","1","20009106","0"
"20009101","1","9","1","20009112","0"
"20010101","1","10","1","20010110","0"
"10042","3","12","2","5042001","501001"
"20015101","2","13","1","2001501","0"
"10044","3","14","2","5044001","501031"
"20016101","1","15","1","20016112","0"
"10046","3","16","2","5046002","501103"
"10049101","1","17","1","10049109","0"
"10066101","1","19","1","10066112","0"
"10066","3","20","2","5066005","501291"
"10069","3","21","2","5042001","501001"
"10071","3","22","2","5044001","501031"
"10068","3","23","2","5068001","501341"
"10070","3","24","2","5070004","501353"
"10070","3","25","2","5070005","500016"
"10072","3","26","2","5072004","501364"
"10072","3","27","2","5072006","501365"
"10073","3","28","2","5046002","501103"
"10074","3","29","2","5074001","501383"
"10076101","1","30","1","10076112","0"
"10076","3","31","2","5076005","505036"
"10078","3","32","2","5078004","501451"
"10080","3","33","2","5080005","501463"
"10082101","1","34","1","10082105","0"
"10082102","1","35","1","10082108","0"
"10082103","1","36","1","10082111","0"
"10082","3","37","2","5082002","501160"
"10082","3","38","2","5082004","501031"
"10082","3","39","2","5082005","501483"
"10084","3","40","2","5084001","500368"
"10084","3","41","2","5084002","510306"
"10084","3","42","2","5084003","500039"
"10085","3","43","2","5085002","500368"
"10085","3","44","2","5085003","510203"
"10085","3","45","2","5085004","500272"
"10085","3","46","2","5085005","501501"
"10088","3","47","2","5088005","501810"
"20025","3","50","2","5042001","501001"
"10090","3","51","2","5090002","501541"
"20026","3","55","2","5044001","501031"
"10093101","1","56","1","10093112","0"
"10093","3","57","2","5066005","501291"
"20027","3","58","2","5046002","501103"
"10092","3","59","2","5092001","501031"
"10092","3","60","2","5092004","501551"
"10094","3","61","2","5094001","501593"
"10095","3","62","2","5068001","501341"
"20018","3","67","2","5025001","500810"
"10096","3","68","2","5096002","501613"
"10097","3","73","2","5070004","501353"
"10097","3","74","2","5070005","500016"
"10098","3","75","2","5098000","501031"
"10098101","1","76","1","10098104","0"
"10098102","1","77","1","10098111","0"
"10099","3","78","2","5072004","501364"
"10099","3","79","2","5072006","501365"
"10100","3","80","2","5100003","500837"
"10101","3","82","2","5074001","501383"
"10101","3","83","2","5074001","501383"
"10102","3","84","2","5102002","501873"
"10103101","1","85","1","10103112","0"
"10103","3","86","2","5076005","505036"
"10108","3","88","2","5108002","501911"
"10104","3","89","2","5104003","500133"
"10105","3","90","2","5078004","501451"
"10110","3","93","2","5110005","501931"
"10111","3","94","2","5111005","500013"
"10107","3","95","2","5080005","501463"
"10109101","1","96","1","10109105","0"
"10109102","1","97","1","10109108","0"
"10109103","1","98","1","10109111","0"
"10109","3","99","2","5082002","501160"
"10109","3","100","2","5082004","501031"
"10109","3","101","2","5082005","501483"
"10112","3","103","2","5084001","500368"
"10112","3","104","2","5084002","510306"
"10112","3","105","2","5084003","500039"
"10113","3","106","2","5085002","500368"
"10113","3","107","2","5085003","510203"
"10113","3","108","2","5085004","500272"
"10113","3","109","2","5085005","501501"
"10110101","2","110","1","1011001","0"
"20037101","1","111","1","20037112","0"
"20037","3","112","2","5066005","501291"
"10115","3","113","2","5088005","501810"
"10114","3","114","2","5114000","500016"
"10114","3","115","2","5114003","501952"
"20038","3","116","2","5068001","501341"
"10117","3","117","2","5090002","501541"
"20039","3","121","2","5070004","501353"
"20039","3","122","2","5070005","500016"
"10116","3","123","2","5116004","500837"
