1795a7f110ada4820d1e54167b1b1a1be86aab0f87cb4610b41eafd20301f673,4757bd2c3dd7d74192b683e2e3d8fff7cf84962eff38222ff7a6ccd1264cd166,b38f9b76dddafb6d91e76471561b147bee9ba2abc4868e042ed3b31c7a8d2947,a8771b06350e39eb7202bfe5774dda956e178261aeca3a7801761b2c84d486c5,ce00d62ca4ae45efb71fd2d4258201b84f28f78271cc697fe0ba1d31ba500a30,cd2da1ea0f6229e7801c1e0d34889db416b14d102d87ce378c13582f3667bae6,0c3bddd5aaf11af38ae408a69755e8997ca36106de8cbbf9daff3fc78f244641
"0.8","300900","-10","100721","0.8","31001","0"
"0.7","302300","-40","100722","0.7","31002","0"
"0.8","302400","-40","100261","0.8","31003","0"
"0.9","302500","-20","100283","0.9","31004","0"
"0.9","301700","-10","101611","0.9","31005","0"
"0.7","310100","-40","102174","0.7","31006","0"
"0.3","399800","-60","102751","0.3","31007","-80"
"0.9","314901","20","103001","0.9","31008","-20"
"0.7","318405","-110","103232","0.7","31009","30"
"1","320100","-10","103371","1","31010","0"
