ce00fdae17268dd24969a05067fd5b20b2d35aa3e331dbc86cff754c7aa9f288,8d0d3e7473d4e124dfd09721dca2c3c46bd2176cdf92cd7edf6ea114cc5dac51,e3e5c21547eada91984693b439df4111d29b6bbb04c3e665677fb8db9676393b,3df4a34ca651bff6cf0b207749ebfb2eb22fdb9ea258b9888e4617defaa126f2,0b8b059f85fdfcc7b11f5961197fe571624a7ef3e125375337c720f4f23574ba,0bec5ed69b0836c8ebb9510bd6ff0c57161121ac63c8d2e931bb6253199446fd,946f3b055c521e638827fc6b32ad400f01acaa3f65c0fdc10b41d7310543eabf,06226aa0d8dfd8cd1a4aadda40ca2f0185e1cb8cdc54f4546470d34ca86fc664,4eb02968c98d456f1985806ae7c2c56131b26b71ce09e651824226fa913c40cb,5ae1829bb1f9f61e3024713a920ca2205db0ad392df15dfee5504160deccfe48,a607ccb9d1480cb548e874359a0f03eee20fe25baf9bd6800e677d32f42e828a
"1","118511","1","-194","1","1","72","1.65","1001","100","taq_karin_idle"
"21","vo_minigame_1009_top_001","1","","","vo_minigame_1009","0","","1002","0",""
"11","賞品も用意して\nいますので頑張って\nくださいね♪","1","0","0","118511","0","0","1003","8","0"
"3","taq_karin_talk_normal","1","","","118511","","0.2","1004","1",""
"91","","1","","","1003","","","1005","",""
"3","taq_karin_idle","1","","","118511","","0.2","1006","1",""
"1","118511","2","-194","1","1","72","1.65","2001","100","taq_karin_idle"
"21","vo_minigame_1009_top_002","2","","","vo_minigame_1009","0","","2002","0",""
"11","みなさんの知識が\n試されますよ","2","0","0","118511","0","0","2003","8","0"
"3","taq_karin_talk_thinking","2","","","118511","","0.2","2004","1",""
"91","","2","","","2003","","","2005","",""
"3","taq_karin_idle","2","","","118511","","0.2","2006","1",""
"1","118511","3","-194","1","1","72","1.65","3001","100","taq_karin_idle"
"21","vo_minigame_1009_top_003","3","","","vo_minigame_1009","0","","3002","0",""
"11","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","3","0","0","118511","0","0","3003","8","0"
"3","taq_karin_talk_surprise","3","","","118511","","0.2","3004","1",""
"91","","3","","","3003","","","3005","",""
"3","taq_karin_idle","3","","","118511","","0.2","3006","1",""
"1","118511","4","-194","1","1","72","1.65","4001","100","taq_karin_idle"
"21","vo_minigame_1009_top_004","4","","","vo_minigame_1009","0","","4002","0",""
"11","わからないときは\n勘に頼ってみても\nいいと思います","4","0","0","118511","0","0","4003","8","0"
"3","taq_karin_talk_normal2","4","","","118511","","0.2","4004","1",""
"91","","4","","","4003","","","4005","",""
"3","taq_karin_idle","4","","","118511","","0.2","4006","1",""
"1","118511","5","-194","1","1","72","1.65","5001","100","taq_karin_idle"
"21","vo_minigame_1009_top_005","5","","","vo_minigame_1009","0","","5002","0",""
"11","仲よく協力して\n全問正解を\n目指してくださいね♪","5","0","0","118511","0","0","5003","7","0"
"3","taq_karin_talk_joy3","5","","","118511","","0.2","5004","1",""
"91","","5","","","5003","","","5005","",""
"3","taq_karin_idle","5","","","118511","","0.2","5006","1",""
