72e8c3b5ac91561d24476ce7f765be4271e5e031da2cd57211eb9a46d85a90a2,3b4a67d6bed35877254a78f7481ec08c7f5f4b62ae16b7c400591814db207c7b,feebeeb1c626cb354dccd4d8bf9308cb2fb9a13c4c9e4229b4f5888c1ad7252f,d81b0da300322d8246b801ec55c473c9809b197b42f1eb2c26b34a3ab8647189,9f4d28fc8a4fddecec548d3a62f7e193e55e0ec09bf35c511fca374b75ade0d8,db3d3e04750a76ec03b0f09407f0a6f7f885d2da4f8c7593bd7ac2a7c7df8497,afb8d04b9348982dc3ecadd32388e88034304e3c1e4b39e342249242e919b990,5bf7c0a244c3507670d5748500749ff8f73beeca6b51edf066059df38f3f3ef1,f7a248c60b5ca3da796556727d1862b62bd7160506042415fdbc66d784a7fce3,3ecb02dd48fcf3299c449d69b286fdc085d9f43430221dc9c0ec0d5627d92fe1
"126501","ライラエル","10001","0","","","最大50％割引確定のショップを開く（1品100％割引あり）","1","1001","1"
"105301","モニカ","10001","0","","","最大1000マイルを入手する","2","1002","2"
"126401","クローチェ","1","0","","","料理を{0}つ入手する","1","1003","3"
"100501","マツリ","1","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","3","1004","4"
"101301","ナナカ","2","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","2","1005","4"
"104301","マコト","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","1006","5"
"102701","エリコ","3","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","1007","5"
"100901","アンナ","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","1008","6"
"105101","ミツキ","10001","0","","","最大50％割引確定のショップを開く（1品100％割引あり）","1","1009","1"
"101801","イオ","10001","0","","","最大1000マイルを入手する","2","1010","2"
"129701","ネフィ＝ネラ","0","0","ダイスの表と裏\nどちらを適用するか選択できる","","ダイスの表と裏\nどちらを適用するか選択できる","2","1011","8"
"101601","スズナ","1","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","3","1012","4"
"105601","ルカ","2","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","2","1013","4"
"102001","ミミ","3","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","1014","5"
"129601","アネモネ","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","1015","6"
"100401","ミソギ","1","1","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","1016","10"
"127701","リンド","2","1","出たダイスの目が{0}だった場合、\n+{1}進める","","出たダイスの目が{0}だった場合、\n+{1}進める","3","1017","13"
"127801","ヴルム","1","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","1018","10"
"104801","ミフユ","10001","0","","","最大50％割引確定のショップを開く（1品100％割引あり）","1","1019","1"
"104701","ジュン","2","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","2","1020","4"
"105001","ミサキ","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","1021","6"
"103201","アキノ","10002","0","","","最大2000マイルを入手する","1","1022","2"
"130901","クルル","1","0","","","福引券を{0}枚入手する","1","1023","12"
"102501","スズメ","1","0","","","料理を{0}つ入手する","1","1024","3"
"100801","ユキ","0","0","ダイスの表と裏\nどちらを適用するか選択できる","","ダイスの表と裏\nどちらを適用するか選択できる","2","1025","8"
"123301","ネア","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","1026","5"
"104601","タマキ","10001","0","","","最大50％割引確定のショップを開く（1品100％割引あり）","1","1027","1"
"118101","ランファ","2","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","2","1028","4"
"103401","ユカリ","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","1029","6"
"118001","クレジッタ","10002","0","","","最大2000マイルを入手する","1","1030","2"
"102801","サレン","1","0","","","福引券を{0}枚入手する","1","1031","12"
"100201","ユイ","1","0","","","料理を{0}つ入手する","1","1032","3"
"101201","ハツネ","1","1","出たダイスの目が{0}だった場合、\n+{1}進める","","出たダイスの目が{0}だった場合、\n+{1}進める","3","1033","13"
"118201","ミソラ","1","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","3","1034","4"
"106101","ムイミ","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","1035","6"
"103101","シノブ","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","1036","5"
"103301","マヒル","10001","0","","","最大50％割引確定のショップを開く（1品100％割引あり）","1","1037","1"
"103601","キョウカ","10002","0","","","最大2000マイルを入手する","1","1038","2"
"133001","グレイス","1","0","","","福引券を{0}枚入手する","1","1039","12"
"133101","ヴァイオレット","1","0","","","料理を{0}つ入手する","1","1040","3"
"106801","ラビリスタ","0","0","ダイスの表と裏\nどちらを適用するか選択できる","","ダイスの表と裏\nどちらを適用するか選択できる","2","1041","8"
"107101","クリスティーナ","1","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","3","1042","4"
"107001","ネネカ","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","1043","6"
"106501","カヤ","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","1044","5"
"111001","ユニ","10001","0","","","最大50％割引確定のショップを開く（1品100％割引あり）","1","1045","1"
"134901","カノン","10002","0","","","最大2000マイルを入手する","1","1046","2"
"105401","ツムギ","1","0","","","福引券を{0}枚入手する","1","1047","12"
"134701","ホウオウ","1","0","","","料理を{0}つ入手する","1","1048","3"
"100101","ヒヨリ","0","0","ダイスの表と裏\nどちらを適用するか選択できる","","ダイスの表と裏\nどちらを適用するか選択できる","2","1049","8"
"100701","ミヤコ","1","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","3","1050","4"
"103001","ニノン","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","1051","6"
"101401","カスミ","2","1","出たダイスの目が{0}だった場合、\n+{1}進める","","出たダイスの目が{0}だった場合、\n+{1}進める","3","1052","13"
"135901","サツキ","10001","0","","","最大50％割引確定のショップを開く（1品100％割引あり）","1","1053","1"
"102601","リン","10002","0","","","最大2000マイルを入手する","1","1054","2"
"132401","イロハ","1","0","","","福引券を{0}枚入手する","1","1055","12"
"135801","ユキノ","1","0","","","料理を{0}つ入手する","1","1056","3"
