e8022fc94356cbef455b982ec9c615aaac8cc90d2098d46c9dacb88690b037de,706605668ab6453341615c3f9b9a0580f469d036f5e0a509eee23e7355dded11,00b5eefb20d294972c4eb599070ed8c6f0adf609b288124f23206afc46c2928f,d3c836b27d677a1f96548e8a26cc01c5f4314076aad4efd3012c8d1facfe9a79,386ad440a69527a5913c164abdb60935a3b1669a8ea19ac0a0301bd685e9e717,f50263ea628054745553cb3bb7f16c9602b06636e76bf586a10d317c29b96a12,c0f6749556148537e677c13c9024f31de6c451c2671fa4776761115905c16e12,db3448d52e76d58023732ef86dcdd408f5e64cf1ec7edeb56c4ca4e76048ce37,818a7477fc52aa635e078cd612716b57fe4d75638f6c1a99c2f81eafdb9c6c0b,cadde393792e9fa2785c010a360b0369a942ba2c8f5dbb4303c77d645537907c,71a6511a1926fce6bcdc8c37c68cac99cb5f2918468e0ca3bf8df784be215c23,1156f765d0c9ec9f9602f6f8a2c1c44208c517e27d819a46ccf3e442ae98ded6,760185b156dc0cc53138fb1898193e0ff68619f9b57d1bf1dabf186f93eb6bf4,1c27d5ab30607194366073bb064cf3ced889747b52fef0db05f894f14101829e
"10038001","3.414","-416.5","53","0","2020/04/18 14:59:59","カリン","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","2","10038","190801","1","2020/03/31 12:00:00","1"
"10038002","3.099","-416.5","53","0","2020/04/18 14:59:59","カリン","ミッションをクリアして、\n報酬をゲットしましょう！","2","10038","190801","1","2020/03/31 12:00:00","2"
"10038003","2.801","-416.5","54","0","2020/04/18 14:59:59","カリン","受け取ることができる\n報酬があるようです\n確認してみてください","2","10038","190801","1","2020/03/31 12:00:00","3"
"10038004","0","-416.5","54","0","2020/04/18 14:59:59","カリン","報酬がもらえますよ！\nチェックしてみてください","2","10038","190801","2","2020/03/31 12:00:00","4"
"10038005","0","-416.5","57","0","2020/04/18 14:59:59","カリン","イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","1","10038","190801","1","2020/03/31 12:00:00","5"
"10038006","5.506","-363","55","0","2020/04/18 14:59:59","カリン","ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","2","10038","190801","1","2020/03/31 12:00:00","1"
"10038007","1.216","-363","55","0","2020/04/18 14:59:59","カリン","お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！","1","10038","190801","2","2020/03/31 12:00:00","2"
"10038008","1.539","-363","56","0","2020/04/18 14:59:59","カリン","お疲れ様でした\n討伐証の交換、\nお忘れないように！","1","10038","190801","2","2020/03/31 12:00:00","3"
"10038009","1.875","-363","56","0","2020/04/18 14:59:59","カリン","終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！","1","10038","190801","2","2020/03/31 12:00:00","4"
"10038101","9.376","-285","51","8","2020/04/18 14:59:59","チエル","","7","10038","110901","1","2020/03/31 12:00:00","101"
"10038102","11.12","-285","51","8","2020/04/18 14:59:59","クロエ","","7","10038","110801","1","2020/03/31 12:00:00","201"
"10038103","15.936","-285","51","8","2020/04/18 14:59:59","ユニ","","4","10038","111001","1","2020/03/31 12:00:00","301"
"10038104","8.78","-285","51","8","2020/04/18 14:59:59","チエル","","3","10038","110901","1","2020/03/31 12:00:00","102"
"10038105","9.573","-285","51","8","2020/04/18 14:59:59","クロエ","","6","10038","110801","1","2020/03/31 12:00:00","202"
"10038106","0","-285","51","8","2020/04/18 14:59:59","ユニ","","1","10038","111001","1","2020/03/31 12:00:00","302"
"10038107","12.005","-285","51","8","2020/04/18 14:59:59","チエル","","2","10038","110901","1","2020/03/31 12:00:00","103"
