13d50c23411ee8dad78717369fcacb18a9c2c8a68494675c3a11baac27ccebff,6eb9f7ae3fa93169e6c8c3d08c794f71f6d2c5e333a58525aa9216db7c4b448b,717800f311c13556ac8f9a7c5962e86e0418728a4eed9ea9ff8828f41fe76a88,a056822cec66b79b2a8f2131ac10285b5d3db2935b96dbfd624d1e4ea0de5d25,1b0e0d53714a3ff54d77b8f601bc1900539018ce71766698de47724110a73677
"3030100","1","1","0","0"
"3050100","1","2","0","0"
"3040100","1","3","0","0"
"3020100","1","4","0","0"
"2040100","1","5","0","0"
"2040100","2","5","0","0"
"2020100","1","6","0","0"
"2020100","2","6","0","0"
"1030100","1","7","314","0"
"4030100","1","8","0","0"
"1050100","1","9","502","0"
"4020100","1","10","0","0"
"2030100","1","11","0","0"
"2030100","2","11","0","0"
"3040100","1","12","0","10301010"
"1020100","1","13","202","0"
"1040102","1","14","406","20201010"
"1010200","1","15","105","0"
"2010200","2","15","0","0"
"2010200","3","15","0","0"
"3050200","1","16","0","0"
"3040200","1","17","0","0"
"3020200","1","18","0","0"
"2040200","1","19","0","0"
"2040200","2","19","0","0"
"2020200","1","20","0","0"
"2020200","2","20","0","0"
"1030200","1","21","315","0"
"1020200","1","22","205","0"
"1050200","1","23","509","0"
"4020200","1","24","0","0"
"2030200","1","25","0","0"
"2030200","2","25","0","0"
"4030200","1","26","0","0"
"3020200","1","27","0","10101020"
"1040200","1","28","408","20201020"
"3040200","1","29","0","10101020"
"3010200","1","30","0","10101020"
"1010300","1","31","102","0"
"2010300","2","31","0","0"
"2010300","3","31","0","0"
"3050300","1","32","0","0"
"3040300","1","33","0","0"
"3020300","1","34","0","0"
"2040300","1","35","0","0"
"2040300","2","35","0","0"
"2020300","1","36","0","0"
"2020300","2","36","0","0"
"1030300","1","37","306","0"
"1020300","1","38","206","0"
"1050300","1","39","502","0"
"4020300","1","40","0","0"
"2030300","1","41","0","0"
"2030300","2","41","0","0"
"4030300","1","42","0","0"
"3020300","1","43","0","10101030"
"1040300","1","44","406","20201030"
"3010300","1","45","0","10101050"
"3040300","1","46","0","10101050"
"3030300","1","47","0","10101050"
"3010300","1","48","0","10101050"
"3020300","1","49","0","10101050"
"1010300","1","50","112","30102050"
