db943cf963ee93c86460e61564043f0413e2459d7b50017f434b147bb82a654a,460aafd90cfae7180bb4a674145b7fe2a430050f572b13c2a17ac4bfe1af4453,89f6aa9344969e275962d082095515fbf487c954815135097b517f5adafc5c5d,59028a399befbdcb54c06c506188a4251070944da93c82b747174efe2faeb40a,882dc09bba6560a657888ea70e1a47662b48ec06840543fb3c433e6a9a8d637c,05bad04d374a95a69dd2ee6374733a12588e2903ef3211812e9aa6ca250bef39,a46b8eba3bac74580a5a5ee289510774b2015b0f5f0c5985b3ed17752bdd0802,36d20763d76c873a3128b45ce8edad7835e584979f0bff32bcd8ae4934a5a989
"1000001","13","2020-02-15 15:00:00","190801","1000","2030-04-01 14:00:00","0","様々なミニゲームをご用意してい\nますよ！\nどのミニゲームで遊びますか？"
"1000002","13","2020-02-15 15:00:00","190801","1000","2030-04-01 14:00:00","0","楽しいミニゲームをご紹介！\nあなたはどのミニゲームで\n遊びますか？"
"1001001","13","2020-02-15 15:00:00","190801","1001","2030-04-01 14:00:00","0","こちらは{0}ルピで\n販売中！\nぜひ購入して\n遊んでくださいね！"
"1002001","12","2020-02-15 15:00:00","190801","1002","2030-04-01 14:00:00","0","動くハートに合わせてタップ！\nシズルさんとエリコさんの\nチョコレートケーキ作りを\nお手伝いしましょう！"
"1003001","11","2020-02-15 15:00:00","190801","1003","2030-04-01 14:00:00","0","クウカさんを引っ張ってより遠く\nへ飛ばしてあげましょう！\n色々なハプニングでクウカさんに\nエクスタシーを届けましょう！"
"1004001","3","2020-02-15 15:00:00","190801","1004","2030-04-01 14:00:00","0","左右をタップしてマジムンを倒し\nましょう！\n放て！\n琉球犬アラウンドシュート！"
"1005001","7","2020-02-15 15:00:00","190801","1005","2030-04-01 14:00:00","0","パネルをタップしてドラゴンズ\nネストのみなさんと一緒に\nしりとり対決をしませんか？\nおしりに「ん」はご法度です。"
"1006001","2","2020-05-31 12:00:00","190801","1006","2030-04-01 14:00:00","0","素早い動きのネズミに合わせ、\nタップで撃退！\nやる気のリンさんと一緒に\n大切なチーズを守りましょう！"
"1007001","4","2020-08-15 15:00:00","190801","1007","2030-04-01 14:00:00","0","ミサトさんや部員のみなさんと\nバッティングの特訓ですよ！\nホームランを目指して、ボールを\nタイミングよく打ち返しましょう"
"1008001","6","2021-08-31 12:00:00","190801","1008","2030-04-01 14:00:00","0","カルミナメダルを使って、\n応援グッズをゲットしましょう！\nメダルはルピを使って\n交換できますよ。\n"
"1009001","13","2021-12-18 15:00:00","190801","1009","2030-04-01 14:00:00","0","食べたプリンはプリンノート\nで確認してみましょう！\nプリンの材料はルピを使って\n購入できますよ。"
"1010001","4","2022-02-15 15:00:00","190801","1010","2030-04-01 14:00:00","0","チームでクイズに挑みましょう！\nソロで自分の実力を試すか、マル\nチで仲間と一緒に遊ぶか、好きな\nモードを選んでくださいね♪"
"1011001","6","2022-07-18 15:00:00","190801","1011","2030-04-01 14:00:00","0","３つのラウンドを駆け抜け、\n総合１位を目指しましょう！\n参加者の皆さんの特徴や、\nＧＰの特徴にも注目です♪"
"1012001","6","2023-09-18 15:00:00","190801","1012","2030-04-01 14:00:00","0","キャルさん、スズナさんと一緒に\nクイズでお勉強しましょう！\n放課後の教室で二人きりって…\nなんだかドキドキしますね♪"
"1013001","6","2024-04-18 15:00:00","190801","1013","2030-04-01 14:00:00","0","魔物の討伐任務にいざ行軍！\nエリコさん、マコトさんの\n頼もしい背中は、\n新兵さんたちの憧れですね♪"
