9013322b5e4a0fa61bfe60fa091bc64a303fd8166c667a110bf9f7c434465c93,112fa9995cc7bba9174b2bcdf03fd216a80d10c4602aa57c3648477f03af31d6,e352e5d90574ec047cac4be39e4f02b47a564eee8b8be98c751b0ac383c0a5cd,7d9c6643e9415a26bae3e510d18172cd374d60c7f7ffcb895ff14db9852bcc14,0d1b0a762f090e3b2277cfdbdc46bc3c46abcbd39400a72d69fcc8b7e9ad2efa,a4a14b1d216e9f06fc5c77151e3f76af46f7b1f273e546f1b8e200aff7b39cf0,70e1add015456565e4a515e81456f9e89e2c66eba8b999207779ef65e194dabf,7e53a2836dd8cff53340f80ec04026fe5035cd45550a0220bb254ae5508304fd,efcf8a7baaf417d167d749700bf8629a81200ed447991207f29c494562c58865,4a5c1906514384775796c64625c8cc277de728628db50ff521ef8f0e3e0a6eb2,ae5c318f6ad3b2245aa913b067a834a58dec2fd50eaef66e1784f06b677fbdd5,3553d19dd209397fb2c457b89d56303a302755885a14f718a834e6bc7c8e570a,67731c137b2a84c64f5d669a6688e7414b3ed5dc900239d95732ec432b3b68ed
"0","0","0","0","3110001","0","1","0","1","ぶた","いのしし","いぬ","おおかみ"
"0","0","0","0","3110002","0","1","0","1","三","二","四","一"
"1","0","0","0","3110003","0","1","0","1","八","九","七","十"
"0","0","0","0","3110004","0","1","0","1","亭","要","也","花"
"0","0","0","0","3110006","0","1","0","1","がつがつ","ぱかぱか","もぐもぐ","めそめそ"
"0","0","0","0","3110007","0","1","0","1","針で縫う","ものがへこむ","批判をする","犬の鳴き声"
"1","0","0","0","3110009","0","1","0","0","木","十","口","田"
"0","0","0","0","3110010","0","1","0","1","それで","だが","よって","しかし"
"0","0","0","0","3110011","0","1","0","1","身長をはかる","身長な行動","身長が伸びる","服を身長する"
"0","0","0","0","3110012","0","1","0","1","地面（じめん）","鼻血（はなじ）","自信（じしん）","身近（みじか）"
"0","0","0","0","3110013","0","1","0","1","た","ば","さ","ま"
"0","0","0","0","3110015","0","1","0","1","月","金","火","土"
"0","0","0","0","3111001","0","1","0","1","ブレイド","ストライク","クイーン","プリンセス"
"0","0","0","0","3111002","0","1","0","1","アタック","オール","エクスプロージョン","ヒール"
"0","0","0","0","3120001","1","0","0","1","H","G","J","F"
"0","0","0","0","3120002","0","1","0","1","ふさい","めおと","ふじん","ふうふ"
"1","0","0","0","3120006","0","1","0","1","講","礼","酒","無"
"1","0","0","0","3120007","0","1","0","1","山","王","四","天"
"1","0","0","0","3120008","0","1","0","1","事","空","想","絵"
"0","0","0","0","3120010","0","1","0","1","アスパラガス","トマト","カボチャ","ナス"
"1","0","0","0","3120011","1","0","0","1","春","盆","夏","新年"
"0","0","0","0","3120012","0","1","0","1","東","西","南","瓜"
"1","0","0","0","3120013","0","1","0","1","馬の耳に念仏","豚に真珠","鬼に金棒","猫に小判"
"1","0","0","0","3120014","0","0","0","1","傍","半","全","自"
"1","0","0","0","3120015","1","1","0","0","がる","る","ろす","しい"
"1","0","0","0","3120016","0","0","0","1","申し上げる","いらっしゃる","なさる","存じ上げる"
"0","0","0","0","3121001","0","1","0","1","クソエルフ","クソ猫","クソ眼鏡","ロリババア"
"0","0","0","0","3121002","0","1","0","1","ミラー","クリエイション","アヴァロン","オブジェクト"
"0","0","0","0","3130001","0","1","0","1","暗","梅","倍","塩"
"1","0","0","0","3130002","1","0","0","1","秋","夏","冬","春"
"0","0","0","0","3130004","0","1","0","1","五里夢中","四面楚歌","良妻嫌母","前代未聞"
"0","0","0","0","3130005","0","1","0","1","自我自賛","公明正大","一期一得","無我夢中"
"1","0","0","0","3130006","0","1","0","1","危機一発","山止水明","単刀直入","怪刀乱麻"
"1","0","0","0","3130007","0","1","0","1","意気消沈","三位一体","興味深々","以心伝心"
"1","0","0","0","3130010","0","1","0","1","仁","念","温","朴"
"1","0","0","0","3130011","0","1","0","1","場","壇","独","土"
"1","0","0","0","3130013","0","1","0","1","多","楽","雑","我"
"0","0","0","0","3130014","0","1","0","1","りちぎ","まめ","ただみ","ちゅうじつ"
"0","0","0","0","3130016","0","1","0","1","たけのこ","もずく","たまねぎ","わかめ"
"0","0","0","0","3131001","0","1","0","1","戦記","血盟","冥空","煉獄"
"0","0","0","0","3131002","0","1","0","1","トリップ","トランス","妄想","エクスタシー"
"1","0","0","0","3210001","0","1","0","1","キュウリ","ナス","ダイコン","トマト"
"0","0","0","0","3210002","0","1","0","1","肝臓","腎臓","心臓","肺"
"1","0","0","0","3210003","0","1","0","1","循環器","排出器","消火器","呼吸器"
"0","0","0","0","3210005","0","1","0","1","ナマコ","タコ","イソギンチャク","イカ"
"0","0","0","0","3210006","0","1","0","1","イノシシ","コアラ","ナマケモノ","カンガルー"
"0","0","0","0","3210008","0","1","0","1","モイモイ","でんでんむし","がんがんむし","マイマイ"
"0","0","0","0","3210009","0","1","0","1","モンアオチョウ","モンシロチョウ","モンアカチョウ","モンキチョウ"
"0","0","0","0","3210010","0","1","0","1","人差し指","中指","親指","小指"
"0","0","0","0","3210011","0","1","0","1","C型","B型","D型","A型"
"0","0","0","0","3210013","0","1","0","1","ヤドカリ","ハマグリ","エビ","アサリ"
"0","0","0","0","3210014","0","1","0","1","ライオン","ウマ","オオカミ","ウサギ"
"0","0","0","0","3210015","0","1","0","1","クマ","シカ","コアラ","サイ"
"0","0","0","0","3211001","0","1","0","1","ミソギ","ハツネ","サレン","スズナ"
