cba338c33936354e3ce2e67f69553ad65fb3ee40c84ea87f3894a7ec2eb3e111,e80d10b3608d9b8ef504ed7f3e49b0548b04efa94f793965f504fc63202382f7,085baa67d490beaa128ba5e3f2124ae5d4b146365c28a0ac810f3f4427edcb1c
"1","32025","1"
"2","32046","1"
"3","32048","1"
"4","32016","1"
"5","32060","1"
"5","32078","2"
"6","32031","1"
"7","32007","1"
"8","32050","1"
"9","32033","1"
"10","32058","1"
"10","32075","2"
"11","32042","1"
"12","32021","1"
"13","32023","1"
"14","32027","1"
"15","32049","1"
"16","32011","1"
"17","32045","1"
"18","32030","1"
"19","32013","1"
"20","32040","1"
"21","32018","1"
"22","32028","1"
"23","32043","1"
"24","32017","1"
"25","32010","1"
"26","32036","1"
"27","32004","1"
"28","32020","1"
