0b3c48901415e7d2cb17a5d501a7785b85a9e9b91425c80bfa1dd716a3dcb704,b6970d41810d9e96076ed86b4845c8fc539ba2cd2888771279993954d4f2342a
"209700","209700"
"209700","209701"
"209700","209702"
"209700","209703"
"218500","218500"
"307400","307400"
"307400","307401"
"307400","307402"
"307400","307403"
"307404","307404"
"307405","307405"
"307406","307406"
"307800","307800"
"307800","307801"
"307800","307802"
"307800","307803"
"307800","307804"
"307800","307805"
"307800","307806"
"308200","308200"
"308200","308201"
"308200","308202"
"308200","308203"
"308204","308204"
"308200","308205"
"308200","308206"
"308200","308207"
"308400","308400"
"308400","308401"
"308400","308402"
"308400","308403"
"308400","308404"
"308400","308405"
"308400","308406"
"308400","308409"
"308600","308600"
"308600","308601"
"308600","308602"
"308600","308603"
"308600","308604"
"308600","308605"
"308600","308606"
"309300","309300"
"309300","309301"
"309300","309302"
"309300","309303"
"309300","309304"
"309300","309305"
"309300","309306"
"309801","309801"
"309802","309802"
"309803","309803"
"309803","309805"
"310700","310700"
"310700","310701"
"310700","310702"
"310700","310703"
"310700","310704"
"310700","310705"
"310700","310706"
"310700","310707"
"310800","310800"
"310800","310801"
"310800","310802"
"310800","310803"
"310800","310804"
"310800","310805"
"310800","310806"
"311600","311600"
"311600","311601"
"311600","311602"
"311600","311603"
"311600","311604"
"311600","311605"
"311600","311606"
"313500","313500"
"313501","313501"
"313500","313502"
"313600","313600"
"313601","313601"
"313600","313602"
"313700","313700"
"313701","313701"
"313702","313702"
"313702","313703"
"313702","313704"
"313702","313705"
"313702","313706"
"313702","313707"
"313702","313708"
"313702","313709"
"313800","313800"
"313801","313801"
"313800","313802"
"313900","313900"
"313901","313901"
"313900","313902"
"314800","314800"
"314800","314801"
"314800","314802"
"314800","314803"
"314800","314804"
"314800","314805"
"314800","314806"
"314800","314807"
"315400","315400"
"315400","315401"
"315400","315402"
"315400","315403"
"315404","315404"
"315404","315405"
"315404","315406"
"315400","315407"
"316700","316700"
"316700","316701"
"316700","316702"
"316700","316703"
"316700","316704"
"316700","316705"
"316700","316706"
"317200","317200"
"317700","317700"
"317700","317800"
"317900","317900"
"317900","317901"
"318400","318400"
"318401","318401"
"318402","318402"
"318403","318403"
"318404","318404"
"319100","319101"
"319100","319102"
"319100","319103"
"319100","319104"
"319100","319105"
"319100","319106"
"319300","319300"
"319300","319301"
"319300","319302"
"319300","319303"
"319300","319304"
"319300","319305"
"319700","319700"
"319701","319701"
"319800","319800"
"319801","319801"
"319900","319900"
"319901","319901"
"319902","319902"
"319902","319903"
"319902","319904"
"319902","319905"
"319902","319906"
"319902","319907"
"319902","319908"
"320500","320500"
"320500","320501"
"320500","320502"
"320500","320503"
"320500","320504"
"320500","320505"
"320500","320506"
"320500","320507"
"320500","320508"
"320700","320700"
"320700","320701"
"320700","320702"
"320700","320703"
"320700","320704"
"320700","320705"
"320700","320706"
"320700","320707"
"320700","320708"
"321200","321200"
"321200","321201"
"321200","321202"
"321200","321203"
"321200","321204"
"321200","321205"
"321200","321206"
"321200","321207"
"321200","321208"
"321500","321500"
"321600","321600"
"321601","321601"
"321602","321602"
"321600","321603"
"321602","321604"
"322101","322100"
"322101","322101"
"322101","322102"
"322101","322103"
"322101","322104"
"322101","322105"
"322101","322106"
"322101","322107"
"322101","322108"
"322200","322200"
"322200","322201"
"322200","322202"
"322200","322203"
"322200","322204"
"322200","322205"
"322200","322206"
"322200","322207"
"322200","322208"
"323400","323400"
"323400","323401"
"323400","323402"
"323400","323403"
"323400","323404"
"323400","323405"
"323400","323406"
"323800","323800"
"323800","323801"
"323800","323802"
"323800","323803"
"323800","323804"
"323800","323805"
"323800","323806"
"324000","324000"
"324000","324001"
"324000","324002"
"324000","324003"
"324000","324004"
"324000","324005"
"324000","324006"
"324700","324700"
"324700","324701"
"324700","324702"
"324700","324703"
"324700","324704"
"324700","324705"
"324700","324706"
"325200","325200"
"325200","325201"
"325200","325202"
"325200","325203"
"325200","325204"
"325200","325205"
"325200","325206"
