dbebd6c85ea61d0c19b17842f279c0c8a0203f7bdf73db1d669963f3c6b8d8b4,10ba9bd9cf0d6ff949a1474aa6171ec95f07258aca43ae41a1749a6a79f25933,185e318d4ffaef94bd37ca7c8ee085e54534d64a6095147c97ea182e13ebbd07,9dab4e286efd5c938631fbc9a508a8f61669b8bc8b8c6b0a3a8f5de1ed5c9baa,5db0ed3c54c858c4473740de444eb6afd83a21e2bc1c552df2a9af88dab9de8a,681eeee13083e2c38c5040973cd900d3887ee5b268341e04cbe5a68e1951c956,f18bcb8c1d68ed47d54c76bd9f4bc3b5ca7cf442fa015574856fdddf8a50ffdb,09643d7fc46ab0ab7affb5d694ae2aad79dd457f42c781f5ac2bd422aa5d8150,79bea81eb60005388d865deb8e583f47f49e93536f67a1dec331707596cac27f,eb382bc497fb2db857cd20a97dd80f47062dcd61a481deec3ca6cc49fd1f9091
"111","3","0","2","5000000","0","0","0","25101","101"
"211","3","0","2","5000000","0","0","0","25101","201"
"311","2","0","2","5500000","0","0","0","25101","301"
"411","2","0","2","5500000","0","0","0","25101","401"
"511","3","0","2","6000000","0","0","0","25101","501"
"611","2","0","2","6000000","0","0","0","25101","601"
"711","2","0","2","6500000","0","0","0","25101","701"
"811","2","0","2","6500000","0","0","0","25101","801"
"911","3","0","2","7000000","0","0","0","25101","901"
"1011","2","0","2","7000000","0","0","0","25101","1001"
"1111","2","0","2","7500000","0","1112","0","25101","1101"
"1211","2","0","2","7500000","0","1212","0","25101","1201"
"1311","3","0","2","8000000","0","0","0","25101","1301"
"1411","2","0","2","8000000","0","0","0","25101","1401"
"1511","2","0","2","8500000","0","0","0","25101","1501"
"1611","2","0","2","8500000","0","0","0","25101","1601"
"1711","3","0","2","9000000","0","0","0","25101","1701"
"1811","2","0","2","9000000","0","1812","0","25101","1801"
"1911","2","0","2","9500000","0","0","0","25101","1901"
"2011","2","0","2","9500000","0","0","0","25101","2001"
"2111","3","0","2","10000000","0","0","0","25101","2101"
"2211","2","0","2","10000000","0","0","0","25101","2201"
"2311","2","0","2","10500000","0","0","0","25101","2301"
"2411","2","0","2","10500000","0","0","0","25101","2401"
"2511","3","0","2","11000000","0","0","0","25101","2501"
"2611","2","0","2","11000000","0","2612","0","25101","2601"
"2711","2","0","2","11500000","0","2712","0","25101","2701"
"2811","2","0","2","11500000","0","2812","0","25101","2801"
"2911","3","0","2","12000000","0","0","0","25101","2901"
"3011","2","0","2","12000000","0","3012","0","25101","3001"
"3111","2","0","2","12500000","0","0","0","25101","3101"
"3211","2","0","2","12500000","0","0","0","25101","3201"
"3311","3","0","2","13000000","0","0","0","25101","3301"
"3411","3","0","2","13000000","0","0","0","25101","3401"
"3511","3","0","2","13500000","0","0","0","25101","3501"
"3611","3","0","2","13500000","0","0","0","25101","3601"
"3711","3","0","2","13500000","0","0","0","25101","3701"
"3811","3","0","2","14000000","0","3812","0","25101","3801"
"3911","3","0","2","14000000","0","0","0","25101","3901"
"4011","3","0","2","14000000","0","0","0","25101","4001"
"4111","3","0","2","14500000","0","0","0","25101","4101"
"4211","3","0","2","14500000","0","4212","0","25101","4201"
"4311","3","0","2","14500000","0","0","0","25101","4301"
"4411","3","0","2","15000000","0","0","0","25101","4401"
"4511","3","0","2","15000000","0","0","0","25101","4501"
"4611","3","0","2","15000000","0","0","0","25101","4601"
"4711","3","0","2","15500000","0","0","0","25101","4701"
"4811","3","0","2","15500000","0","0","0","25101","4801"
"4911","3","0","2","15500000","0","0","0","25101","4901"
"5011","3","0","2","16000000","0","0","0","25101","5001"
"5111","3","0","2","16000000","0","0","0","25101","5101"
"5211","3","0","2","16000000","0","0","0","25101","5201"
"5311","3","0","2","16500000","0","0","0","25101","5301"
"5411","3","0","2","16500000","0","5412","0","25101","5401"
"5511","3","0","2","16500000","0","0","0","25101","5501"
"5611","3","0","2","17000000","0","0","0","25101","5601"
"5711","3","0","2","17000000","0","0","0","25101","5701"
"5811","3","0","2","17000000","0","0","0","25101","5801"
"5911","3","0","2","17500000","0","0","0","25101","5901"
"6011","3","0","2","17500000","0","0","0","25101","6001"
"6111","3","0","2","17500000","0","0","0","25101","6101"
"6211","3","0","2","18000000","0","6212","0","25101","6201"
"6311","3","0","2","18000000","0","0","0","25101","6301"
"6411","3","0","2","18000000","0","0","0","25101","6401"
"6511","3","0","2","18500000","0","0","0","25101","6501"
"6611","3","0","2","18500000","0","0","0","25101","6601"
