b9f41d04f0cff7d261e5483784646e07d1e118580be65508af96478d7da691e7,94b7552ab03b7c737b4c47fddf3a738467e12cd2db68edd7dddaaa27ec0ed119,8e261015de485672ba09d4056c3439ae9c3bbdbd47a3292f85d375672b27cc19,99399f8073413010099b2823e3ad1763ca97a8c2d7a30d81d3df6b76b2ac3f43,21baa118f62e302ca2727d5eceb3af0ec946bf9c84f45d2cfa1419c84282cf54,a2f4d8a023b484484dc28ad511089986168d50b22de4384e9125a64dc7d9eb4e,8443e7ed09db1d3fa2de2f57872d8e6bd61a92e341dae1a90a768c9c38c5be5d,0aed6be3c218edfed6c4941c3c6c493553981faae2ea660605c4b515d53f22db,120211e5fe12fbe95a921d5a048b5050955fced4ab9a019a02528fe7fb55d5cd,72ddcd9e0892d347adbfbf2fad9be5ad1e2fe02c97d5c7f22b0fb27f6ea70fb7,70ae6fe3f4cf53a70bfa157d05c04c5ba20d5f1594f488fabad5702eddaabc21,9f4bffea118afa922466743b50406ce02170980ae13487854a594e7cfffc4847,c5158e9e5c2196081b039b601a27d8c005dd0e1f41d76955a033668d562ac02e,dda4b832cb426200c6df72e24f2aad2c3a8fa54256d7dc6da1c440ad1e67a35c,5300acd45c32d454da354ed7709a991f428a66aada3831995b96a7b1a95a4f50,c953b643e27be220e796d32f548f64b0305b661bfce8902bf2d1b9b5b0b6dc35,2ba87f2f8b29e705b8d73f099b7756071e42c0ef0107344f07b039dfe44cd4cd
"10","4101401","108","11001","4104351","7200","-470","4201401","スィオネ\n樹林","4101351","4104401","11001001","1","11001001","1","43200","100000"
"10","4106401","90","11001","4110351","7200","-235","4203401","ヘリケ巨木","4106351","4110401","11001002","2","11001002","1","43200","100000"
"10","4102401","108","11001","4105351","7200","0","4201401","イオカステ\n岩山","4102351","4105401","11001003","3","11001003","1","43200","100000"
"10","4108401","90","11001","4109351","7200","235","4203401","ハルパリ\n大滝","4108351","4109401","11001004","4","11001004","1","43200","100000"
"10","4103401","108","11001","4107351","7200","470","4201401","ムネメー川","4103351","4107401","11001005","5","11001005","1","43200","100000"
"10","4104401","108","11002","4101401","7200","-470","4301401","アルバ浜堤","4301351","4201401","11002003","6","11002001","1","43200","100000"
"10","4110401","90","11002","4106401","7200","-235","4305401","サダルスド\n砂浜","4305351","4203401","11002002","7","11002002","1","43200","100000"
"10","4105401","108","11002","4102401","7200","0","4302401","ダルリク\n巨岩","4302351","4201401","11002001","8","11002003","1","43200","100000"
"10","4109401","90","11002","4108401","7200","235","4304401","アンカル川","4304351","4203401","11001005","9","11002004","1","43200","100000"
"10","4107401","108","11002","4103401","7200","470","4303401","ダクビア\n森林","4303351","4201401","11001001","10","11002005","1","43200","100000"
"10","4101401","108","11003","4201401","7200","-470","4109401","ミーマス\n洞穴","4201351","4104401","11003001","11","11003001","1","43200","100000"
"10","4108401","90","11003","4202401","7200","-155","4110401","レアント川","4202351","4102401","11003002","11","11003002","1","43200","100000"
"10","4103401","108","11003","4203401","7200","160","4109401","ケランド\n廃墟","4203351","4105401","11003003","11","11003003","1","43200","100000"
"10","4106401","90","11003","4204401","7200","470","4110401","デオネカ\n氷海","4204351","4107401","11003004","11","11003004","1","43200","100000"
