5505fffa3ce88435f97dfcb5ecfe8c1501f56e6845bc8cc4b9edb3f52880a338,a7c3c1d7624aac18ea51a733c87110d743e6278ac252b8238a00ce678ff80332,b471b741fce98b3c0668547522a56306ff38997ff4b822ec737f52a8fbe79487,ebf98e2c02486deed950594efb900acd2c59bfb737521a7e23bdbc3c3b5073db,0cf27654fecf1e5f3800f310c0b57ddc9f83dbe5daa99a2238cfafa4c6da2636,8792b02ce0817f1700221fe1903fd57772e5948e5ad5475c952d4e67afe18514,fa75be541beec0070a7605dfb1ade700b5e242838421094a6ad3288b43ac13cd,77e50199caa65e674f73850cbfd57933469876ed192013bbc4d9b316536116a7,bb7ede1a902b5a76a1c5b6bdc6d465fc817f0258e16c4382f5427de3031bddfd,b4cc0a184e5ea8b010a5862a856d34e2063de9e0a79cd7790292556d873a6775
"0","10174","7001","0","10174101","1","0","0","ウヅキとリンのメモリー","0"
"0","10174","7002","0","10174103","2","0","0","ニュージェネレーションズのメモリー","0"
"0","10174","7003","0","10174103","4","0","0","ウヅキとミオのメモリー","0"
"0","10174","7004","0","10174105","6","0","0","美食殿のメモリー","0"
"0","10174","7005","0","10174105","7","0","0","リンとミオのメモリー","0"
"0","10174","7006","0","10174105","8","0","0","ニュージェネレーションズのメモリー","0"
"0","10174","7007","0","10174107","9","0","0","ニュージェネレーションズと美食殿のメモリー","0"
"0","10174","7008","0","10174107","10","0","0","美食殿のメモリー","0"
"0","10175","7009","0","10175105","14","0","0","ニュージェネレーションズと美食殿のメモリー","0"
"0","10174","7102","0","10174103","3","0","0","ニュージェネレーションズのメモリー","0"
"0","10174","7103","0","10174103","5","0","0","美食殿のメモリー","0"
"0","10174","7104","0","10174107","11","0","0","ニュージェネレーションズと美食殿のメモリー","0"
"0","10175","7105","0","10175105","12","0","0","ニュージェネレーションズと美食殿のメモリー","0"
"0","10175","7106","0","10175105","13","0","0","ニュージェネレーションズと美食殿のメモリー","0"
"1","10174","7201","0","10174101","15","2405","1","","7"
