8a410e2431500fa6ba8143ce5a092bb39fcaacbd0d4b64396caf7d1960a83970,a3d5f61209b5c1c8b148828acef9d09398a440b21773780160730b171f573fc7,e2d8e72d6e237a70179c038f6fe211b336847bc52c6ec2ff5ce4a8a26419a616,b8869e6455984070462c2f58c47f5df8ebbb9c6b32dae80147e4f530462db19d,1e70fe92152e482d67136e301d27e223bdf58857a14e262092d67995051a8c00,bc2eaec74bfa2becab1b225987ea34f6742e7c58b0126ed785e54aa8dd4f76f0,68f2e02748c4f4df650edf1b4e4455f7c99da0deccb7baf328970758da2b453a,a668afa7d58737dd54c4062bfbf42923c0cc1be25182c4b54148c5facfb94db4,3ea7651900dbf017713cf5cbc16de3fff86a26a29495515248876e814cc38e7d,5c0ad312c358a24c4199f57444566dd5f84825bb1637d6b57698f185af444b54,140e104b7379c4cc975f803b8b5012db77d993338df5796c8087c0139a4f051b,da1fa682b93bd3be7e05a94bed8a9bc40035c1772c413be2df8092515f52425e,f0cad9107c6795ee152f9882053bb59b046be3521bbf1b9eebbbba47e46bdebb,4e0288ba137d141031d7a55d054cbd1ff11e705290cccc498032de8dcb5221b1,42ab549d258241cea4661301fd6151ec51a46a4b75df6d8f613de160e1661142,b39e8ae1f1272c4ad3b702b7b2b0c2fe7b725234af390b95c0b9bf276827a0ba
"100101","27","東山奈央","A","トゥインクルウィッシュ","ヒヨリ","人助け、応援","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","155","16","0","8","2","獣人族","人助けが大好き！　前向き格闘娘"
"100201","5","種田梨沙","O","トゥインクルウィッシュ","ユイ","料理、人間観察","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","158","17","0","4","2","ヒューマン","戦闘のサポートが得意な、心優しい少女"
"100301","12","早見沙織","B","トゥインクルウィッシュ","レイ","読書、乗馬、お茶","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","163","18","0","1","2","魔族","クールで何事にも真っ直ぐな剣士"
"100401","10","諸星すみれ","O","リトルリリカル","ミソギ","いたずら、探検","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","27","128","9","0","8","5","ヒューマン","探検好きのイタズラっ子"
"100501","25","下田麻美","O","王宮騎士団（NIGHTMARE）","マツリ","ヒーローごっこ","？？？","40","146","12","0","11","8","獣人族","ヒーローに憧れる騎士見習いの少女"
"100601","22","浅倉杏美","O","悪魔偽王国軍（ディアボロス）","アカリ","サックス","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","42","150","13","0","11","7","魔族","甘え上手なみんなの人気者"
"100701","23","雨宮天","B","悪魔偽王国軍（ディアボロス）","ミヤコ","プリンを食べること","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","32","130","14","0","1","7","魔族","プリン大好きゴースト娘"
"100801","10","大空直美","AB","ヴァイスフリューゲル　ランドソル支部","ユキ","鏡で自分を見ること","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","40","150","14","0","10","15","エルフ","ボクは誰よりも美しい"
"100901","5","髙野麻美","A","トワイライトキャラバン","アンナ","小説執筆","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","45","159","17","0","7","13","魔族","前世を信じる中二病患者、「疾風の冥姫」"
"101001","22","内田真礼","O","自警団（カォン）","マホ","空想、ぬいぐるみ集め","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","42","155","16","0","9","10","獣人族","マホマホ王国のプリンセス"
