c4bff29a2d7ad9a49a0a445ba6ccec8e33b428ff7fd6cc9cc8465e286cc8526f,ea2f529e81d9cf79a56d4831fc9e9214a5094004fe38aef5c2cf8b8229f4f02f,6d8f34de01ebac343f6a4d838ba1f0812770f474ddc4cddb6989d7913ea2adf1,08eb231d53f4e9081de3977bfc6da1bd25c76ecf2940b04f391caaec52a99623,b9395fc00ce8ac305b98b76fec2d84263a11479ef5dea64dcfb0ad525a5b374c,bf3109bddc38cfb29adde9b382cf90077f2f27ce26680d80ae3bad40f3ec5c6e,7e7e471b827a22ad5bc69c01e608ca9a91ba9997c71d702d0daa0702aae759af,6c6bd4a19de257c24163be8ac3eafd664cd11c4940edeb537710ac869d504cc1
"1","1","1","0","0","24","10101020","3050100"
"2","1","2","0","0","24","0","4010200"
"3","1","3","0","0","24","10401020","3030200"
"4","1","4","0","0","24","10401020","3050200"
"5","1","5","0","0","24","10401020","3040200"
"6","1","6","0","0","24","10401020","3020200"
"7","1","7","0","0","24","0","4010300"
"101","1","8","0","0","24","10101020","3030100"
"102","1","9","0","0","24","0","3010201"
"103","1","10","0","0","24","0","3020201"
"104","1","11","0","0","24","0","3010301"
"105","1","12","0","0","24","0","3030301"
"106","1","13","0","0","24","0","3040301"
"107","1","14","0","0","24","0","3050301"
"108","1","15","0","0","24","0","3020301"
"109","1","16","0","0","24","10401050","3030300"
"110","1","17","0","0","24","10401050","3040300"
"111","1","18","0","0","24","10401050","3050300"
"112","1","19","0","0","24","10401050","3020300"
"201","1","20","0","0","24","10101020","3010100"
"202","1","21","0","0","24","10101020","3020100"
"203","1","22","0","0","24","10101020","3030100"
"204","1","23","0","0","24","10101020","3040100"
"205","1","24","0","0","24","10101020","3050100"
"206","1","25","0","0","24","10101020","3010200"
"207","1","26","0","0","24","10101020","3020200"
"208","1","27","0","0","24","10101020","3030200"
"209","1","28","0","0","24","10101020","3040200"
"210","1","29","0","0","24","10101020","3050200"
"401","1","30","112","0","24","0","1010301"
"402","1","31","203","0","24","0","1020301"
"403","1","32","306","0","24","0","1030301"
"404","1","33","401","0","24","0","1040301"
"405","1","34","508","0","24","0","1050301"
"406","1","35","209","0","24","20101050","1020301"
"407","1","36","306","0","24","20101050","1030301"
"408","1","37","407","0","24","20101050","1040301"
"409","1","38","501","0","24","20101050","1050301"
"600","1","39","0","11001337","15","0","0"
"600","150","40","0","91002","8","0","0"
"700","1","41","0","11001338","15","0","0"
"799","150","42","0","91002","8","0","0"
"800","1","43","0","11001339","15","0","0"
"999","1","44","0","0","24","0","0"
