93f2ec488e29d6e8ad970742dba394c24abccab69ff24c92817a984fbe227b60,72487cf7a39b689327884785dd4661d34a8a6292a2d9f7c134be0384b2a4fe7a,bc41c47c00979b271833050d0f1ac961739eda08c98f68d54445489321f49f88,80fdb257f598b924d652522175245198388a2ceb5b3b83667a68680b4e194207,bcbc2b4188ceb2ff3948c3f1799a4fb0aca7ead3fc8f0cdf7b2771ee646dc206,41974f7bbad9e37d6cf0336d8715f72e16d76ecb83fcef40892e0aa729bb5f81,23e5df22992c7230110bbb0c15b0dd9cba9aff757411e8213b284ba3c25c00d9,6e71fe57c1e0b4038f0a4c422ed6c20dd4083d5de13b4e5b1fc678028da9a1f6,979525be19ae58fc7294d9278250cd7ab3c21f7ba2595efc358fe5ce0c3f45b2,f365de2cc833c1e66d03a87bb3669556b2b79ec0acc137951da6bbba850143e5
"12000","10","0","90001","1","30000","1","90043","10000","0"
"24000","20","0","90002","2","30000","2","90047","10000","0"
"24000","20","0","90002","3","30000","3","90047","10000","0"
"24000","20","0","90002","4","30000","4","90047","10000","0"
"24000","20","0","90002","5","30000","5","90047","10000","0"
"24000","20","0","90002","6","30000","6","90047","10000","0"
"24000","20","0","90002","7","30000","7","90047","10000","0"
"24000","20","0","90002","8","30000","8","90047","10000","0"
"24000","20","0","90002","9","30000","9","90047","10000","0"
"24000","20","0","90002","10","30000","10","90047","10000","1"
"48000","40","90011","90003","11","30000","11","90051","10000","2"
"48000","40","90011","90003","12","30000","12","90051","10000","3"
"48000","40","90011","90003","13","30000","13","90051","10000","4"
"48000","40","90011","90003","14","30000","14","90051","10000","5"
"48000","40","90011","90003","15","30000","15","90051","10000","6"
"48000","40","90011","90003","16","30000","16","90051","10000","7"
"48000","40","90011","90003","17","30000","17","90051","10000","8"
"48000","40","90011","90003","18","30000","18","90051","10000","9"
"48000","40","90011","90003","19","30000","19","90051","10000","10"
"48000","40","90011","90003","20","30000","20","90051","10000","11"
"72000","60","90015","90004","21","30000","21","90055","10000","12"
"72000","60","90015","90004","22","30000","22","90055","10000","13"
"72000","60","90015","90004","23","30000","23","90055","10000","14"
"72000","60","90015","90004","24","30000","24","90055","10000","15"
"72000","60","90015","90004","25","30000","25","90055","10000","16"
"72000","60","90015","90004","26","30000","26","90055","10000","17"
"72000","60","90015","90004","27","30000","27","90055","10000","18"
"72000","60","90015","90004","28","30000","28","90055","10000","19"
"72000","60","90015","90004","29","30000","29","90055","10000","20"
"72000","60","90015","90004","30","30000","30","90055","10000","21"
"96000","80","90015","90005","31","30000","31","90059","10000","22"
"96000","80","90015","90005","32","30000","32","90059","10000","23"
"96000","80","90015","90005","33","30000","33","90059","10000","24"
"96000","80","90015","90005","34","30000","34","90059","10000","25"
"96000","80","90015","90005","35","30000","35","90059","10000","26"
"96000","80","90015","90005","36","30000","36","90059","10000","27"
"96000","80","90015","90005","37","30000","37","90059","10000","28"
"96000","80","90015","90005","38","30000","38","90059","10000","29"
"96000","80","90015","90005","39","30000","39","90059","10000","30"
"96000","80","90015","90005","40","30000","40","90059","10000","31"
"144000","120","90017","90005","41","30000","41","90063","10000","33"
"144000","120","90017","90005","42","30000","42","90063","10000","35"
"144000","120","90017","90005","43","30000","43","90063","10000","37"
"144000","120","90017","90005","44","30000","44","90063","10000","39"
"144000","120","90017","90005","45","30000","45","90063","10000","41"
"144000","120","90017","90005","46","30000","46","90063","10000","43"
"144000","120","90017","90005","47","30000","47","90063","10000","45"
"144000","120","90017","90005","48","30000","48","90063","10000","47"
"144000","120","90017","90005","49","30000","49","90063","10000","49"
"144000","120","90017","90005","50","30000","50","90063","10000","51"
"180000","150","90019","90006","51","30000","51","90067","10000","53"
"180000","150","90019","90006","52","30000","52","90067","10000","55"
"180000","150","90019","90006","53","30000","53","90067","10000","57"
"180000","150","90019","90006","54","30000","54","90067","10000","59"
"180000","150","90019","90006","55","30000","55","90067","10000","61"
"180000","150","90019","90006","56","30000","56","90067","10000","63"
"180000","150","90019","90006","57","30000","57","90067","10000","65"
"180000","150","90019","90006","58","30000","58","90067","10000","67"
"180000","150","90019","90006","59","30000","59","90067","10000","69"
"180000","150","90019","90006","60","30000","60","90067","10000","71"
"216000","180","90021","90007","61","30000","61","90071","10000","74"
"216000","180","90021","90007","62","30000","62","90071","10000","77"
"216000","180","90021","90007","63","30000","63","90071","10000","80"
"216000","180","90021","90007","64","30000","64","90071","10000","83"
"216000","180","90021","90007","65","30000","65","90071","10000","86"
"216000","180","90021","90007","66","30000","66","90071","10000","89"
"216000","180","90021","90007","67","30000","67","90071","10000","92"
"216000","180","90021","90007","68","30000","68","90071","10000","95"
"216000","180","90021","90007","69","30000","69","90071","10000","98"
"216000","180","90021","90007","70","30000","70","90071","10000","101"
