40f387155230b234850893cb255cc9d8ce143b86b262fbb765a55327b4f425ad,649c8405733caf756bdaa41dd3161e4d90b87093740dd8c1c73315f68a16e67b,397442e16da6985725f80bcd9a4aa65bb4760ed1339a42245ced40d487054b66,4b854180e562e7ed88a837d74bc7636810a26ccf7fd1e557ff4f78a6e38d66c0,9b31f187218acf4994f9f2b9fd4ba8f0e5919cecb0cfaf52a61e0e57ed95d2d1,9c0058cf55265fd88b4a196a3e0038669e17c8ea999bbdc3ec1f10ede9eaf0f0,8e31f4ea34dd645e2c08577d5959b5b4bd1c8f4b6400af3005762490aeccf1b3,3229acf01478b5ab84c19b8e1910cffe6fa123b00df303fb3f3451f520e61d8b,bf253693bd50f1a06b2e8a2ea15cacd759dbc66ba0a13187724a2d890e877e5f,ac11203e9139099b425dbc3e6b047389502bda9293bc279cef76bbcbd73bc47e,0d2c7f5a1e22de9a0af907d5a4ade4bf06e95eb4e727fbca07b388f5db7c4b90,7628d8cf9339632374e42b1058ad18893de8f5f1bc76c247dea1f659fab1fd9a,9753f56d8248217b50302d059d671a9890b7884c2f76c1aaedbdb90b3fd5a70b,c66da56a16f6bc618236852195e77194ce2aea62c86e27f35a4608ceb09a0402,1a49f1e1be629eeaa44d9e314a876c54d64eed0a89c8d3e88715c151bb59cec7,6401ecd3f0a5ef0fa5d354d00bda3c848764f0ac228dd67776b5f34e2f89193b,98120d0407e9cb718986e44116659670a7f2fa60da552063be341ad381801092,c596c41fa8a3cffb1ed2d2f5ff2482e10951b1376cb2848114b3de986ae2a9b6,7a5f5b995729cd29b2ebe1c3f2d47cfdba2bce9b280f4e2f031698c34c699208,27ec748b0919af68d541c95b0b2ce5269ea9a39f2720f59726d319b3e4b521cb,f98b1bd81e68129ee93affcd086790e8695d42cc7b4d57d54600069ac46c87c3,83c48f0ce15233ac394732189aad2271e581659171c33e938d8337b21705ecd8,c012040d67e34d11ba2de80bf8285794d6b4a2096c9e2903f9cd02a650221e4b,ec29dabeb159fabe58f8ea7b8759fb3c375b7531b9683e2c38bba5693a610f63,aa5d0749e4d515e5e5668a0b43dfaa8f71fa53a71fff0ce674cea55d9e19e2f1,592e2a37ee08b0fe2e08ecc1f201220686eb257c032c96e334e0afe4fbd42fb6,e820fe039256666287c6301c83544521e7eda46d90f0cd3956030fe73e8815fb,9682694957f2bfa6bb1219613c6c464c5df5137701117000fc3a13714948a98a,7804052748dc8bc0594872a780602b3223415ed66e2711638210d37cae1a6c39,89e2d7c694e6face82d439d1ab4bb4f65ac80600f02eae79d54e54236dbdf0b0,f80e1207be347b86b399745699a027ef8caf1f79398022bd203565299ccf0838,ab36514e06c3836fc78efca3441b3e63f53b714430f003c95a2e971f126a4c4f,e7720958a42b058cfca8a4dbf2f68b941d72698804ca45f02fa7e6e1fa45c656,887395311175622436e5a3bf7db6b5c3042e5afeadadc1d807b7dcd7fa6a5a1b,e867887e78057610b1f194cf0d83334b451f81c255e37d70e1914c2ca6d88f34,d283f91e7f4f95b1ea020364ea9c2efb534fd38c02e45ab603253fe2b2644c14,e2cc421412277a786cda331fd9a30ee42b5bde405bf2dc07fbc0b8084b13bace,32845014da224cb3cd10ab6d8f4955f902644197ecaec89d5bd33408bc7f489e,29f10327a34ad776e28ea8967285359daf86336fcb4a44b760e040de8df8bcab,e57c5ac3b1e3c098ebcededb8df011d8170ccfc1dd1f30ae28042dbd5fdef938
"30","0","0","0","0","1","1","0","1","4","0","1","3","1","10","1","0","1","1","1","0","1","670010001","200000006","1","1","329","24","1","1","10","200100","0","1","1","1","1","1","1","0"
"30","0","0","0","0","2","1","0","2","9","0","2","3","2","10","2","0","2","2","2","0","1","670010002","200000006","1","2","338","28","2","2","10","200100","0","2","2","2","2","2","2","0"
"30","0","0","0","0","3","1","0","3","5","0","3","4","3","10","3","0","3","3","3","0","1","670010003","200000006","1","3","347","32","3","3","10","200100","0","3","3","3","3","3","3","0"
"30","0","0","0","0","4","1","0","4","5","0","4","4","4","10","4","0","4","4","4","0","1","670010004","200000006","1","4","347","32","4","4","10","200100","0","4","4","4","4","4","4","0"
"30","0","0","0","0","5","1","0","5","5","0","5","4","5","10","5","0","5","5","5","0","1","670010005","200000006","1","5","349","35","5","5","10","200100","0","5","5","5","5","5","5","0"
"30","0","0","0","0","6","1","0","6","7","0","6","6","6","10","6","0","6","6","6","0","1","670010006","200000006","1","6","367","48","6","6","10","200100","0","6","6","6","6","6","6","0"
"30","0","0","0","0","7","1","0","7","8","0","7","7","7","10","7","0","7","7","7","0","1","670010007","200000006","1","7","413","55","7","7","10","200100","0","7","7","7","7","7","7","0"
"30","0","0","0","0","8","1","0","8","9","0","8","7","8","10","8","0","8","8","8","0","1","670010008","200000006","1","8","459","62","8","8","10","200100","0","8","8","8","8","8","8","0"
"30","0","0","0","0","9","1","0","9","9","0","9","8","9","10","9","0","9","9","9","0","1","670010009","200000006","1","9","505","68","9","9","10","200100","0","9","9","9","9","9","9","0"
"30","0","0","0","0","10","1","0","10","10","0","10","9","10","10","10","0","10","10","10","0","1","670010010","200000006","1","10","551","75","10","10","10","200100","0","10","10","10","10","10","10","0"
"30","0","0","0","0","11","1","0","11","11","0","11","9","11","10","11","0","11","11","11","0","1","670010011","200000006","1","11","598","82","11","11","10","200100","0","11","11","11","11","11","11","0"
"30","0","0","0","0","12","1","0","12","12","0","12","10","12","10","12","0","12","12","12","0","1","670010012","200000006","1","12","644","89","12","12","10","200100","0","12","12","12","12","12","12","0"
"30","0","0","0","0","13","1","0","13","12","0","13","11","13","10","13","0","13","13","13","0","1","670010013","200000006","1","13","690","95","13","13","10","200100","0","13","13","13","13","13","13","0"
"30","0","0","0","0","14","1","0","14","13","0","14","11","14","10","14","0","14","14","14","0","1","670010014","200000006","1","14","736","102","14","14","10","200100","0","14","14","14","14","14","14","0"
"30","0","0","0","0","15","1","0","15","14","0","15","12","15","10","15","0","15","15","15","0","1","670010015","200000006","1","15","782","109","15","15","10","200100","0","15","15","15","15","15","15","0"
"30","0","0","0","0","16","1","0","16","15","0","16","12","16","10","16","0","16","16","16","0","1","670010016","200000006","1","16","851","123","16","16","10","200100","0","16","16","16","16","16","16","0"
"30","0","0","0","0","17","1","0","17","15","0","17","12","17","10","17","0","17","17","17","0","1","670010017","200000006","1","17","919","136","17","17","10","200100","0","17","17","17","17","17","17","0"
"30","0","0","0","0","18","1","0","18","15","0","18","13","18","10","18","0","18","18","18","0","1","670010018","200000006","1","18","1296","164","18","18","10","200100","0","18","18","18","18","18","18","0"
"30","0","0","0","0","19","1","0","19","15","0","19","13","19","10","19","0","19","19","19","0","1","670010019","200000006","1","19","1482","177","19","19","10","200100","0","19","19","19","19","19","19","0"
