a7beea961d5dd91337c80dea618063a6ec55d4aec33536a598896bdb2a7cf940,d7ad11c47f6aa41b61eec50a216221743f54c94fcb7b24a4a86e372331db5bb9,1a2e3da72a2d3633b6e555e61c68503a1604284bbc3e562ff80dcd46cc709dce,b8eb4e5b8bf5f5d74cf3fc595db3b3ae13dbed15fc1c43d88961c33684112b2d,4fd8a5485fa3d08a0995818800695fde3ba136cefa585440bb3424bf8670620c
"1","1001","12","8000000","94002"
"2","1001","2","40","90005"
"3","1002","12","8000000","94002"
"4","1002","2","50","90005"
"5","1003","12","8000000","94002"
"6","1003","2","60","90005"
"7","1004","12","8000000","94002"
"8","1004","2","70","90005"
"9","1005","8","150","91002"
"10","1005","12","8000000","94002"
"11","1005","2","80","90005"
"12","1006","12","8000000","94002"
"13","1006","2","90","90005"
"14","1007","8","300","91002"
"15","1007","12","8000000","94002"
"16","1007","2","100","90005"
"17","2001","12","8000000","94002"
"18","2002","12","8000000","94002"
"19","2003","12","8000000","94002"
"20","2004","12","8000000","94002"
"21","2005","12","8000000","94002"
"22","2006","12","8000000","94002"
"23","2007","12","8000000","94002"
"24","2008","12","8000000","94002"
"25","2009","12","8000000","94002"
"26","2010","12","8000000","94002"
"27","2011","12","8000000","94002"
"28","2012","12","8000000","94002"
"29","2013","12","8000000","94002"
"30","2014","12","8000000","94002"
"31","2015","12","8000000","94002"
"32","7001","12","8000000","94002"
"33","7001","2","5","90005"
"34","7002","12","8000000","94002"
"35","7002","2","5","90005"
"36","7003","12","8000000","94002"
"37","7003","2","5","90005"
"38","7004","12","8000000","94002"
"39","7004","2","10","90005"
"40","7005","12","8000000","94002"
"41","7005","2","10","90005"
"42","7006","12","8000000","94002"
"43","7006","2","10","90005"
"44","7007","12","8000000","94002"
"45","7007","2","15","90005"
"46","7008","12","8000000","94002"
"47","7008","2","15","90005"
"48","7009","12","8000000","94002"
"49","7009","2","15","90005"
"50","7010","12","8000000","94002"
"51","7010","2","20","90005"
"52","7011","12","8000000","94002"
"53","7011","2","20","90005"
"54","7012","12","8000000","94002"
"55","7012","2","20","90005"
"56","7013","12","8000000","94002"
"57","7013","2","25","90005"
"58","7014","12","8000000","94002"
"59","7014","2","25","90005"
"60","7015","12","8000000","94002"
"61","7015","2","25","90005"
"62","7016","12","8000000","94002"
"63","7016","2","30","90005"
"64","7017","12","8000000","94002"
"65","7017","2","30","90005"
"66","7018","12","8000000","94002"
"67","7018","2","30","90005"
"68","7019","12","8000000","94002"
"69","7019","2","35","90005"
"70","7020","12","8000000","94002"
"71","7020","2","35","90005"
"72","7021","12","8000000","94002"
"73","7021","2","35","90005"
"74","7022","12","8000000","94002"
"75","7022","2","40","90005"
"76","8001","12","8000000","94002"
"77","8001","2","1000","90008"
"78","8002","12","8000000","94002"
"79","8002","2","1250","90008"
"80","8003","12","8000000","94002"
"81","8003","2","1500","90008"
"82","8004","12","8000000","94002"
"83","8004","2","1750","90008"
"84","8005","12","8000000","94002"
"85","8005","2","2000","90008"
"86","8006","12","8000000","94002"
"87","8006","2","2250","90008"
"88","8007","12","8000000","94002"
"89","8007","2","2500","90008"
"90","9001","2","50","80001"
"91","9002","2","50","80002"
"92","9003","2","50","80003"
"93","9004","2","50","80004"
"94","9005","2","50","80005"
