115356296782e159a7ca57483b8d2eb6a8f5452fb6fa0453584168eec5523a97,0a2e356b20ecdac8c556a60d5b7b8f6d19ffd183588acebaa3a43bb67e98a72a,a4edbe6edb7718851274fb73e47a2a323c9026c6a37da260f5d03dc8456a353c,03287580fdfc7f78eeaa9363afe065b275514eecc2af9b0b17fd0edeea601696,ad289c788f17d1cca81f9de94b1f28988a47c9bed580ab3fd15f00b6586446ae
"1","1","3","111011101","0"
"1","1","3","111021101","0"
"1","1","3","133011101","0"
"1","1","5","133011201","0"
"1","1","3","133020101","0"
"1","1","3","133020201","1"
"1","1","3","133030101","0"
"1","2","3","133030201","0"
"1","3","3","133030301","0"
"1","1","3","133030401","1"
"1","2","3","133030501","1"
"1","3","3","133030601","1"
"1","1","3","133040101","0"
"1","1","3","133040201","1"
"1","1","3","133040301","2"
"1","1","3","133040401","3"
"1","1","3","133051101","0"
"1","1","5","133051201","0"
"2","1","3","134010101","0"
"2","3","3","134010201","0"
"1","1","3","134021101","0"
"1","1","5","134021201","0"
"2","1","4","140010101","0"
"2","1","1","140010201","1"
"2","1","1","140010301","0"
"1","3","1","140020101","0"
