eecabca0301c7b17d7f3ab6524e9525de22d00d3fa7526f470e38e687c4cb230,5db512b59189972a138371bbae0fce2ba35a3aec4b283d96a02183f0282e961e,319bd3979bdf562b2df6f975087e951008c72377b297dcd3c7f91bc30aa7d7fa,50fb73f03914055348a3e195905eb233a2f1e363800d83f4c3ddcb0fb701b756,9cb21c51c992d502eae0e620d7d99f05594f078b087d1fb31005a17cd97789ef,b571849cc8696021f5a1c7701326ae5d98a4eb71e290cc0d8324e4ff541d90ff,c1c02b242056fe3a6e7a2473103deb0c1bc4f56580c323db512d9d3fb7902e86,ae846b222cbd07c2e6cca66c827071bd7a4c9de8241fcdde6020a9f0fc8fb131,b8c38898c6ed34460e3cce37c74b80e3cbaeed29766a8612119f46164358442d,69ca6a9a1d47ed0a3d4caabb6a9951d4925e2dcbe8f07934120ea7fd8056196b,491d2cefef61f9763f150b267eff0a7cd63d3f520d8d2417f33544389fa74852
"382","5152061","idle_normal","1","1","-280","1","110311","110","1.55","61001"
"145","5152061","idle_normal","1","0","-210","1","131911","106","1.55","61002"
"-50","5152061","joy_idle_normal","1","0","-225","1","102311","107","1.55","61003"
"-245","5152061","wish_idle","1","0","-240","1","102111","108","1.55","61004"
"-440","5152061","idle_normal","1","0","-255","1","107711","109","1.55","61005"
"40","5152061","doya_idle","1","0","-105","1","122811","103","1.45","61006"
"-160","5152061","idle_normal","1","0","-120","1","122911","104","1.45","61007"
"-355","5152061","idle_normal","1","0","-135","1","122711","105","1.45","61008"
"","5152061","","13","","","110311","210","","","61009"
"","5152061","","13","","","131911","206","","","61010"
"","5152061","","13","","","107711","209","","","61011"
"","5152061","","13","","","122711","205","","","61012"
"","5152061","","13","","","122811","203","","","61013"
"","5152061","","13","","","122911","204","","","61014"
"","5152061","","13","","","102111","208","","","61015"
"","5152061","","13","","","102311","207","","","61016"
"-110","5152061","empty","5","0","160","2","2","210","0.75","61017"
"352","5152061","empty","5","0","-45","3","3","210","1","61018"
"0","5152061","","31","","1","1","1","0","1","61019"
