df945256c2f2f86533e3390820cb43154c718b9ab25848385ebeb305b3770bb5,16815564c00d211e08642abd27839895ef14dd6ff05ad8011d4e7b11fcd1f80d,47cfa3f09353c6d25bfaff404dccbfafc41ddbd10c0b62e0c1a5961a0f64a6a7,5a0a7b66d047706e20cc9c87f61859a39e7090e205d95c7a812f8ee0e9c8fbac,fb84c8d121f39894b1f7ea6342bd54750e76bc18318e15c6ee0a5e1400f1111f,ff3122520c2fea6aa692c33840b8ef382b40f309a5d24910962e74ff1dd0ae09
"1","おまかせ","1","2020-02-15 15:00:00","","1"
"2","デフォルト","2","2020-02-15 15:00:00","","2"
"3","アニバーサリー","3","2020-02-15 15:00:00","","3"
"4","ピンク","4","2020-02-15 15:00:00","","1"
"5","レッド","5","2020-02-15 15:00:00","","1"
"6","イエロー","6","2020-02-15 15:00:00","","1"
"7","グリーン","7","2020-02-15 15:00:00","","1"
"8","ライトブルー","8","2020-02-15 15:00:00","","1"
"9","ブルー","9","2020-02-15 15:00:00","","1"
"10","パープル","10","2020-02-15 15:00:00","","1"
"11","グレー","11","2020-02-15 15:00:00","","1"
