ecf0c47060b11a623335858471ddf113df1f5a5c2a5efcfc618ad2eeb4399500,9dba6fd7188c3254d12ac06bdfc92155e686a885f877f3ee3d8c694ae9784eac,63e435edecb2f2e2809ff146156acd4972aaae43844ff419500433a7ca118240,a5e9260f151d43af54e7db90971f497271ff049d96f44120c5303c2f286efadf,2aa514843d840ba6809bc2104769d024c97682ca19262d53af08eb2d89a24174,6262d7a700e5b919c7f197e2f7ac90a5a381e832abf7158ec968ef7d9ed2be72,c10e88c3aa18ca2968cb5541b5b3eaeda386fd8df314d2da40fb0b8dccdce960,a79130d40f4e383cb1611c02a543a770c6046f51c6e1fa3a23513b82c16d13e8
"71","1","-401","-90","170","1","1","182"
"81","2","-401","-90","170","1","2","182"
"121","3","-255","90","255","1","3","182"
"131","4","-255","90","255","1","4","182"
"141","5","-255","90","255","1","5","182"
"191","6","-107","-80","229","1","6","176"
"201","7","-107","-80","229","1","7","176"
"271","8","136","-85","218","1","8","151"
"281","9","136","-85","218","1","9","151"
"291","10","136","-85","218","1","10","151"
"331","11","280","80","156","1","11","219"
"341","12","280","80","156","1","12","219"
"351","13","280","80","156","1","13","219"
"401","14","417","-97","213","1","14","183"
"411","15","417","-97","213","1","15","183"
"451","2","-259","-73","242","2","1","229"
"481","4","-222","124","226","2","2","179"
"501","6","-101","-67","219","2","3","192"
"521","8","-26","-27","168","2","4","190"
"551","11","117","-50","192","2","5","260"
"601","14","241","120","159","2","6","138"
"611","14","241","120","159","2","7","138"
"621","14","243","-71","224","2","8","229"
"781","1","-353","32","71","3","1","43"
"801","2","-228","-30","235","3","2","268"
"831","3","-243","144","80","3","3","45"
"851","4","20","-76","221","3","4","225"
"861","5","230","-74","211","3","5","222"
"891","6","-100","44","115","3","6","136"
"901","7","-100","44","115","3","7","136"
"991","8","116","76","306","3","8","250"
"1001","9","116","76","306","3","9","250"
"1011","10","116","76","306","3","10","250"
"1041","11","322","40","96","3","11","188"
"1051","12","322","40","96","3","12","188"
"1091","1","-211","-6","294","4","1","272"
"1101","2","-288","129","92","4","2","115"
"1111","3","-288","129","92","4","3","115"
"1121","4","-58","128","135","4","4","174"
"1151","5","143","133","222","4","5","184"
"1161","6","-277","-129","134","4","6","98"
"1171","7","-277","-129","134","4","7","98"
"1211","8","-60","-12","67","4","8","70"
"1221","9","-60","-12","67","4","9","70"
"1231","10","116","-55","132","4","10","185"
"1261","11","-17","-103","93","4","11","89"
"1271","12","-17","-103","93","4","12","89"
"1311","13","232","23","150","4","13","239"
"1391","1","-289","-161","114","5","1","72"
"1401","2","-289","-161","114","5","2","72"
"1411","3","-261","80","228","5","3","248"
"1431","4","-103","-91","223","5","4","211"
"1471","5","-87","95","186","5","5","181"
"1551","6","69","-122","132","5","6","176"
"1561","7","69","-122","132","5","7","176"
"1611","8","54","91","143","5","8","184"
"1641","9","204","45","211","5","9","247"
"1651","10","308","141","137","5","10","167"
"1661","11","282","-46","175","5","11","174"
"1741","1","-252","-11","222","6","1","240"
"1761","2","-19","-96","311","6","2","245"
"1771","3","-46","95","261","6","3","221"
"1781","4","152","83","166","6","4","237"
"1782","5","227","-100","183","6","5","229"
"1811","1","-249","-46","223","7","1","183"
"1881","2","-159","54","337","7","2","247"
"1921","3","30","-70","202","7","3","191"
"1941","4","173","0","176","7","4","215"
"1981","5","292","77","204","7","5","236"
"2001","1","-472","89","209","8","1","254"
"2031","2","-375","-77","250","8","2","282"
"2051","3","-280","110","241","8","3","223"
"2101","4","-148","-85","243","8","4","270"
"2131","5","3","74","274","8","5","264"
"2171","6","155","-36","321","8","6","302"
"2201","7","283","82","199","8","7","277"
"2271","8","374","0","349","8","8","344"
"2321","1","-275","-30","240","9","1","301"
"2361","2","-132","-115","106","9","2","108"
"2371","3","-132","-115","106","9","3","108"
"2381","4","-73","32","202","9","4","246"
"2411","5","-43","-140","114","9","5","84"
"2421","6","-43","-140","114","9","6","84"
"2461","8","50","65","86","9","7","84"
"2471","9","50","65","86","9","8","84"
"2481","10","80","-110","185","9","9","137"
"2491","11","80","-110","185","9","10","137"
"2521","7","131","24","301","9","11","377"
"2531","12","280","-50","190","9","12","305"
"2601","3","-527","-137","123","10","1","145"
"2611","4","-527","-137","123","10","2","145"
"2621","1","-379","35","408","10","3","295"
"2622","2","-299","103","171","10","4","192"
"2623","6","-138","-64","342","10","5","244"
"2701","5","-47","9","224","10","6","254"
"2781","8","131","-88","253","10","7","204"
"2791","9","89","23","110","10","8","139"
"2801","10","89","23","110","10","9","139"
"2811","7","275","42","292","10","10","249"
"2821","11","274","-120","126","10","11","151"
"2831","12","274","-120","126","10","12","151"
"2841","13","448","-17","276","10","13","316"
"2901","1","-292","-87","158","11","1","203"
"3011","2","-224","123","256","11","2","187"
"3031","3","-65","-80","144","11","3","225"
"3111","4","80","-84","149","11","4","214"
"3131","5","227","112","201","11","5","194"
"3141","6","159","-111","161","11","6","111"
"3151","7","159","-111","161","11","7","111"
"3171","8","307","-80","166","11","8","209"
"3211","3","-185","-106","364","12","1","206"
"3221","1","-304","34","160","12","2","277"
"3231","2","-107","45","249","12","3","275"
"3321","5","31","-46","167","12","4","233"
"3381","7","135","-122","174","12","5","130"
"3391","8","135","-122","174","12","6","130"
"3431","4","127","101","244","12","7","223"
"3441","6","254","-24","235","12","8","246"
"3461","9","303","-114","167","12","9","156"
"3471","10","303","-114","167","12","10","156"
"3491","11","338","152","108","12","11","94"
"3501","12","338","152","108","12","12","94"
"3531","3","-286","-48","210","13","1","270"
"3541","2","-310","144","92","13","2","103"
"3551","3","-152","-90","228","13","3","219"
"3561","4","-148","99","94","13","4","103"
"3571","5","-12","-157","110","13","5","71"
"3581","1","-5","-2","209","13","6","274"
"3691","6","141","-72","219","13","7","292"
"3701","7","146","143","88","13","8","104"
"3741","8","299","131","160","13","9","135"
"3751","9","299","131","160","13","10","135"
"3791","10","301","-82","179","13","11","268"
"3801","2","-470","6","197","14","1","286"
"3811","3","-520","-123","134","14","2","89"
"3821","1","-369","103","204","14","3","236"
"3861","5","-283","-74","176","14","4","241"
"3891","6","-151","-83","156","14","5","236"
"3911","4","-174","108","219","14","6","226"
"3921","10","-51","-130","107","14","7","96"
"3931","9","-5","50","179","14","8","251"
"3941","11","100","-106","113","14","9","102"
"3951","12","268","-41","242","14","10","317"
"3961","7","138","79","209","14","11","240"
"3971","8","138","79","209","14","12","240"
"4021","14","441","-125","125","14","13","93"
"4031","13","485","22","219","14","14","279"
