02b1182b812199aeeca7d7c327686427486a09ca62d45c811c1894e8790b612d,9fe573a36bbd3c947fde4fbb85457f672837d0eb5a6e0eceec015ef331df8ae4,6b17da1aa651cf0716826ba5766c14db523eeca5b3bc9709c46a051de877816b,a8e515e7eb5fe07f56341a4a8d75a75b317f3aee3358495f7741aefcd7b4c9b3,2377d6a091099d3f1a5d7c1231288b330df8a619e0e1eb9eba9d26bcb282cd4e
"10001001","22","53001","10001","1"
"10001002","22","53004","10001","1"
"10001003","22","53007","10001","1"
"10001004","22","53010","10001","1"
"10001005","22","53013","10001","1"
"10001006","22","53016","10001","1"
"10001007","22","53019","10001","1"
"10001008","22","53022","10001","1"
"10001009","22","53002","10001","1"
"10001010","22","53005","10001","1"
"10001011","22","53008","10001","1"
"10001012","22","53011","10001","1"
"10001013","22","53014","10001","1"
"10001014","22","53017","10001","1"
"10001015","22","53020","10001","1"
"10001016","22","53023","10001","1"
"10002001","22","53001","10002","1"
"10002002","22","53002","10002","1"
"10002003","22","53005","10002","1"
"10002004","22","53008","10002","1"
"10002005","22","53011","10002","1"
"10002006","22","53014","10002","1"
"10002007","22","53017","10002","1"
"10002008","22","53020","10002","1"
"10002009","22","53023","10002","1"
"10002010","22","53003","10002","1"
"10002011","22","53006","10002","1"
"10002012","22","53009","10002","1"
"10002013","22","53012","10002","1"
"10002014","22","53015","10002","1"
"10002015","22","53018","10002","1"
"10002016","22","53021","10002","1"
"10002017","22","53024","10002","1"
"10003001","22","53002","10003","1"
"10003002","22","53002","10003","2"
"10003003","22","53003","10003","1"
"10003004","22","53003","10003","2"
"10003005","22","53003","10003","3"
"10003006","22","53006","10003","1"
"10003007","22","53009","10003","1"
"10003008","22","53012","10003","1"
"10003009","22","53015","10003","1"
"10003010","22","53018","10003","1"
"10003011","22","53021","10003","1"
"10003012","22","53024","10003","1"
"10003013","22","53006","10003","2"
"10003014","22","53009","10003","2"
"10003015","22","53012","10003","2"
"10003016","22","53015","10003","2"
"10003017","22","53018","10003","2"
"10003018","22","53021","10003","2"
"10003019","22","53024","10003","2"
"10003020","22","53006","10003","3"
"10003021","22","53009","10003","3"
"10003022","22","53012","10003","3"
"10003023","22","53015","10003","3"
"10003024","22","53018","10003","3"
"10003025","22","53021","10003","3"
"10003026","22","53024","10003","3"
