cee630c800fd22702b70ff37ab2e5ba47e35e1cf86a0b3eb2280f4b9e1389a62,7a8c60b17d01d1f99e63cf30dc0790f7b597cd80a34358481646e13e9e3e840f,7076e27194dd14e3a8177e3df13e929ae9933d77599ddf041bae2631b0434273,b59c92c60ffde1bd6cfb10ebd010ddadd0e5ecfa18d1f533c5122bb47fa0907d,3a895f727177682b13eeb1bf0d42c20a37d8842995d2967a6e75ddd705d88786,237950ff015889c76c6fa090f821d328ede634fdc935683e99aec4c9a7fa7169,cdd5bce93040060e4fdbf31bb0a5a438211a7daa7e119931039871e2c8f7eb30,df6e59a873682f9ae549040a2b1df584b41f40e9e3f12de4c7f24fbd075519bb,c0b9d808b6c16e00b255b68529be882f21c399c89471fca0f3c4e45b822374a5,7a3f282dffaefb863c32e97baf47e43765efae6c33b3c93b6f50e8d2c7c394cb,698327137b9dd65b477a756768daa2f46122c2194db5b32c0336f8ae958209ad
"10","91002","25021","25014","8","1","2","8","2","284001001","31"
"10","91002","25021","25014","8","2","2","8","2","284001002","31"
"10","91002","25021","25014","8","3","2","8","2","284001003","32"
"10","91002","25021","25014","8","4","2","8","2","284001004","32"
"10","91002","25021","25014","8","5","2","8","2","284001005","33"
"10","91002","25021","25014","9","6","2","8","2","284001006","33"
"10","91002","25021","25014","9","7","2","8","2","284001007","34"
"10","91002","25021","25014","9","8","2","8","2","284001008","35"
"10","91002","25021","25014","9","9","2","8","2","284001009","35"
"30","91002","25021","25014","10","10","2","8","2","284001010","37"
"10","91002","25021","25014","10","11","2","8","2","284001011","41"
"10","91002","25021","25014","11","12","2","8","2","284001012","43"
"10","91002","25021","25014","11","13","2","8","2","284001013","46"
"10","91002","25021","25014","12","14","2","8","2","284001014","48"
"10","91002","25021","25014","12","15","2","8","2","284001015","50"
"10","91002","25021","25014","13","16","2","8","2","284001016","53"
"10","91002","25021","25014","14","17","2","8","2","284001017","55"
"10","91002","25021","25014","14","18","2","8","2","284001018","58"
"10","91002","25021","25014","15","19","2","8","2","284001019","60"
"30","91002","25021","25014","15","20","2","8","2","284001020","62"
"10","91002","25021","25014","16","21","2","8","2","284001021","68"
