8ca8737c1057e42a7f2222dab9e08e9b8889626ea55ca2334013c52ba2f7ee75,ac4f3e47420b283e54d586a39f8f45a4b12e81d40290e69e8b673b26e91c1b92,92ac43ea76a10b5829302196d659a84cc963e704235999cbc5736d452620a0d4,73307b146a69e08cfea4255f4376caf47e7d09dc0df08da1f436d372d04b3d40,c3b571b77f6b9d7349c3ce248bc29866022e15754bd22418ff162f3dbc6bebe5,1a8b6071f897d38f9e041b605e41e6fc8d60cd6d224cb102db70a373d31a2f7a,acd0d72c9608b2900a801b22d087c620e358f87a678547e858089662db3be41c,6d88492839947ad2127311c3c39b87bda79e20eb680e1bf460af21052c4e0848,987c141737d67b00f0f7db8fda19fee6253107400f5458892f119a1ac1f1a0a2,e59976ba1c87f6db2e58dc8decf15a4c73f00115f265da935368d8c9e36b4817,47d85f617051bad1ce3baa08683e472bef9d30ec2c7510784b6394bab8b58059,fc3a39ac49885118f4c554c8d5961af6ade2d920ff350ce9903c6617e8886db9,96dbf639ac917849df9b6b79c3fef5772b9445bdcb23b244a1e02efbbe28dbe8,854313ae11b41adf4a8f803ff1db71b8cc7b86748114756642cb28e065c080ed
"0","0","10","30","1.5","10050","100000","2","0","0","0","1.7","-30","1005001"
"-40","0","0","-17","1.5","10050","100000","1","10050101","0.03","1","1.7","25","1005001"
"-23","0","10","-32","1.5","10050","100000","3","0","0","0","1.7","-47","1005001"
"0","0","10","30","1.5","10050","100000","2","0","0","0","1.7","-30","1005002"
"-40","0","0","-17","1.5","10050","100000","1","10050201","0.03","1","1.7","25","1005002"
"-23","0","10","-32","1.5","10050","100000","3","0","0","0","1.7","-47","1005002"
"0","0","10","30","1.5","10050","100000","2","0","0","0","1.7","-30","1005003"
"-40","0","0","-17","1.5","10050","100000","1","10050301","0.03","1","1.7","25","1005003"
"-23","0","10","-32","1.5","10050","100000","3","0","0","0","1.7","-47","1005003"
"0","0","10","30","1.5","10050","100000","2","0","0","0","1.7","-30","1005004"
"-40","0","0","-17","1.5","10050","100000","1","10050401","0.03","1","1.7","25","1005004"
"-23","0","10","-32","1.5","10050","100000","3","0","0","0","1.7","-47","1005004"
"0","0","10","30","1.5","10050","100000","2","0","0","0","1.7","-30","1005005"
"-40","0","0","-17","1.5","10050","100000","1","0","0.03","1","1.7","25","1005005"
"-23","0","10","-32","1.5","10050","100000","3","0","0","0","1.7","-47","1005005"
"0","0","10","30","1.5","10077","100000","2","0","0","0","1.7","-30","1007701"
"-40","0","0","-17","1.5","10077","100000","1","10077101","0.03","1","1.7","25","1007701"
"-23","0","10","-32","1.5","10077","100000","3","0","0","0","1.7","-47","1007701"
"0","0","10","30","1.5","10077","100000","2","0","0","0","1.7","-30","1007702"
"-40","0","0","-17","1.5","10077","100000","1","10077201","0.03","1","1.7","25","1007702"
"-23","0","10","-32","1.5","10077","100000","3","0","0","0","1.7","-47","1007702"
"0","0","10","30","1.5","10077","100000","2","0","0","0","1.7","-30","1007703"
"-40","0","0","-17","1.5","10077","100000","1","10077301","0.03","1","1.7","25","1007703"
"-23","0","10","-32","1.5","10077","100000","3","0","0","0","1.7","-47","1007703"
"0","0","10","30","1.5","10077","100000","2","0","0","0","1.7","-30","1007704"
"-40","0","0","-17","1.5","10077","100000","1","10077401","0.03","1","1.7","25","1007704"
"-23","0","10","-32","1.5","10077","100000","3","0","0","0","1.7","-47","1007704"
"0","0","10","30","1.5","10077","100000","2","0","0","0","1.7","-30","1007705"
"-40","0","0","-17","1.5","10077","100000","1","0","0.03","1","1.7","25","1007705"
"-23","0","10","-32","1.5","10077","100000","3","0","0","0","1.7","-47","1007705"
"-50","0","10","-13","0.92","10088","100000","1","10088101","0.03","1","0.84","-25","1008801"
"-50","0","0","13","0.8","10088","100000","2","0","0","0","0.7","-25","1008801"
"-50","0","10","-13","0.92","10088","100000","1","10088201","0.03","1","0.84","-25","1008802"
"-50","0","0","13","0.8","10088","100000","2","0","0","0","0.7","-25","1008802"
"-50","0","10","-13","0.92","10088","100000","1","10088301","0.03","1","0.84","-25","1008803"
"-50","0","0","13","0.8","10088","100000","2","0","0","0","0.7","-25","1008803"
"-50","0","10","-17","0.92","10088","100000","1","10088401","0.03","1","0.7","-30","1008804"
"-50","0","0","30","0.8","10088","100000","2","0","0","0","0.6","-30","1008804"
"-50","0","10","-17","0.92","10088","100000","1","0","0.03","1","0.7","-30","1008805"
"-50","0","0","30","0.8","10088","100000","2","0","0","0","0.6","-30","1008805"
"0","0","10","30","1.5","20029","100000","2","0","0","0","1.7","-30","2002901"
"-40","0","0","-17","1.5","20029","100000","1","20029101","0.03","1","1.7","25","2002901"
"-23","0","10","-32","1.5","20029","100000","3","0","0","0","1.7","-47","2002901"
"0","0","10","30","1.5","20029","100000","2","0","0","0","1.7","-30","2002902"
"-40","0","0","-17","1.5","20029","100000","1","0","0.03","1","1.7","25","2002902"
"-23","0","10","-32","1.5","20029","100000","3","0","0","0","1.7","-47","2002902"
"0","0","10","30","1.5","20029","100000","2","0","0","0","1.7","-30","2002903"
"-40","0","0","-17","1.5","20029","100000","1","0","0.03","1","1.7","25","2002903"
"-23","0","10","-32","1.5","20029","100000","3","0","0","0","1.7","-47","2002903"
"0","0","10","30","1.5","20029","100000","2","0","0","0","1.7","-30","2002904"
"-40","0","0","-17","1.5","20029","100000","1","0","0.03","1","1.7","25","2002904"
"-23","0","10","-32","1.5","20029","100000","3","0","0","0","1.7","-47","2002904"
"0","0","10","30","1.5","20029","100000","2","0","0","0","1.7","-30","2002905"
"-40","0","0","-17","1.5","20029","100000","1","0","0.03","1","1.7","25","2002905"
"-23","0","10","-32","1.5","20029","100000","3","0","0","0","1.7","-47","2002905"
"-50","0","10","-13","0.92","10115","100000","1","10115101","0.03","1","0.84","-25","1011501"
"-50","0","0","13","0.8","10115","100000","2","0","0","0","0.7","-25","1011501"
"-50","0","10","-13","0.92","10115","100000","1","10115201","0.03","1","0.84","-25","1011502"
"-50","0","0","13","0.8","10115","100000","2","0","0","0","0.7","-25","1011502"
"-50","0","10","-13","0.92","10115","100000","1","10115301","0.03","1","0.84","-25","1011503"
"-50","0","0","13","0.8","10115","100000","2","0","0","0","0.7","-25","1011503"
"-50","0","10","-17","0.92","10115","100000","1","10115401","0.03","1","0.7","-30","1011504"
"-50","0","0","30","0.8","10115","100000","2","0","0","0","0.6","-30","1011504"
"-50","0","10","-17","0.92","10115","100000","1","0","0.03","1","0.7","-30","1011505"
"-50","0","0","30","0.8","10115","100000","2","0","0","0","0.6","-30","1011505"
"-50","0","10","-13","0.92","20048","100000","1","0","0.03","1","0.84","-25","2004801"
"-50","0","0","13","0.8","20048","100000","2","0","0","0","0.7","-25","2004801"
"-50","0","10","-13","0.92","20048","100000","1","0","0.03","1","0.84","-25","2004802"
"-50","0","0","13","0.8","20048","100000","2","0","0","0","0.7","-25","2004802"
"-50","0","10","-13","0.92","20048","100000","1","0","0.03","1","0.84","-25","2004803"
"-50","0","0","13","0.8","20048","100000","2","0","0","0","0.7","-25","2004803"
