a4026ffe2c6ff713a97aea1dc047e760065c764bda24e8458e2e3ab91a3a14c4,6b399931dbf86324a4840973ab9caee5f5bb284855c299dd80a20548d464674d,e07e0973967496233da9efd7f876db35bbf3e9f89b1b0b1944362bee684c8866,614d2354b798d7a5d157b510256eb61f4dde660c686c7125782c9c7aecf9d399,370f86053e5746907acab9076e4177f45647915a204a468072dca7ec9076ff49,fd0dcb91586a8fb72d3e4964b0be5a2d4d8ba4fc931b2f3977c13296976896d2,8e685be9886d352c44908442d018e1b477a4b7dacef4bf064c0c9879c036dc6b,88d4e5a118e12e7ea52c4783459faa72c5a5334b58d9ad1d45cf61c33065659f,c36c858a890d714a636076f9fee4dcb017708fe367af5cb43b8c0ab907f0e489,4cf78936c92b2fb904f89591cc79928b82c97d6a403530aff9943a56d249fbda,2da246a55594ec7eaf05b30f5ccc6a36c955c83753ae0568fd602e9c9118e8f4
"psy_miyako_idle","-200","0","-220","1","119931","1","100","1","1.7","1001"
"psy_idle_normal","1000","1","-220","1","1","1","100","5","1.7","1002"
"psy_fairy_idle","-50","0","-220","1","2","1","105","5","1.7","1003"
"","0","","1","1","11","1","0","31","1","1004"
"","","","","1","psy_item00_run","1","1","3","0.2","1005"
"","2.5","","0","1","285","1","-220","2","","1006"
"","","","","2.5","","1","","93","","1007"
"","","","","1","psy_item00_idle","1","1","3","0.2","1008"
"","","","","0.5","","1","","93","","1009"
"","","","","119931","psy_miyako_talk1","1","1","3","0.2","1010"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0101","1","0","21","","1011"
"0.5","1","0","0","119931","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","1","6","11","0","1012"
"","","","","6","1","1","","93","","1013"
"","psy_miyako_doya_loop","0.2","1","119931","psy_miyako_doya_in","1","0","3","0.2","1014"
"","","","","1012","","1","","91","","1015"
"","","","","0","0","1","","22","","1016"
"","","","","2","psy_fairy_talk","1","1","3","0.2","1017"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_9901","1","0","21","","1018"
