5f2dcee662196aa65b12c89a5a9cf7ee9b57b78991f87d04046eb1bc12d18c43,b945fb3babd7af8998e463b10f5b0c4989179b2a14485142fe44904bc03e004e,b536cc546294fb2632e6f242a7992e53d5947c64a5a3046203fd368101751b74
"1","114601","1"
"2","114701","2"
"3","115601","3"
"4","115801","5"
"5","116801","6"
"6","117401","7"
"7","117801","8"
"8","119201","9"
"9","120801","10"
"10","121201","12"
"11","122101","13"
"12","122401","14"
"13","122801","15"
"14","123501","16"
"15","124101","17"
"16","124701","20"
"17","124901","21"
"18","125701","22"
"19","126701","24"
"20","127001","25"
"21","128301","27"
"22","128801","28"
"23","105801","29"
"24","105901","30"
"25","106001","31"
"26","106401","32"
