25403db11eac9360c52fb4907a72d1f179ea3f2863cffaa66cd6c88134057bc5,5fdc5d6af5ab625ee787f8b4866ba7956c8a2b83b7b2a5696eeea3e67c03de61,09e6cac3f1d454bbea39b79b497fa8dfc1694354b624c16fc0f2c698519994e8,fe4177a4071e516db0e5dec6804515b12317d032e04693f1e1d9389983d85b4b,2ac2aba330646fa60988b80f4e8f34b6e2457f0635d5c3f453ed2feb19d37280
"100","8","91002","1","1"
"100","8","91002","2","2"
"100","8","91002","3","3"
"100","8","91002","4","4"
"100","8","91002","5","5"
"500","2","23003","6","6"
"100","4","140001","7","7"
"1","2","21953","8","8"
"500","2","23003","9","9"
"100","2","25001","10","10"
"100","2","90005","11","11"
"1","2","41000","12","12"
"500","2","23003","13","13"
"10000","2","25011","14","14"
"10000","2","25012","15","15"
"10000","2","25013","16","16"
"10000","2","25014","17","17"
"10000","2","25015","18","18"
"5000","2","25021","19","19"
"1","2","25101","20","20"
"100","2","23003","21","21"
"10000","2","25011","22","22"
"10000","2","25012","23","23"
"10000","2","25013","24","24"
"10000","2","25014","25","25"
"10000","2","25015","26","26"
"5000","2","25021","27","27"
"100","8","91002","28","28"
"150","2","23003","29","29"
"150","2","23003","30","30"
"150","2","23003","31","31"
"150","2","23003","32","32"
"150","2","23003","33","33"
"150","2","23003","34","34"
"50000","2","26202","35","35"
"50000","2","26202","36","36"
"1","2","26203","37","37"
"50000","2","26202","38","38"
"50000","2","26202","39","39"
"1","2","26203","40","40"
"50000","2","26202","41","41"
"50000","2","26202","42","42"
"1","2","26203","43","43"
"50000","2","26202","44","44"
"50000","2","26202","45","45"
"1","2","26203","46","46"
"50000","2","26202","47","47"
"50000","2","26202","48","48"
"1","2","26203","49","49"
"100000","2","26202","50","50"
"100000","2","26202","51","51"
"1","2","26203","52","52"
"100000","2","26202","53","53"
"100000","2","26202","54","54"
"1","2","26203","55","55"
"100000","2","26202","56","56"
"100000","2","26202","57","57"
"1","2","26203","58","58"
"100000","2","26202","59","59"
"100000","2","26202","60","60"
"1","2","26203","61","61"
"100000","2","26202","62","62"
"100000","2","26202","63","63"
"1","2","26203","64","64"
