4411b0e7d732b7e9fac1aa8dacaee4abbd96c370e8465b479e5897c740fa2b0c,0539ea766f73241abf47101d006910ae8f3342133e1f8c086e7077bddcc6bfb1,8ec92ddf7e173f3ff439b24c2dec135cfbf96c2c07d483fbd5e735733ca512d5,81164ce666aa0aa05604d139dbad11bf258bd3e6cc843264eaf5e7578549f8ae,87322706589399a78f44c2c46cfabfd9939712265aa4e5dfb1e7a2b3cfc21e1a,5c0e2e45f20236c595ee9206ea0628556d93012efb3d5c0241f68e084d4e9079,891cce19d56e58f26115680e41c8254a531e3662eab5036d583f383dcc28559f,c80228b25ea0598241e5117b2922ce55dab82b61377bcdf6c41c2c6fb1e244d8,763295f8047e0245b88dfdf0e719c230a7f5a3f44193dbd8ef3fda755fb5eb55,d034d1d7da0da34c9054df6a83351fffbdeca0bc6e861a1351df495edd8720ed,15b792f07c4f70bf6b4b08262d2d9e8f66e66420de5e20ee0a32ef4e9016d956,9337596d4a7cbf442de36ccd3b98fe6a57c0e8b28987c9dbb3683610d5a72fa5,b0c102f03ddd64203039f4f14eea9fbacfeec6f97e7fb5a27c007f11517e95cb,d0d435ee299fe397ec5db485e62a2f3e67c3f82c79e74e4e8f28f8d5b88ae2e0
"1001","1","1","6","30","1","1","1","7","30","1","-1","1","4"
"1002","1","1","6","60","1","1","1","11","60","1","-1","1","31"
"1003","1","1","6","90","1","1","1","15","90","1","-1","1","61"
"1004","1","1","6","120","1","1","1","19","120","1","-1","1","91"
"1005","1","1","6","150","1","1","1","23","150","1","-1","1","121"
"1006","1","1","6","180","1","1","1","27","180","1","-1","1","151"
"1007","1","1","6","210","1","1","1","29","210","1","-1","1","181"
"1008","1","1","6","240","1","1","1","31","240","1","-1","1","211"
"1009","1","1","6","270","1","1","1","31","270","1","-1","1","241"
"1010","1","1","6","300","1","1","1","31","300","1","-1","1","271"
"1011","1","1","6","310","1","1","1","31","-1","1","-1","1","301"
"1101","1","2","5","30","1","1","1","7","30","1","-1","1","4"
"1102","1","2","5","60","1","1","1","11","60","1","-1","1","31"
"1103","1","2","5","90","1","1","1","15","90","1","-1","1","61"
"1104","1","2","5","120","1","1","1","19","120","1","-1","1","91"
"1105","1","2","5","150","1","1","1","23","150","1","-1","1","121"
"1106","1","2","5","180","1","1","1","27","180","1","-1","1","151"
"1107","1","2","5","210","1","1","1","29","210","1","-1","1","181"
"1108","1","2","5","240","1","1","1","31","240","1","-1","1","211"
"1109","1","2","5","270","1","1","1","31","270","1","-1","1","241"
"1110","1","2","5","300","1","1","1","31","300","1","-1","1","271"
"1111","1","2","5","310","1","1","1","31","-1","1","-1","1","301"
"1201","1","3","5","-1","1","1","1","7","30","1","-1","1","4"
"1202","1","3","5","-1","1","1","1","11","60","1","-1","1","31"
"1203","1","3","5","-1","1","1","1","15","90","1","-1","1","61"
"1204","1","3","5","-1","1","1","1","19","120","1","-1","1","91"
"1205","1","3","5","-1","1","1","1","23","150","1","-1","1","121"
"1206","1","3","5","-1","1","1","1","27","180","1","-1","1","151"
"1207","1","3","5","-1","1","1","1","29","210","1","-1","1","181"
"1208","1","3","5","-1","1","1","1","31","240","1","-1","1","211"
"1209","1","3","5","-1","1","1","1","31","270","1","-1","1","241"
"1210","1","3","5","-1","1","1","1","31","300","1","-1","1","271"
"1211","1","3","5","-1","1","1","1","31","-1","1","-1","1","301"
"1301","1","4","5","30","1","1","1","7","30","1","-1","1","4"
"1302","1","4","5","60","1","1","1","10","60","1","-1","1","31"
"1303","1","4","5","90","1","1","1","13","90","1","-1","1","61"
"1304","1","4","5","120","1","1","1","16","120","1","-1","1","91"
"1305","1","4","5","150","1","1","1","19","150","1","-1","1","121"
"1306","1","4","5","180","1","1","1","22","180","1","-1","1","151"
"1307","1","4","5","210","1","1","1","25","210","1","-1","1","181"
"1308","1","4","5","240","1","1","1","28","240","1","-1","1","211"
"1309","1","4","5","270","1","1","1","28","270","1","-1","1","241"
"1310","1","4","5","300","1","1","1","28","300","1","-1","1","271"
"1311","1","4","5","310","1","1","1","28","-1","1","-1","1","301"
"1401","1","5","5","-1","1","1","1","7","30","1","-1","1","4"
"1402","1","5","5","-1","1","1","1","10","60","1","-1","1","31"
"1403","1","5","5","-1","1","1","1","13","90","1","-1","1","61"
"1404","1","5","5","-1","1","1","1","16","120","1","-1","1","91"
"1405","1","5","5","-1","1","1","1","19","150","1","-1","1","121"
"1406","1","5","5","-1","1","1","1","22","180","1","-1","1","151"
"1407","1","5","5","-1","1","1","1","25","210","1","-1","1","181"
"1408","1","5","5","-1","1","1","1","28","240","1","-1","1","211"
"1409","1","5","5","-1","1","1","1","28","270","1","-1","1","241"
"1410","1","5","5","-1","1","1","1","28","300","1","-1","1","271"
"1411","1","5","5","-1","1","1","1","28","-1","1","-1","1","301"
"1501","1","6","3","-1","1","1","1","7","30","1","-1","1","4"
