17894b50508912d35c7b468d7d3e8a9f24c5a07253a34b862d09415be72ffc12,4afe3bd148b917fc34438c9d98419a954f6c99f259e40180670f5a46d34f6a08,6e624157ae9631200463a773528a1a7cff1deae19e5dfab8ac1d36bd8ae10c2b,ac892592f6a0636f6a36cf0d2c2b526d2d605a11a93459ce328779f248eb9ad7,e3199720cb51bbb56d4c1af29ce4d5df680212118ea6ce72b2bdf42ed7284875,c0236f9570670de6cbf4a3015a3b5b93fa90e7ae690bc378f9a62dfcb9586ff9
"802100290","1","212","2114001","211","1005"
"802100290","1","212","2114002","211","1006"
"802100290","1","212","2114003","211","1007"
"802100290","1","212","2114004","211","1008"
"802100266","0","100","2113061","104","100501"
"802100266","0","100","2113062","104","100502"
"802100266","0","102","2113063","105","100503"
"802100266","0","103","2113064","106","100504"
"802100266","0","100","2113065","104","100505"
"802100266","0","100","2113066","104","100506"
"802100266","0","102","2113067","105","100507"
"802100266","0","103","2113068","106","100508"
"802100266","0","100","2113069","104","100509"
"802100266","0","100","2113070","104","100510"
"802100267","0","100","2113071","104","100511"
"802100267","0","100","2113072","104","100512"
"802100267","0","102","2113073","105","100513"
"802100267","0","103","2113074","106","100514"
"802100267","0","100","2113075","104","100515"
"802100267","0","100","2113076","104","100516"
"802100267","0","102","2113077","105","100517"
"802100267","0","103","2113078","106","100518"
"802100267","0","100","2113079","104","100519"
"802100267","0","100","2113080","104","100520"
"802100268","0","100","2113081","104","100521"
"802100268","0","100","2113082","104","100522"
"802100268","0","102","2113083","105","100523"
"802100268","0","103","2113084","106","100524"
"802100268","0","100","2113085","104","100525"
"802100268","1","112","2113086","208","100526"
"802100268","1","110","2113087","201","100527"
"802100268","0","100","2113088","104","100528"
"802100268","0","102","2113089","105","100529"
"802100268","0","103","2113090","106","100530"
"802100263","1","114","2113031","203","100601"
"802100263","1","113","2113032","202","100602"
"802100263","0","102","2113033","105","100603"
"802100263","0","103","2113034","106","100604"
"802100263","1","114","2113035","203","100605"
"802100263","1","113","2113036","202","100606"
"802100263","1","111","2113037","204","100607"
"802100263","1","113","2113038","202","100608"
"802100263","1","113","2113039","202","100609"
"802100263","0","103","2113040","106","100610"
"802100264","1","114","2113041","203","100611"
"802100264","1","113","2113042","202","100612"
"802100264","0","102","2113043","105","100613"
"802100264","0","103","2113044","106","100614"
"802100264","1","114","2113045","203","100615"
"802100264","1","113","2113046","202","100616"
"802100264","1","111","2113047","204","100617"
"802100264","1","113","2113048","202","100618"
"802100264","1","113","2113049","202","100619"
"802100264","0","103","2113050","106","100620"
"802100265","0","102","2113051","105","100621"
"802100265","1","114","2113052","203","100622"
"802100265","1","113","2113053","202","100623"
"802100265","1","111","2113054","204","100624"
"802100265","0","103","2113055","106","100625"
"802100265","1","112","2113056","208","100626"
"802100265","1","110","2113057","201","100627"
"802100265","1","114","2113058","203","100628"
"802100265","1","113","2113059","202","100629"
"802100265","0","103","2113060","106","100630"
"802100269","1","112","2113091","205","100701"
"802100269","1","112","2113092","206","100702"
"802100269","0","117","2113093","102","100703"
"802100269","0","102","2113094","105","100704"
"802100269","0","102","2113095","105","100705"
"802100269","1","113","2113096","202","100706"
"802100269","1","114","2113097","203","100707"
"802100269","0","117","2113098","102","100708"
"802100269","0","102","2113099","105","100709"
"802100269","1","113","2113100","202","100710"
"802100270","1","112","2115001","205","100711"
"802100270","0","117","2115002","102","100712"
"802100270","0","102","2115003","105","100713"
"802100270","0","103","2115004","106","100714"
"802100270","1","114","2115005","203","100715"
"802100270","1","113","2115006","202","100716"
"802100270","1","112","2115007","207","100717"
"802100270","0","102","2115008","105","100718"
"802100270","0","103","2115009","106","100719"
"802100270","1","113","2115010","202","100720"
"802100271","1","112","2115011","205","100721"
"802100271","1","112","2115012","208","100722"
"802100271","0","117","2115013","102","100723"
"802100271","0","102","2115014","105","100724"
"802100271","0","103","2115015","106","100725"
"802100271","1","112","2115016","208","100726"
"802100271","1","110","2115017","201","100727"
"802100271","0","117","2115018","102","100728"
"802100271","0","102","2115019","105","100729"
"802100271","0","103","2115020","106","100730"
"802100260","0","104","2113001","103","100801"
"802100260","0","100","2113002","104","100802"
"802100260","0","100","2113003","104","100803"
"802100260","0","102","2113004","105","100804"
"802100260","0","102","2113005","105","100805"
"802100260","0","100","2113006","104","100806"
"802100260","0","100","2113007","104","100807"
"802100260","0","102","2113008","105","100808"
"802100260","0","102","2113009","105","100809"
"802100260","0","101","2113010","107","100810"
"802100261","0","104","2113011","103","100811"
"802100261","0","100","2113012","104","100812"
"802100261","0","100","2113013","104","100813"
"802100261","0","102","2113014","105","100814"
"802100261","0","103","2113015","106","100815"
"802100261","0","100","2113016","104","100816"
"802100261","0","100","2113017","104","100817"
"802100261","0","102","2113018","105","100818"
"802100261","0","103","2113019","106","100819"
"802100261","0","100","2113020","104","100820"
"802100262","0","104","2113021","103","100821"
"802100262","0","100","2113022","104","100822"
"802100262","0","100","2113023","104","100823"
"802100262","0","102","2113024","105","100824"
"802100262","0","102","2113025","105","100825"
"802100262","1","112","2113026","208","100826"
"802100262","1","110","2113027","201","100827"
"802100262","0","102","2113028","105","100828"
"802100262","0","103","2113029","106","100829"
"802100262","0","104","2113030","103","100830"
