0b664046216ee375cd32b96ae599a32c5cc1ede3cf22f90628d05c740b28f3dc,00fccdf3260e5ec4646053159e7637a25d46d8b7bba9fff48e503a6b1bcdccd3,08bef2d73a201f235d574f30bf8be0258da9cbc34a4f4a67da6cd31c803cea0e,04f94bf919f31a83855409c0566d5b9dc00e34a16919f8cac32de72c327f1d95,b593639bb46c5627b1087506fb3f37df174b79fd6d4cf20eff8e974db165c915
"1","0","1","2700","1"
"2","0","1","3600","2"
"3","0","1","5400","3"
"4","1","1","3600","1"
"5","1","1","5400","2"
"6","1","1","7200","3"
"7","0","2","1800","1"
"8","0","2","2700","2"
"9","0","2","3600","3"
"10","1","2","2700","1"
"11","1","2","4050","2"
"12","1","2","5400","3"
"13","0","3","1800","1"
"14","0","3","2700","2"
"15","0","3","3600","3"
"16","1","3","2700","1"
"17","1","3","4050","2"
"18","1","3","5400","3"
"19","0","4","1800","1"
"20","0","4","2700","2"
"21","0","4","3600","3"
"22","1","4","2700","1"
"23","1","4","4050","2"
"24","1","4","5400","3"
