b24701a911b413db7c73562961dddb822dee99a0e1689ffdbb866fa6449462e9,e34f2816f5cb345f2233da02c7c6c16260865751b1be880ac1f61a877138bab2,aad12beec1d2cdb02bebdbdecbb09c02a15ed7b8dd8cfdd851cbd5d4fd15844a,06b0f76ab05c511ed3b050f67d00ae212cbdeb57e828d3d88e72a22d7dfec6e5,7f20f841aa1c3f45b8965a7b5f20eac398d6efba8f5e76fd27b0c169d2649ecc,5afb47dafab6ee4ecd109aa0ae0d178ac98c66dcb2a35a6f40d3275f45263044
"3000","1","0","2999180","0","100111"
"10000","1","0","2999101","0","100112"
"10000","1","0","2999167","0","100121"
"10000","1","0","2999168","0","100122"
"10000","1","0","2999169","0","100123"
"10000","1","0","2999170","0","100124"
"10000","1","0","2999171","0","100125"
"5000","1","0","2999172","0","100131"
"5000","1","0","2999173","0","100132"
"5000","1","0","2999174","0","100133"
"5000","1","0","2999175","0","100134"
"5000","1","0","2999176","0","100135"
"10000","1","0","2999182","0","100211"
"100000","1","0","2999102","0","100221"
"40000","1","0","2999103","0","100231"
"100000","1","0","2999102","0","100232"
"10000","1","0","2999184","0","100311"
"200000","1","0","2999183","0","100321"
"1000000","1","0","2999185","0","100331"
"50000","1","0","2999186","0","100332"
"50000","1","0","2999187","0","100333"
"50000","1","0","2999188","0","100334"
"50000","1","0","2999189","0","100335"
"3000","1","0","2999104","0","100411"
"110","1","0","2999177","0","100412"
"5000","1","0","2999105","0","100421"
"130","1","0","2999178","0","100422"
"7000","1","0","2999106","0","100431"
"160","1","0","2999179","0","100432"
"3300","1","0","2999190","0","100511"
"20000","1","0","2999107","0","100521"
"20000","1","0","2999108","0","100522"
"20000","1","0","2999109","0","100523"
"20000","1","0","2999110","0","100524"
"20000","1","0","2999111","0","100525"
"20000","1","0","2999112","0","100531"
"20000","1","0","2999113","0","100532"
"20000","1","0","2999114","0","100533"
"20000","1","0","2999115","0","100534"
"20000","1","0","2999116","0","100535"
"5","14","0","14","0","110011"
"10000","1","0","2999117","0","110021"
"10000","1","0","2999120","0","110031"
"2","14","0","16","0","110041"
"1000","1","0","2999101","0","110051"
"2000","14","0","105","0","120011"
"5000","1","0","2999121","0","120021"
"5000","1","0","2999124","0","120031"
"1000","1","0","2999127","0","120041"
"1000","1","0","2999128","0","120051"
"1000","1","0","2999129","0","130011"
"1000","14","0","100","0","130021"
"1000","14","0","101","0","130022"
"3000","14","0","107","0","130031"
"1000","14","0","6","0","130041"
"1000","14","0","7","0","130042"
"10","14","0","9","0","130051"
"3000","14","0","108","0","140011"
"5000","1","0","2999132","0","140021"
"5000","1","0","2999133","0","140031"
"2000","14","0","2","0","140041"
"2000","14","0","4","0","140042"
"1000","14","0","3","0","140051"
"1000","14","0","5","0","140052"
"1000","14","0","110","0","150011"
"1000","14","0","1","0","150021"
"50000","1","0","2999134","0","150031"
"50000","1","0","2999135","0","150032"
"50000","1","0","2999136","0","150033"
"50000","1","0","2999137","0","150034"
"50000","1","0","2999138","0","150035"
"50000","1","0","2999149","0","150041"
"50000","1","0","2999150","0","150042"
"50000","1","0","2999151","0","150043"
"50000","1","0","2999152","0","150044"
"50000","1","0","2999153","0","150045"
"5000","1","0","2999164","0","150051"
"10","14","0","14","0","210011"
"20000","1","0","2999118","0","210021"
"20000","1","0","2999120","0","210031"
"4","14","0","16","0","210041"
"2000","1","0","2999101","0","210051"
"4000","14","0","105","0","220011"
"10000","1","0","2999122","0","220021"
"10000","1","0","2999125","0","220031"
"2000","1","0","2999127","0","220041"
"2000","1","0","2999128","0","220051"
"2000","1","0","2999129","0","230011"
"2000","14","0","100","0","230021"
"2000","14","0","101","0","230022"
"6000","14","0","107","0","230031"
"2000","14","0","6","0","230041"
"2000","14","0","7","0","230042"
"20","14","0","9","0","230051"
