a95fd8d888a52aa0fed208ccdacab1da8292814f5826d8ab049fd7a2bca77bfc,2289b3429cf27d57466768288649eaca543dd475e8421703e1f1b75611221454,7e3354dbc7375761b573b440ec96e580897ef98c6526bd6f2227cee6003f8fc0,1faaee02670937315aa9f50a73f025ce8c26225dcd8bcdac69334a65b30e9d35,59f50ef87fb75fbdeaf37a5340f7a5ec62d5df5f6777cc1afafbab2c70349b4a
"60002","61001001","2","5","10001001"
"60002","61001002","2","5","10001002"
"91002","71001001","8","30","10001003"
"22002","71001001","2","1","10001004"
"91002","71001002","8","30","10001005"
"22002","71001002","2","1","10001006"
"91002","71001003","8","30","10001007"
"22002","71001003","2","1","10001008"
"91002","71001004","8","30","10001009"
"22002","71001004","2","1","10001010"
"91002","71001005","8","30","10001011"
"22002","71001005","2","1","10001012"
"91002","71001006","8","30","10001013"
"22002","71001006","2","1","10001014"
"91002","71001007","8","30","10001015"
"22002","71001007","2","1","10001016"
"91002","71001008","8","30","10001017"
"22002","71001008","2","1","10001018"
"91002","71001009","8","30","10001019"
"22002","71001009","2","1","10001020"
"91002","71001010","8","30","10001021"
"22002","71001010","2","1","10001022"
"91002","71001011","8","30","10001023"
"22002","71001011","2","1","10001024"
"91002","71001012","8","30","10001025"
"22002","71001012","2","1","10001026"
"91002","71001013","8","30","10001027"
"22002","71001013","2","1","10001028"
"91002","71001014","8","30","10001029"
"22002","71001014","2","1","10001030"
"91002","71001015","8","30","10001031"
"22002","71001015","2","1","10001032"
"91002","71001016","8","60","10001033"
"22002","71001016","2","2","10001034"
"91002","71001017","8","60","10001035"
"22002","71001017","2","2","10001036"
"91002","71001018","8","60","10001037"
"22002","71001018","2","2","10001038"
"91002","71001019","8","60","10001039"
"22002","71001019","2","2","10001040"
"91002","71001020","8","60","10001041"
"22002","71001020","2","2","10001042"
"94002","71001021","12","50000","10001043"
"94002","71001022","12","100000","10001044"
"94002","71001023","12","150000","10001045"
"94002","71001024","12","200000","10001046"
"31038","71001025","2","2","10001047"
"31012","71001026","2","2","10001048"
"31038","71001027","2","3","10001049"
"31012","71001028","2","3","10001050"
"31038","71001029","2","5","10001051"
"31012","71001030","2","5","10001052"
"60012","61002001","2","5","10002001"
"60012","61002002","2","5","10002002"
"91002","71002001","8","30","10002003"
"22002","71002001","2","1","10002004"
"91002","71002002","8","30","10002005"
"22002","71002002","2","1","10002006"
"91002","71002003","8","30","10002007"
"22002","71002003","2","1","10002008"
"91002","71002004","8","30","10002009"
"22002","71002004","2","1","10002010"
"91002","71002005","8","30","10002011"
"22002","71002005","2","1","10002012"
"91002","71002006","8","30","10002013"
"22002","71002006","2","1","10002014"
"91002","71002007","8","30","10002015"
"22002","71002007","2","1","10002016"
"91002","71002008","8","30","10002017"
"22002","71002008","2","1","10002018"
"91002","71002009","8","30","10002019"
"22002","71002009","2","1","10002020"
"91002","71002010","8","30","10002021"
"22002","71002010","2","1","10002022"
"91002","71002011","8","30","10002023"
"22002","71002011","2","1","10002024"
"91002","71002012","8","30","10002025"
"22002","71002012","2","1","10002026"
"91002","71002013","8","30","10002027"
"22002","71002013","2","1","10002028"
"91002","71002014","8","30","10002029"
"22002","71002014","2","1","10002030"
"91002","71002015","8","30","10002031"
"22002","71002015","2","1","10002032"
"91002","71002016","8","60","10002033"
"22002","71002016","2","2","10002034"
"91002","71002017","8","60","10002035"
"22002","71002017","2","2","10002036"
"91002","71002018","8","60","10002037"
"22002","71002018","2","2","10002038"
"91002","71002019","8","60","10002039"
"22002","71002019","2","2","10002040"
"91002","71002020","8","60","10002041"
"22002","71002020","2","2","10002042"
"94002","71002021","12","50000","10002043"
"94002","71002022","12","100000","10002044"
"94002","71002023","12","150000","10002045"
"94002","71002024","12","200000","10002046"
"31004","71002025","2","2","10002047"
"31020","71002026","2","2","10002048"
"31004","71002027","2","3","10002049"
"31020","71002028","2","3","10002050"
"31004","71002029","2","5","10002051"
"31020","71002030","2","5","10002052"
"60022","61003001","2","5","10003001"
"60022","61003002","2","5","10003002"
"91002","71003001","8","30","10003003"
"22002","71003001","2","1","10003004"
"91002","71003002","8","30","10003005"
"22002","71003002","2","1","10003006"
"91002","71003003","8","30","10003007"
"22002","71003003","2","1","10003008"
"91002","71003004","8","30","10003009"
"22002","71003004","2","1","10003010"
"91002","71003005","8","30","10003011"
"22002","71003005","2","1","10003012"
"91002","71003006","8","30","10003013"
"22002","71003006","2","1","10003014"
"91002","71003007","8","30","10003015"
"22002","71003007","2","1","10003016"
"91002","71003008","8","30","10003017"
"22002","71003008","2","1","10003018"
"91002","71003009","8","30","10003019"
"22002","71003009","2","1","10003020"
"91002","71003010","8","30","10003021"
"22002","71003010","2","1","10003022"
"91002","71003011","8","30","10003023"
"22002","71003011","2","1","10003024"
"91002","71003012","8","30","10003025"
"22002","71003012","2","1","10003026"
"91002","71003013","8","30","10003027"
"22002","71003013","2","1","10003028"
"91002","71003014","8","30","10003029"
"22002","71003014","2","1","10003030"
"91002","71003015","8","30","10003031"
"22002","71003015","2","1","10003032"
"91002","71003016","8","60","10003033"
"22002","71003016","2","2","10003034"
"91002","71003017","8","60","10003035"
"22002","71003017","2","2","10003036"
"91002","71003018","8","60","10003037"
"22002","71003018","2","2","10003038"
"91002","71003019","8","60","10003039"
"22002","71003019","2","2","10003040"
"91002","71003020","8","60","10003041"
"22002","71003020","2","2","10003042"
"94002","71003021","12","50000","10003043"
"94002","71003022","12","100000","10003044"
"94002","71003023","12","150000","10003045"
"94002","71003024","12","200000","10003046"
"31017","71003025","2","2","10003047"
"31010","71003026","2","2","10003048"
"31017","71003027","2","3","10003049"
"31010","71003028","2","3","10003050"
"31017","71003029","2","5","10003051"
"31010","71003030","2","5","10003052"
"60032","61004001","2","5","10004001"
"60032","61004002","2","5","10004002"
"91002","71004001","8","30","10004003"
"22002","71004001","2","1","10004004"
"91002","71004002","8","30","10004005"
"22002","71004002","2","1","10004006"
"91002","71004003","8","30","10004007"
"22002","71004003","2","1","10004008"
"91002","71004004","8","30","10004009"
"22002","71004004","2","1","10004010"
"91002","71004005","8","30","10004011"
"22002","71004005","2","1","10004012"
"91002","71004006","8","30","10004013"
"22002","71004006","2","1","10004014"
"91002","71004007","8","30","10004015"
"22002","71004007","2","1","10004016"
"91002","71004008","8","30","10004017"
"22002","71004008","2","1","10004018"
"91002","71004009","8","30","10004019"
"22002","71004009","2","1","10004020"
"91002","71004010","8","30","10004021"
"22002","71004010","2","1","10004022"
"91002","71004011","8","30","10004023"
"22002","71004011","2","1","10004024"
"91002","71004012","8","30","10004025"
"22002","71004012","2","1","10004026"
"91002","71004013","8","30","10004027"
"22002","71004013","2","1","10004028"
"91002","71004014","8","30","10004029"
"22002","71004014","2","1","10004030"
"91002","71004015","8","30","10004031"
"22002","71004015","2","1","10004032"
"91002","71004016","8","60","10004033"
"22002","71004016","2","2","10004034"
"91002","71004017","8","60","10004035"
"22002","71004017","2","2","10004036"
"91002","71004018","8","60","10004037"
"22002","71004018","2","2","10004038"
"91002","71004019","8","60","10004039"
"22002","71004019","2","2","10004040"
"91002","71004020","8","60","10004041"
"22002","71004020","2","2","10004042"
"94002","71004021","12","50000","10004043"
"94002","71004022","12","100000","10004044"
"94002","71004023","12","150000","10004045"
"94002","71004024","12","200000","10004046"
"91002","71004025","8","50","10004047"
"31076","71004026","2","1","10004048"
