68b3848ae652d9138c46ab4413d1da87152d128a0d86b4ebf9be5f349f7adba5,9e8ebbcbbee568c37b3c798c95085ebfb12abfc6a0303e5e9e94edeeca01fff2,1db353fd343ccf94d33753a9a639fd7e517f6affea3e2caeaf1eb131b4a7abaa,85fc08f549eb5d0900eb34fe111c85a2b36eeb536bd2bacd4c28a2cf46c308c0,01e46fd66543ca6e4818ba2346993e08df2dd58967846532bf0e262de2a0a73f,2275198b3af2cb4e429d24ec68e6ebf8405f1914be6b6b8c4e626019d7943d70,29d1369fd2f58ed5a15d501478f66f813be32a827f58a0249f576276a9e1ab12,b12c6645707eac9b91db3e0965da86ecfa78c2075b903b1a2c5ae6ffd30e19e3,ee4d6ece85181bf598bee5b39f5987f99ae3875cb6377432d8c4ed9dac2ae06d
"1","10701","22","1","53002","15","20","15","7"
"2","10702","22","1","53002","14","22","14","7"
"3","10703","22","2","53002","13","24","13","7"
"4","10704","22","2","53002","12","26","12","7"
"5","10705","22","3","53002","11","28","11","7"
"6","10706","22","3","53002","10","30","10","7"
"7","10707","22","4","53002","9","32","9","7"
"8","10708","22","4","53002","8","34","8","7"
"9","10709","22","5","53002","0","36","7","7"
"1","10801","22","1","53002","15","20","15","8"
"2","10802","22","1","53002","14","22","14","8"
"3","10803","22","2","53002","13","24","13","8"
"4","10804","22","2","53002","12","26","12","8"
"5","10805","22","3","53002","11","28","11","8"
"6","10806","22","3","53002","10","30","10","8"
"7","10807","22","4","53002","9","32","9","8"
"8","10808","22","4","53002","8","34","8","8"
"9","10809","22","5","53002","0","36","7","8"
"1","10901","22","1","53002","15","20","15","9"
"2","10902","22","1","53002","14","22","14","9"
"3","10903","22","2","53002","13","24","13","9"
"4","10904","22","2","53002","12","26","12","9"
"5","10905","22","3","53002","11","28","11","9"
"6","10906","22","3","53002","10","30","10","9"
"7","10907","22","4","53002","9","32","9","9"
"8","10908","22","4","53002","8","34","8","9"
"9","10909","22","5","53002","0","36","7","9"
"1","11001","22","1","53002","15","20","15","10"
"2","11002","22","1","53002","14","22","14","10"
"3","11003","22","2","53002","13","24","13","10"
"4","11004","22","2","53002","12","26","12","10"
"5","11005","22","3","53002","11","28","11","10"
"6","11006","22","3","53002","10","30","10","10"
"7","11007","22","4","53002","9","32","9","10"
"8","11008","22","4","53002","8","34","8","10"
"9","11009","22","5","53002","0","36","7","10"
"1","11101","22","1","53002","15","20","15","11"
"2","11102","22","1","53002","14","22","14","11"
"3","11103","22","2","53002","13","24","13","11"
"4","11104","22","2","53002","12","26","12","11"
"5","11105","22","3","53002","11","28","11","11"
"6","11106","22","3","53002","10","30","10","11"
"7","11107","22","4","53002","9","32","9","11"
"8","11108","22","4","53002","8","34","8","11"
"9","11109","22","5","53002","0","36","7","11"
