93fa588446fd17a93900ddf0b56469454688fab65715eaf7a462d98b9111131d,1a72aa730095d7f30ad46f84c28d1ebd78dddc274e6286e1c210620d14294f37,a569f5c4d5192debe7028ebe563b7e37fdb5c6ead8fa4c18456f735723fa6e5f,f9d3414abeb296b9690be024e083bd7d63751e48b8c367ecbca18e93720049c4,aa5f491cef19ac369e2cee32d32e9fc0428b7e08e5d94513c6cdd223feadfd3d,67f23b52561a6cfb4f300c2621fff60e4b0ce5ff49f5dc50ae85ad74c73624af
"1","211","2146041","212","803100263","3001"
"1","211","2146042","212","803100263","3002"
"1","211","2146043","212","803100263","3003"
"1","211","2146044","212","803100263","3004"
"1","213","2147041","212","803100272","3006"
"1","213","2147042","212","803100272","3007"
"1","211","2187081","212","805103119","4001"
"1","211","2187082","212","805103119","4002"
"1","211","2187083","212","805103119","4003"
"1","211","2187084","212","805103119","4004"
"1","211","2187085","212","805103119","4005"
"1","202","2145039","313","803100253","30011"
"0","105","2145040","302","803100253","30012"
"1","204","2145069","311","803100256","30021"
"1","205","2145070","312","803100256","30022"
"1","212","2145099","310","803100259","30031"
"0","107","2145100","301","803100259","30032"
"0","110","2146039","307","803100262","30041"
"0","105","2146040","302","803100262","30042"
"1","203","2146081","314","803100267","30051"
"1","205","2147019","312","803100269","30061"
"0","106","2147020","303","803100269","30062"
"1","202","2147039","313","803100271","30071"
"1","212","2147040","310","803100271","30072"
"1","205","2186001","312","805103101","40011"
"0","106","2186002","303","805103101","40012"
"1","204","2186031","311","805103104","40021"
"1","205","2186032","312","805103104","40022"
"1","202","2186061","313","805103107","40031"
"0","105","2186062","302","805103107","40032"
"0","110","2186091","307","805103110","40041"
"0","105","2186092","302","805103110","40042"
"1","203","2187021","314","805103113","40051"
"0","106","2187022","303","805103113","40052"
"1","204","2187051","311","805103116","40061"
"1","212","2187052","310","805103116","40062"
"0","104","2145011","100","803100251","300101"
"0","104","2145012","100","803100251","300102"
"0","105","2145013","102","803100251","300103"
"0","104","2145014","100","803100251","300104"
"0","105","2145015","102","803100251","300105"
"0","106","2145016","103","803100251","300106"
"0","105","2145017","102","803100251","300107"
"0","106","2145018","103","803100251","300108"
"1","204","2145019","111","803100251","300109"
"0","104","2145020","100","803100251","300110"
"0","104","2145021","100","803100252","300111"
"0","105","2145022","102","803100252","300112"
"0","104","2145023","100","803100252","300113"
"0","105","2145024","102","803100252","300114"
"0","106","2145025","103","803100252","300115"
"0","105","2145026","102","803100252","300116"
"0","106","2145027","103","803100252","300117"
"1","204","2145028","111","803100252","300118"
"0","104","2145029","100","803100252","300119"
"0","104","2145030","100","803100252","300120"
"0","105","2145031","102","803100253","300121"
"0","104","2145032","100","803100253","300122"
"0","105","2145033","102","803100253","300123"
"1","208","2145034","112","803100253","300124"
"1","212","2145035","110","803100253","300125"
"0","104","2145036","100","803100253","300126"
"0","105","2145037","102","803100253","300127"
"0","106","2145038","103","803100253","300128"
"0","107","2145041","101","803100254","300201"
"0","107","2145042","101","803100254","300202"
"0","105","2145043","102","803100254","300203"
"0","106","2145044","103","803100254","300204"
"1","202","2145045","113","803100254","300205"
"1","203","2145046","114","803100254","300206"
"0","107","2145047","101","803100254","300207"
"1","202","2145048","113","803100254","300208"
"1","203","2145049","114","803100254","300209"
"0","107","2145050","101","803100254","300210"
"0","107","2145051","101","803100255","300211"
"0","105","2145052","102","803100255","300212"
"0","106","2145053","103","803100255","300213"
"1","202","2145054","113","803100255","300214"
"1","203","2145055","114","803100255","300215"
"0","107","2145056","101","803100255","300216"
"1","202","2145057","113","803100255","300217"
"1","203","2145058","114","803100255","300218"
"0","107","2145059","101","803100255","300219"
"0","107","2145060","101","803100255","300220"
"0","105","2145061","102","803100256","300221"
"0","106","2145062","103","803100256","300222"
"0","107","2145063","101","803100256","300223"
"1","208","2145064","112","803100256","300224"
"1","212","2145065","110","803100256","300225"
"0","105","2145066","102","803100256","300226"
"0","106","2145067","103","803100256","300227"
"0","107","2145068","101","803100256","300228"
"0","104","2145071","100","803100257","300301"
"0","107","2145072","101","803100257","300302"
"0","107","2145073","101","803100257","300303"
"1","202","2145074","113","803100257","300304"
"1","203","2145075","114","803100257","300305"
"0","104","2145076","100","803100257","300306"
"0","107","2145077","101","803100257","300307"
"1","204","2145078","111","803100257","300308"
"1","205","2145079","112","803100257","300309"
"0","104","2145080","100","803100257","300310"
"0","107","2145081","101","803100258","300311"
"0","107","2145082","101","803100258","300312"
"1","202","2145083","113","803100258","300313"
"1","203","2145084","114","803100258","300314"
"0","104","2145085","100","803100258","300315"
"0","107","2145086","101","803100258","300316"
"1","204","2145087","111","803100258","300317"
"1","205","2145088","112","803100258","300318"
"0","104","2145089","100","803100258","300319"
"0","107","2145090","101","803100258","300320"
"0","104","2145091","100","803100259","300321"
"0","107","2145092","101","803100259","300322"
"1","202","2145093","113","803100259","300323"
"1","208","2145094","112","803100259","300324"
"0","104","2145095","100","803100259","300325"
"0","107","2145096","101","803100259","300326"
"1","204","2145097","111","803100259","300327"
"1","205","2145098","112","803100259","300328"
"0","105","2146011","102","803100260","300401"
"0","105","2146012","102","803100260","300402"
"1","202","2146013","113","803100260","300403"
"1","203","2146014","114","803100260","300404"
"0","105","2146015","102","803100260","300405"
"1","202","2146016","113","803100260","300406"
"1","203","2146017","114","803100260","300407"
"0","105","2146018","102","803100260","300408"
"0","105","2146019","102","803100260","300409"
"0","105","2146020","102","803100260","300410"
"0","105","2146021","102","803100261","300411"
"1","202","2146022","113","803100261","300412"
"1","203","2146023","114","803100261","300413"
"0","105","2146024","102","803100261","300414"
"1","202","2146025","113","803100261","300415"
"1","203","2146026","114","803100261","300416"
"0","105","2146027","102","803100261","300417"
"0","105","2146028","102","803100261","300418"
"1","202","2146029","113","803100261","300419"
"1","202","2146030","113","803100261","300420"
"1","202","2146031","113","803100262","300421"
"1","203","2146032","114","803100262","300422"
"0","105","2146033","102","803100262","300423"
"1","208","2146034","112","803100262","300424"
"1","212","2146035","110","803100262","300425"
"1","202","2146036","113","803100262","300426"
"1","202","2146037","113","803100262","300427"
"0","105","2146038","102","803100262","300428"
"0","104","2146051","100","803100264","300501"
"0","104","2146052","100","803100264","300502"
"0","104","2146053","100","803100264","300503"
"0","104","2146054","100","803100264","300504"
"0","105","2146055","102","803100264","300505"
"0","106","2146056","103","803100264","300506"
"0","104","2146057","100","803100264","300507"
"0","104","2146058","100","803100264","300508"
"0","105","2146059","102","803100264","300509"
"0","106","2146060","103","803100264","300510"
"0","104","2146061","100","803100265","300511"
"0","104","2146062","100","803100265","300512"
"0","104","2146063","100","803100265","300513"
"0","104","2146064","100","803100265","300514"
