ac8290ceae3df1b58fa4c65183b1d1ebe55978aa8746470254cb0bb300cb5edf,e4367859b8e18ebf55f9d26efb9e16416ad2dcebb075045476ec00ef94de142a,d560abe4e57fc902a18872acf18d0b5fe04b471f97412ea8429ca8620043aa9b,f3e284fe1cf088749fde3f4a3436d9a548060b4454f23d4125fc28ebd99b6abd,882109cec1227369ef90649e47783442d4dd2cf630bdd5fce2e0700d496832b8,b17224d965dc0a3e80c78e67522e089f38f2b733c8907183642095e0632ef496,a4886ae72755d6d8867190b9ec84bb64e8e71ca765b0ad43b157afcc0545810a,34c7fc192e602ca244a7ce1b7c7ec95a1c01cd49612295bc90ae08408177bff6,a2e8c704ab4a5ff990d7c30245f95b74867208267c313f1ef33f4314f5c38eab,abbfa462dd8d08f8d7a6f2a0442d0253f85483fe1420cf4cef99fd615efb9a29,4fccfc599f1c7c0862b22b2dc71ed50a1ecac19859bcbbc54956eb01cf0796f4
"0","1.3","1001","1","bsm_idle_yamato","100","130011","0","0","1","1"
"1","0.2","1002","3","","0","bsm_drama_arm_crossed","0","bsm_drama_arm_crossed_loop","1","130011"
"","","1003","21","","0","vo_minigame_1014_top_1000","","0","1","vo_minigame_1014"
"0","0","1004","11","1","5","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","0","1","1","130011"
"","","1005","91","","","","","","1","0"
"","0.3","1006","3","","1","bsm_idle_yamato","","","1","130011"
"0","1.3","2001","1","bsm_idle_yamato","100","130011","0","0","2","1"
"","0.2","2002","3","","1","bsm_drama_thinking","","","2","130011"
"","","2003","21","","0","vo_minigame_1014_top_1001","","0","2","vo_minigame_1014"
"0","0","2004","11","1","6","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","0","1","2","130011"
"","","2005","91","","","","","","2","0"
"","0.3","2006","3","","1","bsm_idle_yamato","","","2","130011"
"0","1.3","3001","1","bsm_idle_yamato","100","130011","0","0","3","1"
"1","0.2","3002","3","","0","bsm_drama_doya","0","bsm_drama_doya_loop","3","130011"
"","","3003","21","","0","vo_minigame_1014_top_1002","","0","3","vo_minigame_1014"
"0","0","3004","11","1","7","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","0","1","3","130011"
"","","3005","91","","","","","","3","0"
"","0.3","3006","3","","1","bsm_idle_yamato","","","3","130011"
"0","1.3","4001","1","bsm_idle_wakana","100","130111","0","0","4","1"
"1","0.2","4002","3","","0","bsm_drama_guts","0","bsm_drama_guts_loop","4","130111"
"","","4003","21","","0","vo_minigame_1014_top_2000","","0","4","vo_minigame_1014"
"0","0","4004","11","1","8","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","0","1","4","130111"
"","","4005","91","","","","","","4","0"
"","0.3","4006","3","","1","bsm_idle_wakana","","","4","130111"
"0","1.3","5001","1","bsm_idle_wakana","100","130111","0","0","5","1"
"","0.2","5002","3","","1","bsm_drama_wish","","","5","130111"
"","","5003","21","","0","vo_minigame_1014_top_2001","","0","5","vo_minigame_1014"
"0","0","5004","11","1","8","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","0","1","5","130111"
"","","5005","91","","","","","","5","0"
"","0.3","5006","3","","1","bsm_idle_wakana","","","5","130111"
"0","1.3","6001","1","bsm_idle_wakana","100","130111","0","0","6","1"
"","0.2","6002","3","","1","bsm_drama_pazzled","","","6","130111"
"","","6003","21","","0","vo_minigame_1014_top_2002","","0","6","vo_minigame_1014"
"0","0","6004","11","1","7","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","0","1","6","130111"
"","","6005","91","","","","","","6","0"
"","0.3","6006","3","","1","bsm_idle_wakana","","","6","130111"
"0","1.3","7001","1","bsm_idle_fubuki","100","130211","0","0","7","1"
"","0.2","7002","3","","1","bsm_drama_smile","","","7","130211"
"","","7003","21","","0","vo_minigame_1014_top_3000","","0","7","vo_minigame_1014"
"0","0","7004","11","1","5","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","0","1","7","130211"
"","","7005","91","","","","","","7","0"
"","0.2","7006","3","","1","bsm_idle_fubuki","","","7","130211"
"0","1.3","8001","1","bsm_idle_fubuki","100","130211","0","0","8","1"
"1","0.2","8002","3","","0","bsm_drama_doya","","bsm_drama_doya_loop","8","130211"
"","","8003","21","","0","vo_minigame_1014_top_3001","","0","8","vo_minigame_1014"
"0","0","8004","11","1","7","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","0","1","8","130211"
"","","8005","91","","","","","","8","0"
"","0.2","8006","3","","1","bsm_idle_fubuki","","","8","130211"
"0","1.3","9001","1","bsm_idle_fubuki","100","130211","0","0","9","1"
"1","0.2","9002","3","","0","bsm_drama_laugh","0","bsm_drama_laugh_loop","9","130211"
"","","9003","21","","0","vo_minigame_1014_top_3002","","0","9","vo_minigame_1014"
"0","0","9004","11","1","7","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","0","1","9","130211"
"","","9005","91","","","","","","9","0"
"","0.2","9006","3","","1","bsm_idle_fubuki","","","9","130211"
