d9eba0c71ede3123ca7d22bac77c298a928c9dc8c68a81c6f3e0a42246e85f6d,d6268b8c860d93a333e4eacfd793c5f2b94ed9321d7dc3e75a05c94bf317934c,ad84571b3593ec0fca65f8cdba4e668a36730cbcc0e11e192d32c02a22b279ae,db0eec9db27a38627ec3ec23b555e1d59bb33b7326848412d982147e8f6a074a,0124ebd5f4caeb6b2c84df10dbceae41a760249fb3f58082f719ccb4865e5954,81d47bde016abced92f2b808a5121033f93f15b85b625b7ccb65e1ff268c2564,acf5a0c67fe98cc069339dde9ab478ab5c275dd7dfd8c56a56bbb601fa1de4cf,f0b82001b54203f124c129a15887c09b1370b88a14351966ba5c0f762cb80584,e4b798376c6cea57cbd9545cbde13bf2155819d4f12aacd0707ba5de2878b1e1,7997157304fb18d5d7b90f2c837a8eea0a122287a847179341f7b9597c092fbb,92491e01bb235ee6e612ffc92e27ec0d8b71818f900747431de06b08712ab1d3
"61001","-278","-225","1","105811","1.8","5146061","idle_normal","1","100","0"
"61002","-278","-225","5","1058","1.8","5146061","idle_normal","6","101","0"
"61003","-288","-385","1","105911","1.8","5146061","kokkoro_idle_normal","1","103","0"
"61004","-288","-385","5","1059","1.8","5146061","kokkoro_idle_normal","3","104","0"
"61005","-278","290","1","106011","1.8","5146061","idle_normal","1","106","1"
"61006","-278","290","5","1060","1.8","5146061","idle_normal","4","107","1"
"61007","","","13","200","","5146061","","105811","",""
"61008","","","13","203","","5146061","","105911","",""
"61009","","","13","206","","5146061","","106011","",""
"61010","-174","0","5","7","0.85","5146061","idle","7","15","0"
"61011","8","290","5","201","1","5146061","empty","20","210","0"
"61012","-78","0","5","202","1","5146061","empty","20","211","0"
"61013","16","-315","5","203","1","5146061","empty","20","210","0"
"61014","153","0","5","21","1","5146061","empty","21","60","0"
"61015","1","0","31","1","1","5146061","","1","0",""
"61016","1","-57.7","31","2","0","5146061","","2","0",""
"61017","1","0","31","10","0","5146061","","10","0",""
"61018","1","0","31","11","0","5146061","","11","0",""
"61019","","","91","0","","5146061","","0","",""
"61020","","","102","0","","5146061","","0","0",""
"61021","","","93","0","","5146061","","1","",""
"61022","1","doya_talk_shy","3","doya_in_shy","0.2","5146061","","106011","0","0"
"61023","1","doya_talk_shy","3","doya_in_shy","0.2","5146061","","1060","0","0"
"61024","","0","21","vo_apg_0101","","5146061","","vo_apg","0",""
"61025","1","1","11","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","0","5146061","0","106011","10","0"
"61026","","","91","","","5146061","","0","",""
"61027","","","32","1","","5146061","","2","",""
"61028","","","37","fade105_in","","5146061","","2","",""
"61029","","","4","0","","5146061","","106011","",""
"61030","","","4","0","","5146061","","1060","",""
"61031","","","3","sad_idle_dere_shy","0.5","5146061","","106011","1",""
"61032","","","3","sad_idle_dere_shy","0.5","5146061","","1060","1",""
"61033","","0","21","vo_apg_0102","","5146061","","vo_apg","0",""
"61034","","","3","0102_in","0","5146061","","201","0",""
"61035","","","93","1","","5146061","","4.6","",""
"61036","","","3","0102_mid","0","5146061","","201","0",""
"61037","","","92","","","5146061","","","",""
"61038","","","3","0102_out","0","5146061","","201","0",""
"61039","","","93","0","","5146061","","0.2","",""
"61040","1","kyaru_smile_idle","3","kyaru_smile_in","0.2","5146061","","106011","0","0"
"61041","1","kyaru_smile_idle","3","kyaru_smile_in","0.2","5146061","","1060","0","0"
"61042","","0","21","vo_apg_0103","","5146061","","vo_apg","0",""
"61043","","","3","0103_in","0","5146061","","201","0",""
"61044","","","93","1","","5146061","","5.4","",""
"61045","","","3","0103_mid","0","5146061","","201","0",""
"61046","","","92","","","5146061","","","",""
"61047","","","3","0103_out","0","5146061","","201","0",""
"61048","","","93","0","","5146061","","0.2","",""
"61049","","","37","fade105_out","","5146061","","2","",""
"61050","","","4","1","","5146061","","105811","",""
"61051","","","4","1","","5146061","","1058","",""
"61052","","","3","surprise_talk","0.2","5146061","","105811","1",""
"61053","","","3","surprise_talk","0.2","5146061","","1058","1",""
"61054","","0","21","vo_apg_0104","","5146061","","vo_apg","0",""
"61055","1","1","11","……キャルちゃん、\n写真写りたくないんですかね…？","0","5146061","0","105811","10","0"
"61056","","","91","","","5146061","","0","",""
"61057","","","3","surprise_idle_talk1R","0.2","5146061","","105811","1",""
"61058","","","3","surprise_idle_talk1R","0.2","5146061","","1058","1",""
"61059","","","3","kokkoro_surprise_talk","0.2","5146061","","105911","1",""
"61060","","","3","kokkoro_surprise_talk","0.2","5146061","","1059","1",""
"61061","","0","21","vo_apg_0105","","5146061","","vo_apg","0",""
"61062","1","1","11","はい。\nどうやらそのようでございます","0","5146061","0","105911","10","0"
"61063","","","91","","","5146061","","0","",""
"61064","","","3","kokkoro_idle_normal","0.2","5146061","","105911","1",""
"61065","","","3","kokkoro_idle_normal","0.2","5146061","","1059","1",""
"61066","","","3","idle_normal_talk1R","0.2","5146061","","105811","1",""
"61067","","","3","idle_normal_talk1R","0.2","5146061","","1058","1",""
"61068","","","4","0","","5146061","","105811","",""
"61069","","","4","0","","5146061","","1058","",""
"61070","","","4","1","","5146061","","106011","",""
"61071","","","4","1","","5146061","","1060","",""
"61072","1","cool_talk_sing_shy","3","cool_in_sing_shy","0.2","5146061","","106011","0","0"
"61073","1","cool_talk_sing_shy","3","cool_in_sing_shy","0.2","5146061","","1060","0","0"
"61074","","0","21","vo_apg_0106","","5146061","","vo_apg","0",""
"61075","1","1","11","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","0","5146061","0","106011","10","0"
"61076","","","91","","","5146061","","0","",""
"61077","","","22","0","","5146061","","0","",""
"61078","","","3","walk_kyapi_shy","0.2","5146061","","106011","1",""
"61079","","","3","walk_kyapi_shy","0.2","5146061","","1060","1",""
"61080","","","3","walk_furimuki","0.2","5146061","","105811","1",""
"61081","","","3","walk_furimuki","0.2","5146061","","1058","1",""
"61082","","","3","kokkoro_walk_surprise","0.2","5146061","","105911","1",""
"61083","","","3","kokkoro_walk_surprise","0.2","5146061","","1059","1",""
"61084","0","2","2","149","","5146061","","106011","-278",""
"61085","0","2","2","149","","5146061","","1060","-278",""
"61086","0","2","2","-54","","5146061","","105811","-278",""
"61087","0","2","2","-54","","5146061","","1058","-278",""
"61088","0","2","2","-214","","5146061","","105911","-288",""
"61089","0","2","2","-214","","5146061","","1059","-288",""
"61090","","","93","0","","5146061","","1","",""
"61091","","","37","iris_in","","5146061","","2","",""
