6b724bbf931e55337292dc8330b4091db6f4269ce9188db85fd26d3b4951a72e,4722a80fe4759fd854ce960d985a6db9f32dfdfdcb1a44bac99392b3c253fdf0,96208600648a074ca67e80443565608465d0d5357d5e21455abd50f6d531d2c3,29c05fea2e58a21e4ef9aa30fd435f63b7abad55d326ed07e1ef9c405f3c52b8,ae6df382749cb2ba4514091359c7ced951df91be801f770923170daf9d284fd2,275f85f56be739c56dbd0a60f4d5748c12afb17d82fcd620e0b599422180dd1a,db4a1e9fd22a9739e93fb519dc9961453cb2bb62c6da278bcfbea0e6beaa9b70,0961966798c9d166ca10f716b38a85861ec27b39b9ea003b83497cc4c30294c9,5f9ef7947d42c7ae5b0c11a1aec098a848f03eb3b2218cf33909a1899dfec664,3fd965ad47633962a44cb94875bb7245d18e831b0800e2d9cc0930c866a06480,354e170a8040846f3299260027bb2a7f09bd6cfd4c8386aea10f431beeb9582c,6a7a97685bafd771d41f09b5151bb99ad54251c1dc647692805f8e4087c654a7,089af20a2a1731d45d3e8b42d0ebf1d8058305103908a57aa5c9f5270fc73ee8,783037b1d9772f5afaa6b963a5a133723f846ca63e93b88bdab8c1df9e8d2a89,561921a37778cc74c9b936721d6e42bb1ca2fb6f25af71c95551c78a00026ff5,39c5e4863b3cb6af6126aa5e0557f3a58a0bac2b5d2076526ec78570617294d3,f1272be200a2289b9456ab65ebbeb94f182a699cb6a71744cc110b775d60bfd3,59362d760445294c1f1134e17cc2402f60d1269a4273b860d8039fd1e7a6a785
"1","1","bgm_M220","1","bgm_M220","100584","500000000001","1000000000000","1001001","1001","0","4004101","2019/04/01 7:59:59","480","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01","0"
"2","2","bgm_M220","1","bgm_M220","100584","300000000001","500000000000","1001002","1001","0","4004102","2019/04/01 12:59:59","300","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 8:00:00","0"
"3","3","bgm_M220","1","bgm_M220","100584","100000000001","300000000000","1001003","1001","0","4004103","2019/04/01 17:59:59","300","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 13:00:00","0"
"4","1","bgm_M220","1","bgm_M220","100584","50000000001","100000000000","1001001","1001","0","4004104","2019/04/01 19:59:59","120","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 18:00:00","0"
"5","2","bgm_M220","1","bgm_M220","100584","0","50000000000","1001002","1001","0","0","2019/04/01 23:59:59","240","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 20:00:00","0"
"8","1","bgm_M220","1","bgm_M220","100584","0","0","1001004","1001","0","4004109","2019/04/01 7:59:59","480","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01","0"
"9","2","bgm_M220","1","bgm_M220","100584","0","0","1001005","1001","0","0","2019/04/01 12:59:59","300","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 8:00:00","0"
"10","3","bgm_M220","1","bgm_M220","100584","0","0","1001006","1001","0","0","2019/04/01 17:59:59","300","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 13:00:00","0"
"11","1","bgm_M220","1","bgm_M220","100584","0","0","1001004","1001","0","0","2019/04/01 20:59:59","180","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 18:00:00","0"
"12","2","bgm_M220","1","bgm_M220","100584","0","0","1001005","1001","0","0","2019/04/01 23:59:59","180","王都滅亡までのカウントダウン　～04/01 23：59","ロボリマ来襲！","2019/04/01 21:00:00","0"
