a14021c3eeef2b2afd5ab7301c4a96b4fc4956f92ea4c2374bb43c45c4df1194,e8809f31c4d62c86fb54240630eaa7b8b7c7d9e301215b1925fa419241f41faf,037704800796d908c13bf794a5dc1e8d405f0c9f4d442b9c4c02ea0cc7408721,36618597d8ee5e14263f589da09d399d81e8d5687da71a2ddedf8abefbcf503b,2fea79f1d06adc701cc47ca63d9f53fa628fd4e44daa68a1cfeff1d370a9d85a,ca30eec5dc4331dc05587584ce0d08e66d0cbeaebef4906c200ffdb65ce6ae05,2322237dd92cba53acf9ac57526976677f69c56926623d8e831a976f432ec88f,1b5fdf663d66921619648d8434d681c470b4facb160b6491c608c9700ec01bb6,7f7c834370dd93fea12ef9cb9b99853a6fd929cb6987180b4b5c3719d099743e,7db93414e2eee8608fc303b2a1f83f28c168f42e134dbc9bf156076dd4f91a4e,70e580ccd09fc2f82dad577f490b9407d7ecc1a0ea7dce147d4004521fbc1040
"1","0","100","1002011","mhp_sit_idle","1.7","0","1","100211","1002011001","0"
"3","","1","1002011","","0.2","","100211","mhp_sit_talk_memory","1002011002",""
"21","","0","1002011","","","","vo_mhp","vo_mhp_0401","1002011003","0"
"11","0","6","1002011","0","0","0","100211","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪","1002011004","0"
"91","","","1002011","","","","0","","1002011005",""
"3","","1","1002011","","0.2","","100211","mhp_sit_idle_memory","1002011006",""
"1","0","100","1002012","mhp_sit_idle","1.7","0","1","100211","1002012001","0"
"3","","1","1002012","","0.2","","100211","mhp_sit_talk_sad","1002012002",""
"21","","0","1002012","","","","vo_mhp","vo_mhp_0402","1002012003","0"
"11","0","5","1002012","0","0","0","100211","はぁ…なにか悪い\n病気だったら\nどうしよう…","1002012004","0"
"91","","","1002012","","","","0","","1002012005",""
"3","","1","1002012","","0.2","","100211","mhp_sit_idle_sad","1002012006",""
"1","0","100","1002013","mhp_sit_idle","1.7","0","1","100211","1002013001","0"
"3","","1","1002013","","0.2","","100211","mhp_yui_sit_talk_wish","1002013002",""
"21","","0","1002013","","","","vo_mhp","vo_mhp_0403","1002013003","0"
"11","0","4","1002013","0","0","0","100211","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！","1002013004","0"
"91","","","1002013","","","","0","","1002013005",""
"3","","1","1002013","","0.2","","100211","mhp_sit_idle_sad","1002013006",""
"1","-240","100","1007401","mhp_idle_normal","1.7","0","1","100211","1007401001","-1000"
"1","-220","100","1007401","mhp_sit_idle","1.7","1","1","117531","1007401002","185"
"1","-200","100","1007401","mhp_sit_idle","1.7","1","1","117631","1007401003","365"
"31","0.85","-240","1007401","","1","","1","1","1007401004","-154"
"31","0.85","-230","1007401","","0","","23","123","1007401005","-18"
"5","-220","110","1007401","NoItem","1.7","0","1","11","1007401006","-200"
"5","-220","105","1007401","NoItem","1.7","0","1","12","1007401007","-200"
"5","-220","110","1007401","NoItem","1.7","1","1","21","1007401008","185"
"5","-220","105","1007401","NoItem","1.7","1","1","22","1007401009","185"
"6","0","1","1007401","","0","0","11","1","1007401010","1"
"6","0","1","1007401","","0","0","12","1","1007401011","1"
"6","0","1","1007401","","0","0","21","1","1007401012","1"
"6","0","1","1007401","","0","0","22","1","1007401013","1"
"5","-220","110","1007401","NoItem","1.7","0","1","31","1007401014","-1000"
"91","","","1007401","","","","0","","1007401015",""
