a700f560bd4a814ac987ce89f61b413dcdf9d3c1c3940d3cfc8ef3bfa8e561c5,6b36d26ffea290491d381ba7edb073373ab418af84c72cd31197cbb4c65bc89f,5b1f71bb8f4fd939919ceb66ae5a8c2ed1c19de5877db12ce650cc477a8210c0,d384e984e4b3b80b2b2920d9a81593e9b925b99a3ee39a03ca9dafd5ba83fb93,3b8aac8ba0df59ecec6682815f41fae3db3709979e6850a11fd637f58e478d6f,98aeb9e2908757f742d31b48f9b2a808e1775cf808662825aaba54c04d1609e2,93080a39b87bc31729df2b880e2c2b838666fe403a8b1ae1c74cc2cb8125a200,c7aed9769af2f20cbf7d789ea4a5aa0f467da7d26784efd296e891a012d7f137
"1","27","2019/02/15 23:00:00","3","2019/02/28 11:59:59","0","0","106101"
"2","28","2019/02/28 12:00:00","3","2019/03/19 14:59:59","0","0","101401"
"3","29","2019/03/19 15:00:00","1","2019/03/26 14:59:59","0","0","105501"
"4","29","2019/03/19 15:00:00","3","2019/03/26 14:59:59","0","0","106301"
"5","29","2019/03/19 15:00:00","2","2019/03/26 14:59:59","0","0","101501"
"6","30","2019/03/26 15:00:00","3","2019/03/31 11:59:59","0","0","103601"
"7","30","2019/03/26 15:00:00","3","2019/03/31 11:59:59","0","0","104901"
"8","30","2019/03/26 15:00:00","3","2019/03/31 11:59:59","0","0","104401"
"9","30","2019/03/26 15:00:00","2","2019/03/31 11:59:59","0","0","100701"
"10","30","2019/03/26 15:00:00","2","2019/03/31 11:59:59","0","0","104601"
"11","30","2019/03/26 15:00:00","2","2019/03/31 11:59:59","0","0","102701"
"12","30","2019/03/26 15:00:00","1","2019/03/31 11:59:59","0","0","100301"
"13","30","2019/03/26 15:00:00","1","2019/03/31 11:59:59","0","0","103401"
"14","30","2019/03/26 15:00:00","1","2019/03/31 11:59:59","0","0","100101"
"15","31","2019/03/31 12:00:00","3","2019/04/19 14:59:59","0","0","109201"
"16","32","2019/04/19 15:00:00","3","2019/04/30 11:59:59","0","0","109401"
"17","33","2019/04/30 12:00:00","3","2019/05/07 14:59:59","0","0","109501"
"18","33","2019/04/30 12:00:00","3","2019/05/07 14:59:59","0","0","107101"
"19","34","2019/05/07 15:00:00","3","2019/05/14 14:59:59","0","0","109501"
"20","35","2019/05/14 15:00:00","3","2019/05/17 14:59:59","0","0","103601"
"21","35","2019/05/14 15:00:00","2","2019/05/17 14:59:59","0","0","102001"
"22","35","2019/05/14 15:00:00","1","2019/05/17 14:59:59","0","0","100401"
"23","36","2019/05/17 15:00:00","3","2019/05/31 11:59:59","0","0","109601"
"24","37","2019/05/31 12:00:00","3","2019/06/15 11:59:59","0","0","109701"
"25","38","2019/06/15 12:00:00","3","2019/06/18 14:59:59","0","0","104401"
"26","38","2019/06/15 12:00:00","3","2019/06/18 14:59:59","0","0","101001"
"27","38","2019/06/15 12:00:00","2","2019/06/18 14:59:59","0","0","101701"
"28","39","2019/06/18 15:00:00","3","2019/06/30 11:59:59","0","0","109901"
"29","40","2019/06/30 12:00:00","3","2019/07/13 11:59:59","0","0","110001"
"30","41","2019/07/13 12:00:00","3","2019/07/18 14:59:59","0","0","107501"
"31","41","2019/07/13 12:00:00","3","2019/07/18 14:59:59","0","0","107801"
"32","42","2019/07/18 15:00:00","3","2019/07/31 11:59:59","0","0","110301"
"33","43","2019/07/31 12:00:00","3","2019/08/10 11:59:59","0","0","110401"
"34","44","2019/08/10 12:00:00","3","2019/08/15 14:59:59","0","0","107701"
"35","44","2019/08/10 12:00:00","3","2019/08/15 14:59:59","0","0","107901"
"36","45","2019/08/15 15:00:00","3","2019/08/26 11:59:59","0","0","110601"
"37","46","2019/08/26 12:00:00","3","2019/08/31 11:59:59","0","0","104401"
"38","46","2019/08/26 12:00:00","2","2019/08/31 11:59:59","0","0","100601"
"39","46","2019/08/26 12:00:00","2","2019/08/31 11:59:59","0","0","100701"
"40","46","2019/08/26 12:00:00","2","2019/08/31 11:59:59","0","0","103101"
"41","46","2019/08/26 12:00:00","1","2019/08/31 11:59:59","0","0","102201"
"42","47","2019/08/31 12:00:00","3","2019/09/03 20:59:59","0","0","107001"
"43","47","2019/08/31 12:00:00","3","2019/09/03 20:59:59","0","0","106101"
"44","47","2019/08/31 12:00:00","3","2019/09/03 20:59:59","0","0","107101"
"45","48","2019/09/03 21:00:00","3","2019/09/12 11:59:59","0","0","110701"
"46","49","2019/09/12 12:00:00","3","2019/09/16 14:59:59","0","0","105701"
"47","49","2019/09/12 12:00:00","3","2019/09/16 14:59:59","0","0","106301"
"48","50","2019/09/16 15:00:00","3","2019/09/29 11:59:59","0","0","110801"
"49","51","2019/09/29 12:00:00","3","2019/09/30 11:59:59","0","0","107001"
"50","51","2019/09/29 12:00:00","3","2019/09/30 11:59:59","0","0","106101"
"51","51","2019/09/29 12:00:00","3","2019/09/30 11:59:59","0","0","107101"
"52","52","2019/09/30 12:00:00","3","2019/10/11 11:59:59","1001","0","111101"
"53","53","2019/10/11 12:00:00","3","2019/10/16 14:59:59","0","0","108101"
