a800b7dfdc25b464ced337efb0435e1444f1ac96f9256d14d5b0424e5dca92e5,720b0ee6ee6640d961be8059d71cf80642dcb8be494f59bfc5ccd207d466c89c,3c43a088934c64236860fade2755700cbcf3254e3ebeaf4da7fd279fd8f5d420,b46c01dafdb7433ba964fdc3b696a86230327e55dfa5c88f8e0ce2fa951e834d,3bd68a4b9047a29cc70e558103d85e9f66a60b4e74f98a9bd30b10df4e25137a,3ca9df59171e668f577119f077aafcd64072669c874bc659c192d73316b35eb2,0fa0dea3381b79792d30977799af0edf5902d4c768c53c5734919e76682da2bf,77bfb6f0661783184da95347cb2a2b9589e813d059cda036c3fbbddadaf86af8,4e0f7a16b4009d48f5be6f61c9d3bf4b1f1560690c979f6d33d84ed96aa6fb77,4a71086678e98313159e382d445bac9466b0ff4c67b7d6a54dcdbaafe6739313,8ad0caf068f702efe3f46eefee007d095a4b0de5ac279b28127fbe8ad4f5e9ec
"1","-175","pkb_idle_normal","100","1","1.65","113511","1","64","1010001","1"
"113511","","","1","","0.2","pkb_talk_wish","3","","1010002","1"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_101","21","0","1010003","1"
"113511","0","0","8","0","0","今日も先生と一緒に\n頑張りましょうね～","11","0","1010004","1"
"0","","","","","","","91","","1010005","1"
"113511","","","1","","0.2","pkb_idle_normal","3","","1010006","1"
"1","-175","pkb_idle_normal","100","1","1.65","113511","1","64","1020001","2"
"113511","","","1","","0.2","pkb_talk_wish","3","","1020002","2"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_102","21","0","1020003","2"
"113511","0","0.5","6","0","0","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","11","0","1020004","2"
"6","","","","","","","93","","1020005","2"
"113511","1","","0","","0.2","pkb_talk_fun","3","pkb_idle_normal","1020006","2"
"1020004","","","","","","","91","","1020007","2"
"113511","","","1","","0.2","pkb_idle_normal","3","","1020008","2"
"1","-175","pkb_idle_normal","100","1","1.65","113511","1","64","1030001","3"
"113511","1","","0","0.2","0.2","pkb_smile","3","pkb_idle_normal","1030002","3"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_103","21","0","1030003","3"
"113511","0","0","6","0","0","ケガには気を付けてね\n無理は禁物ですよ～♪","11","0","1030004","3"
"2","","","","","","","93","","1030005","3"
"113511","","","1","","0.2","pkb_talk_wish","3","","1030006","3"
"1030004","","","","","","","91","","1030007","3"
"113511","","","1","","0.2","pkb_idle_normal","3","","1030008","3"
"3","-155","pkb_idle_normal_l","100","1","57","3","5","64","1040001","4"
"3","1","","0","0.2","0.2","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","1040002","4"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_601","21","0","1040003","4"
"3","0","0","8","","0","今日の練習も\n手加減しねえ！\nしっかりついてこい！","11","0","1040004","4"
"0","","","","","","","91","","1040005","4"
"3","","","1","","0.2","pkb_idle_normal_l","3","","1040006","4"
"3","-155","pkb_idle_normal_l","100","1","57","3","5","64","1050001","5"
"3","1","","0","0.2","0.2","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","1050002","5"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_602","21","0","1050003","5"
"3","0","0","8","","0","おーし！\n気合いいれて\n練習すんぞー！","11","0","1050004","5"
"2","","","","","","","93","","1050005","5"
"3","1","","0","0.2","0.2","pkb_talk_handsup_l","3","pkb_idle_normal_l","1050006","5"
"1050004","","","","","","","91","","1050007","5"
"3","","","1","","0.2","pkb_idle_normal_l","3","","1050008","5"
"3","-155","pkb_idle_normal_l","100","1","57","3","5","64","1060001","6"
"3","1","","0","0.2","0.2","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","1060002","6"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_603","21","0","1060003","6"
"3","0","0","8","","0","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","11","0","1060004","6"
"3","","","","","","","93","","1060005","6"
"3","1","","0","","0.2","pkb_talk_guts_l","3","pkb_idle_guts_l","1060006","6"
"1060004","","","","","","","91","","1060007","6"
"3","","","1","","0.2","pkb_idle_normal_l","3","","1060008","6"
"1","-175","pkb_idle_normal","100","1","1.65","113411","1","64","1070001","7"
"113411","1","","0","0.2","0.2","pkb_talk_fun","3","pkb_talk_joy1","1070002","7"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_201","21","0","1070003","7"
